Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2019.0,9.0,1.0,0.0,0.0
7.0,6.255714595334189,0.0,2019.0,9.0,1.0,1.0,6.255714595334189
7.0,0.0,0.0,2019.0,9.0,1.0,2.0,6.255714595334189
7.0,0.0,0.0,2019.0,9.0,1.0,3.0,6.255714595334189
7.0,0.0,0.0,2019.0,9.0,1.0,4.0,6.255714595334189
7.0,0.0,0.0,2019.0,9.0,1.0,5.0,6.255714595334189
7.0,0.0,0.0,2019.0,9.0,1.0,6.0,6.255714595334189
7.0,0.0,0.0,2019.0,9.0,1.0,7.0,6.255714595334189
7.0,0.0,0.0,2019.0,9.0,1.0,8.0,6.255714595334189
7.0,6.255714595334189,0.0,2019.0,9.0,1.0,9.0,12.511429190668379
7.0,3.0269769190593063,0.0,2019.0,9.0,1.0,10.0,15.538406109727685
7.0,1.9832199431250224,0.0,2019.0,9.0,1.0,11.0,17.521626052852707
7.0,6.255714595334189,0.0,2019.0,9.0,1.0,12.0,23.777340648186897
7.0,4.871684522879885,0.0,2019.0,9.0,1.0,13.0,28.649025171066782
7.0,6.393752928314832,0.0,2019.0,9.0,1.0,14.0,35.042778099381614
7.0,6.255714595334189,0.0,2019.0,9.0,1.0,15.0,41.298492694715804
7.0,4.582440953412787,0.0,2019.0,9.0,1.0,16.0,45.88093364812859
7.0,2.5464894309236885,0.0,2019.0,9.0,1.0,17.0,48.42742307905228
7.0,5.144255953259364,0.0,2019.0,9.0,1.0,18.0,53.57167903231164
7.0,6.1707665520714245,0.0,2019.0,9.0,1.0,19.0,59.74244558438307
7.0,6.0850087565674364,0.0,2019.0,9.0,1.0,20.0,65.82745434095051
7.0,5.419038353765299,0.0,2019.0,9.0,1.0,21.0,71.2464926947158
7.0,6.255714595334189,0.0,2019.0,9.0,1.0,22.0,77.50220729005
7.0,6.255714595334189,0.0,2019.0,9.0,1.0,23.0,83.75792188538418
1.0,0.8154644943820231,1.0,2019.0,9.0,2.0,0.0,0.8154644943820231
1.0,0.0,1.0,2019.0,9.0,2.0,1.0,0.8154644943820231
1.0,0.0,1.0,2019.0,9.0,2.0,2.0,0.8154644943820231
1.0,0.0,1.0,2019.0,9.0,2.0,3.0,0.8154644943820231
1.0,0.0,1.0,2019.0,9.0,2.0,4.0,0.8154644943820231
1.0,6.255714595334189,1.0,2019.0,9.0,2.0,5.0,7.071179089716212
1.0,6.255714595334189,1.0,2019.0,9.0,2.0,6.0,13.3268936850504
