Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2020.0,3.0,1.0,0.0,0.0
7.0,4.0523627379745975,0.0,2020.0,3.0,1.0,1.0,4.0523627379745975
7.0,0.0,0.0,2020.0,3.0,1.0,2.0,4.0523627379745975
7.0,0.0,0.0,2020.0,3.0,1.0,3.0,4.0523627379745975
7.0,4.0523627379745975,0.0,2020.0,3.0,1.0,4.0,8.104725475949195
7.0,0.0,0.0,2020.0,3.0,1.0,5.0,8.104725475949195
7.0,4.0523627379745975,0.0,2020.0,3.0,1.0,6.0,12.157088213923792
7.0,0.0,0.0,2020.0,3.0,1.0,7.0,12.157088213923792
7.0,4.0523627379745975,0.0,2020.0,3.0,1.0,8.0,16.20945095189839
7.0,4.0523627379745975,0.0,2020.0,3.0,1.0,9.0,20.261813689872987
7.0,0.0,0.0,2020.0,3.0,1.0,10.0,20.261813689872987
7.0,0.0,0.0,2020.0,3.0,1.0,11.0,20.261813689872987
7.0,4.0523627379745975,0.0,2020.0,3.0,1.0,12.0,24.314176427847585
7.0,0.0,0.0,2020.0,3.0,1.0,13.0,24.314176427847585
7.0,4.0523627379745975,0.0,2020.0,3.0,1.0,14.0,28.366539165822182
7.0,4.0523627379745975,0.0,2020.0,3.0,1.0,15.0,32.41890190379678
7.0,0.0,0.0,2020.0,3.0,1.0,16.0,32.41890190379678
7.0,0.0,0.0,2020.0,3.0,1.0,17.0,32.41890190379678
7.0,0.0,0.0,2020.0,3.0,1.0,18.0,32.41890190379678
7.0,0.0,0.0,2020.0,3.0,1.0,19.0,32.41890190379678
7.0,4.0523627379745975,0.0,2020.0,3.0,1.0,20.0,36.47126464177138
7.0,0.0,0.0,2020.0,3.0,1.0,21.0,36.47126464177138
7.0,0.0,0.0,2020.0,3.0,1.0,22.0,36.47126464177138
7.0,0.0,0.0,2020.0,3.0,1.0,23.0,36.47126464177138
1.0,0.0,1.0,2020.0,3.0,2.0,0.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,1.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,2.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,3.0,0.0
1.0,1.511458015733505,1.0,2020.0,3.0,2.0,4.0,1.511458015733505
1.0,4.0523627379745975,1.0,2020.0,3.0,2.0,5.0,5.563820753708102
1.0,4.0523627379745975,1.0,2020.0,3.0,2.0,6.0,9.6161834916827
1.0,4.0523627379745975,1.0,2020.0,3.0,2.0,7.0,13.668546229657297
1.0,4.0523627379745975,1.0,2020.0,3.0,2.0,8.0,17.720908967631892
1.0,4.0523627379745975,1.0,2020.0,3.0,2.0,9.0,21.77327170560649
1.0,4.0523627379745975,1.0,2020.0,3.0,2.0,10.0,25.825634443581087
1.0,66.07847893855772,1.0,2020.0,3.0,2.0,11.0,91.9041133821388
1.0,4.0523627379745975,1.0,2020.0,3.0,2.0,12.0,95.95647612011342
1.0,38.018542592262826,1.0,2020.0,3.0,2.0,13.0,133.97501871237625
1.0,4.0523627379745975,1.0,2020.0,3.0,2.0,14.0,138.02738145035084
