Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
5.0,0.0,1.0,2020.0,5.0,1.0,0.0,0.0
5.0,0.5173737028269916,1.0,2020.0,5.0,1.0,1.0,0.5173737028269916
5.0,0.0,1.0,2020.0,5.0,1.0,2.0,0.5173737028269916
5.0,0.0,1.0,2020.0,5.0,1.0,3.0,0.5173737028269916
5.0,0.5173737028269916,1.0,2020.0,5.0,1.0,4.0,1.0347474056539832
5.0,0.0,1.0,2020.0,5.0,1.0,5.0,1.0347474056539832
5.0,0.0,1.0,2020.0,5.0,1.0,6.0,1.0347474056539832
5.0,0.0,1.0,2020.0,5.0,1.0,7.0,1.0347474056539832
5.0,0.0,1.0,2020.0,5.0,1.0,8.0,1.0347474056539832
5.0,0.5173737028269916,1.0,2020.0,5.0,1.0,9.0,1.5521211084809747
5.0,0.0,1.0,2020.0,5.0,1.0,10.0,1.5521211084809747
5.0,0.0,1.0,2020.0,5.0,1.0,11.0,1.5521211084809747
5.0,0.5173737028269916,1.0,2020.0,5.0,1.0,12.0,2.0694948113079663
5.0,0.0,1.0,2020.0,5.0,1.0,13.0,2.0694948113079663
5.0,0.5173737028269916,1.0,2020.0,5.0,1.0,14.0,2.5868685141349577
5.0,0.5173737028269916,1.0,2020.0,5.0,1.0,15.0,3.1042422169619495
5.0,0.0,1.0,2020.0,5.0,1.0,16.0,3.1042422169619495
5.0,0.0,1.0,2020.0,5.0,1.0,17.0,3.1042422169619495
5.0,0.5173737028269916,1.0,2020.0,5.0,1.0,18.0,3.6216159197889413
5.0,0.0,1.0,2020.0,5.0,1.0,19.0,3.6216159197889413
5.0,0.0,1.0,2020.0,5.0,1.0,20.0,3.6216159197889413
5.0,0.0,1.0,2020.0,5.0,1.0,21.0,3.6216159197889413
5.0,0.0,1.0,2020.0,5.0,1.0,22.0,3.6216159197889413
5.0,0.0,1.0,2020.0,5.0,1.0,23.0,3.6216159197889413
6.0,0.0,0.0,2020.0,5.0,2.0,0.0,0.0
6.0,0.0,0.0,2020.0,5.0,2.0,1.0,0.0
6.0,0.0,0.0,2020.0,5.0,2.0,2.0,0.0
6.0,0.0,0.0,2020.0,5.0,2.0,3.0,0.0
6.0,0.0,0.0,2020.0,5.0,2.0,4.0,0.0
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,5.0,0.5173737028269916
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,6.0,1.0347474056539832
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,7.0,1.5521211084809747
6.0,0.0,0.0,2020.0,5.0,2.0,8.0,1.5521211084809747
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,9.0,2.0694948113079663
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,10.0,2.5868685141349577
6.0,0.0,0.0,2020.0,5.0,2.0,11.0,2.5868685141349577
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,12.0,3.1042422169619495
6.0,0.0,0.0,2020.0,5.0,2.0,13.0,3.1042422169619495
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,14.0,3.6216159197889413
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,15.0,4.138989622615933
6.0,0.0,0.0,2020.0,5.0,2.0,16.0,4.138989622615933
6.0,0.0,0.0,2020.0,5.0,2.0,17.0,4.138989622615933
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,18.0,4.656363325442924
6.0,0.0,0.0,2020.0,5.0,2.0,19.0,4.656363325442924
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,20.0,5.173737028269915
6.0,0.5173737028269916,0.0,2020.0,5.0,2.0,21.0,5.691110731096908
6.0,0.0,0.0,2020.0,5.0,2.0,22.0,5.691110731096908
6.0,0.0,0.0,2020.0,5.0,2.0,23.0,5.691110731096908
7.0,0.0,0.0,2020.0,5.0,3.0,0.0,0.0
7.0,0.5173737028269916,0.0,2020.0,5.0,3.0,1.0,0.5173737028269916
7.0,0.0,0.0,2020.0,5.0,3.0,2.0,0.5173737028269916
7.0,0.0,0.0,2020.0,5.0,3.0,3.0,0.5173737028269916
7.0,0.0,0.0,2020.0,5.0,3.0,4.0,0.5173737028269916
7.0,0.0,0.0,2020.0,5.0,3.0,5.0,0.5173737028269916
7.0,0.0,0.0,2020.0,5.0,3.0,6.0,0.5173737028269916
7.0,0.0,0.0,2020.0,5.0,3.0,7.0,0.5173737028269916
7.0,0.0,0.0,2020.0,5.0,3.0,8.0,0.5173737028269916
7.0,0.0,0.0,2020.0,5.0,3.0,9.0,0.5173737028269916
