Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,2.270030672994283,0.0,2019.0,9.0,1.0,0.0,2.270030672994283
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,1.0,33.965226722033435
7.0,0.0,0.0,2019.0,9.0,1.0,2.0,33.965226722033435
7.0,0.0,0.0,2019.0,9.0,1.0,3.0,33.965226722033435
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,4.0,65.66042277107259
7.0,0.0,0.0,2019.0,9.0,1.0,5.0,65.66042277107259
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,6.0,97.35561882011174
7.0,5.429811195760204,0.0,2019.0,9.0,1.0,7.0,102.78543001587194
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,8.0,134.4806260649111
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,9.0,166.17582211395023
7.0,24.451262539846923,0.0,2019.0,9.0,1.0,10.0,190.62708465379717
7.0,52.12284646312565,0.0,2019.0,9.0,1.0,11.0,242.74993111692282
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,12.0,274.44512716596194
7.0,55.41994179310232,0.0,2019.0,9.0,1.0,13.0,329.8650689590643
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,14.0,361.56026500810344
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,15.0,393.25546105714255
7.0,59.868090192257085,0.0,2019.0,9.0,1.0,16.0,453.12355124939967
7.0,48.78597500952855,0.0,2019.0,9.0,1.0,17.0,501.9095262589282
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,18.0,533.6047223079673
7.0,27.471503455061782,0.0,2019.0,9.0,1.0,19.0,561.0762257630291
7.0,31.69519604903915,0.0,2019.0,9.0,1.0,20.0,592.7714218120683
7.0,22.395329231755436,0.0,2019.0,9.0,1.0,21.0,615.1667510438238
7.0,7.490469603216562,0.0,2019.0,9.0,1.0,22.0,622.6572206470403
7.0,5.79257965953732,0.0,2019.0,9.0,1.0,23.0,628.4498003065776
1.0,3.721732431252728,1.0,2019.0,9.0,2.0,0.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,1.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,2.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,3.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,4.0,3.721732431252728
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,5.0,35.41692848029188
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,6.0,67.11212452933103
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,7.0,98.80732057837018
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,8.0,130.50251662740934
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,9.0,162.19771267644848
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,10.0,193.89290872548764
1.0,32.58915818779905,1.0,2019.0,9.0,2.0,11.0,226.4820669132867
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,12.0,258.1772629623258
1.0,53.53488834985389,1.0,2019.0,9.0,2.0,13.0,311.71215131217974
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,14.0,343.40734736121885
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,15.0,375.102543410258
1.0,69.07214058838638,1.0,2019.0,9.0,2.0,16.0,444.1746839986444
1.0,50.39993924394612,1.0,2019.0,9.0,2.0,17.0,494.5746232425905
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,18.0,526.2698192916297
1.0,30.12751414829856,1.0,2019.0,9.0,2.0,19.0,556.3973334399283
1.0,31.69519604903915,1.0,2019.0,9.0,2.0,20.0,588.0925294889674
1.0,14.233770202173698,1.0,2019.0,9.0,2.0,21.0,602.3262996911411
1.0,0.1121704035874433,1.0,2019.0,9.0,2.0,22.0,602.4384700947286
