Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2019.0,9.0,1.0,3.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,4.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,5.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,6.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,6.9999995,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,8.0,0.0
7.0,0.09172235,0.0,2019.0,9.0,1.0,9.0,0.09172235
7.0,5.9805136,0.0,2019.0,9.0,1.0,10.0,6.072236
7.0,8.947947,0.0,2019.0,9.0,1.0,11.0,15.020183
7.0,3.885817,0.0,2019.0,9.0,1.0,12.0,18.906
7.0,4.8716846,0.0,2019.0,9.0,1.0,13.0,23.777683
7.0,6.3937526,0.0,2019.0,9.0,1.0,13.999999,30.171436
7.0,0.10656255,0.0,2019.0,9.0,1.0,15.000001,30.278
7.0,4.582441,0.0,2019.0,9.0,1.0,16.0,34.86044
7.0,2.5464895,0.0,2019.0,9.0,1.0,17.0,37.40693
7.0,5.144256,0.0,2019.0,9.0,1.0,18.0,42.551186
7.0,6.1707664,0.0,2019.0,9.0,1.0,19.0,48.72195
7.0,6.085009,0.0,2019.0,9.0,1.0,20.0,54.80696
7.0,5.4190383,0.0,2019.0,9.0,1.0,21.0,60.225998
7.0,0.0,0.0,2019.0,9.0,1.0,22.0,60.225998
7.0,1.2475356,0.0,2019.0,9.0,1.0,23.0,61.473534
1.0,0.8154645,1.0,2019.0,9.0,2.0,0.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,1.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,2.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,3.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,4.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,5.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,6.0,0.8154645
1.0,0.94955754,1.0,2019.0,9.0,2.0,6.9999995,1.765022
1.0,3.0012352,1.0,2019.0,9.0,2.0,8.0,4.7662573
1.0,1.7182072,1.0,2019.0,9.0,2.0,9.0,6.4844646
1.0,0.0,1.0,2019.0,9.0,2.0,10.0,6.4844646
1.0,5.5710664,1.0,2019.0,9.0,2.0,11.0,12.055531
1.0,13.582637,1.0,2019.0,9.0,2.0,12.0,25.638168
1.0,24.120888,1.0,2019.0,9.0,2.0,13.0,49.759056
1.0,26.0603,1.0,2019.0,9.0,2.0,13.999999,75.81936
1.0,20.23063,1.0,2019.0,9.0,2.0,15.000001,96.04999
1.0,13.209312,1.0,2019.0,9.0,2.0,16.0,109.2593
1.0,6.0807877,1.0,2019.0,9.0,2.0,17.0,115.34009
1.0,10.396788,1.0,2019.0,9.0,2.0,18.0,125.73688
1.0,0.9475894,1.0,2019.0,9.0,2.0,19.0,126.68446
1.0,0.0,1.0,2019.0,9.0,2.0,20.0,126.68446
1.0,0.0,1.0,2019.0,9.0,2.0,21.0,126.68446
1.0,0.0,1.0,2019.0,9.0,2.0,22.0,126.68446
1.0,0.0,1.0,2019.0,9.0,2.0,23.0,126.68446
2.0,0.0,1.0,2019.0,9.0,3.0,0.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,1.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,2.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,3.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,4.0,0.0
2.0,5.2320194,1.0,2019.0,9.0,3.0,5.0,5.2320194
2.0,38.16055,1.0,2019.0,9.0,3.0,6.0,43.39257
2.0,100.64455,1.0,2019.0,9.0,3.0,6.9999995,144.03711
2.0,115.991615,1.0,2019.0,9.0,3.0,8.0,260.02875
