Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2019.0,9.0,1.0,6.9999995,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,8.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,9.0,0.0
7.0,1.4028825,0.0,2019.0,9.0,1.0,10.0,1.4028825
7.0,8.947947,0.0,2019.0,9.0,1.0,11.0,10.350829
7.0,2.0532959,0.0,2019.0,9.0,1.0,12.0,12.404125
7.0,4.8716846,0.0,2019.0,9.0,1.0,13.0,17.27581
7.0,2.2115827,0.0,2019.0,9.0,1.0,13.999999,19.487392
7.0,0.0,0.0,2019.0,9.0,1.0,15.000001,19.487392
7.0,4.582441,0.0,2019.0,9.0,1.0,16.0,24.069832
7.0,0.24990249,0.0,2019.0,9.0,1.0,17.0,24.319735
7.0,5.144256,0.0,2019.0,9.0,1.0,18.0,29.463991
7.0,6.1707664,0.0,2019.0,9.0,1.0,19.0,35.634758
7.0,6.085009,0.0,2019.0,9.0,1.0,20.0,41.719765
7.0,5.4190383,0.0,2019.0,9.0,1.0,21.0,47.138805
7.0,0.0,0.0,2019.0,9.0,1.0,22.0,47.138805
7.0,0.0,0.0,2019.0,9.0,1.0,23.0,47.138805
1.0,0.8154645,1.0,2019.0,9.0,2.0,0.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,1.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,2.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,3.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,4.0,0.8154645
1.0,0.34984004,1.0,2019.0,9.0,2.0,5.0,1.1653045
1.0,4.882845,1.0,2019.0,9.0,2.0,6.0,6.0481496
1.0,7.047416,1.0,2019.0,9.0,2.0,6.9999995,13.095566
1.0,8.039283,1.0,2019.0,9.0,2.0,8.0,21.13485
1.0,7.349402,1.0,2019.0,9.0,2.0,9.0,28.484251
1.0,5.4959264,1.0,2019.0,9.0,2.0,10.0,33.98018
1.0,5.5710664,1.0,2019.0,9.0,2.0,11.0,39.551243
1.0,13.0478735,1.0,2019.0,9.0,2.0,12.0,52.599117
1.0,19.489698,1.0,2019.0,9.0,2.0,13.0,72.08881
1.0,26.0603,1.0,2019.0,9.0,2.0,13.999999,98.14912
1.0,17.057144,1.0,2019.0,9.0,2.0,15.000001,115.20626
1.0,13.209312,1.0,2019.0,9.0,2.0,16.0,128.41557
1.0,6.0807877,1.0,2019.0,9.0,2.0,17.0,134.49637
1.0,4.361414,1.0,2019.0,9.0,2.0,18.0,138.85777
1.0,0.9475894,1.0,2019.0,9.0,2.0,19.0,139.80536
1.0,0.0,1.0,2019.0,9.0,2.0,20.0,139.80536
1.0,0.0,1.0,2019.0,9.0,2.0,21.0,139.80536
1.0,0.0,1.0,2019.0,9.0,2.0,22.0,139.80536
1.0,0.0,1.0,2019.0,9.0,2.0,23.0,139.80536
2.0,0.0,1.0,2019.0,9.0,3.0,0.0,0.0
2.0,0.72707576,1.0,2019.0,9.0,3.0,1.0,0.72707576
2.0,0.0,1.0,2019.0,9.0,3.0,2.0,0.72707576
2.0,0.0,1.0,2019.0,9.0,3.0,3.0,0.72707576
2.0,0.0,1.0,2019.0,9.0,3.0,4.0,0.72707576
2.0,1.0309625,1.0,2019.0,9.0,3.0,5.0,1.7580383
2.0,38.16055,1.0,2019.0,9.0,3.0,6.0,39.918587
2.0,100.64455,1.0,2019.0,9.0,3.0,6.9999995,140.56314
2.0,115.991615,1.0,2019.0,9.0,3.0,8.0,256.55475
2.0,117.92917,1.0,2019.0,9.0,3.0,9.0,374.48392
2.0,108.14231,1.0,2019.0,9.0,3.0,10.0,482.62622
2.0,85.46861,1.0,2019.0,9.0,3.0,11.0,568.09485
2.0,67.45722,1.0,2019.0,9.0,3.0,12.0,635.55206
2.0,69.06087,1.0,2019.0,9.0,3.0,13.0,704.6129
2.0,64.570526,1.0,2019.0,9.0,3.0,13.999999,769.1835
2.0,64.14818,1.0,2019.0,9.0,3.0,15.000001,833.33167
2.0,57.6047,1.0,2019.0,9.0,3.0,16.0,890.93634
2.0,61.56022,1.0,2019.0,9.0,3.0,17.0,952.4966
2.0,41.32229,1.0,2019.0,9.0,3.0,18.0,993.81885
2.0,29.137592,1.0,2019.0,9.0,3.0,19.0,1022.9564
2.0,20.180342,1.0,2019.0,9.0,3.0,20.0,1043.1367
2.0,6.140452,1.0,2019.0,9.0,3.0,21.0,1049.2772
2.0,4.9917855,1.0,2019.0,9.0,3.0,22.0,1054.269
2.0,0.0,1.0,2019.0,9.0,3.0,23.0,1054.269
3.0,0.0,1.0,2019.0,9.0,4.0,0.0,0.0
3.0,0.0,1.0,2019.0,9.0,4.0,1.0,0.0
