Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2020.0,3.0,1.0,13.0,0.0
7.0,1.3606458,0.0,2020.0,3.0,1.0,13.999999,1.3606458
7.0,1.3295275,0.0,2020.0,3.0,1.0,15.000001,2.6901731
7.0,0.0,0.0,2020.0,3.0,1.0,16.0,2.6901731
7.0,0.0,0.0,2020.0,3.0,1.0,17.0,2.6901731
7.0,0.0,0.0,2020.0,3.0,1.0,18.0,2.6901731
7.0,0.0,0.0,2020.0,3.0,1.0,19.0,2.6901731
7.0,0.96786946,0.0,2020.0,3.0,1.0,20.0,3.6580427
7.0,0.0,0.0,2020.0,3.0,1.0,21.0,3.6580427
7.0,0.0,0.0,2020.0,3.0,1.0,22.0,3.6580427
7.0,0.0,0.0,2020.0,3.0,1.0,23.0,3.6580427
1.0,0.0,1.0,2020.0,3.0,2.0,0.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,1.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,2.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,3.0,0.0
1.0,1.5114579,1.0,2020.0,3.0,2.0,4.0,1.5114579
1.0,8.215963,1.0,2020.0,3.0,2.0,5.0,9.727421
1.0,36.797813,1.0,2020.0,3.0,2.0,6.0,46.525234
1.0,101.18614,1.0,2020.0,3.0,2.0,6.9999995,147.71138
1.0,126.50986,1.0,2020.0,3.0,2.0,8.0,274.22125
1.0,108.586,1.0,2020.0,3.0,2.0,9.0,382.80725
1.0,82.68167,1.0,2020.0,3.0,2.0,10.0,465.4889
1.0,66.07848,1.0,2020.0,3.0,2.0,11.0,531.5674
1.0,52.50902,1.0,2020.0,3.0,2.0,12.0,584.0764
1.0,38.018543,1.0,2020.0,3.0,2.0,13.0,622.095
1.0,37.009644,1.0,2020.0,3.0,2.0,13.999999,659.1046
1.0,51.149555,1.0,2020.0,3.0,2.0,15.000001,710.25415
1.0,56.1447,1.0,2020.0,3.0,2.0,16.0,766.39886
1.0,34.924526,1.0,2020.0,3.0,2.0,17.0,801.32336
1.0,11.279784,1.0,2020.0,3.0,2.0,18.0,812.60315
1.0,0.0,1.0,2020.0,3.0,2.0,19.0,812.60315
1.0,0.0,1.0,2020.0,3.0,2.0,20.0,812.60315
1.0,0.0,1.0,2020.0,3.0,2.0,21.0,812.60315
1.0,1.6802076,1.0,2020.0,3.0,2.0,22.0,814.2834
1.0,2.987036,1.0,2020.0,3.0,2.0,23.0,817.2704
2.0,0.0,1.0,2020.0,3.0,3.0,0.0,0.0
2.0,0.0,1.0,2020.0,3.0,3.0,1.0,0.0
2.0,0.0,1.0,2020.0,3.0,3.0,2.0,0.0
2.0,0.0,1.0,2020.0,3.0,3.0,3.0,0.0
2.0,2.1001391,1.0,2020.0,3.0,3.0,4.0,2.1001391
2.0,11.834394,1.0,2020.0,3.0,3.0,5.0,13.934534
2.0,51.98018,1.0,2020.0,3.0,3.0,6.0,65.91471
2.0,103.60485,1.0,2020.0,3.0,3.0,6.9999995,169.51956
2.0,125.097,1.0,2020.0,3.0,3.0,8.0,294.61658
2.0,103.83403,1.0,2020.0,3.0,3.0,9.0,398.4506
2.0,72.45707,1.0,2020.0,3.0,3.0,10.0,470.90765
2.0,45.577732,1.0,2020.0,3.0,3.0,11.0,516.4854
2.0,24.058615,1.0,2020.0,3.0,3.0,12.0,540.544
2.0,20.099955,1.0,2020.0,3.0,3.0,13.0,560.644
2.0,23.22558,1.0,2020.0,3.0,3.0,13.999999,583.86957
2.0,40.356102,1.0,2020.0,3.0,3.0,15.000001,624.22565
2.0,60.46147,1.0,2020.0,3.0,3.0,16.0,684.68713
2.0,46.679455,1.0,2020.0,3.0,3.0,17.0,731.3666
2.0,15.884756,1.0,2020.0,3.0,3.0,18.0,747.25134
2.0,0.2836692,1.0,2020.0,3.0,3.0,19.0,747.535
2.0,0.19592711,1.0,2020.0,3.0,3.0,20.0,747.7309
2.0,2.4090803,1.0,2020.0,3.0,3.0,21.0,750.14
2.0,3.015056,1.0,2020.0,3.0,3.0,22.0,753.1551
2.0,3.649095,1.0,2020.0,3.0,3.0,23.0,756.80414
3.0,0.0,1.0,2020.0,3.0,4.0,0.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,1.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,2.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,3.0,0.0
3.0,1.9065363,1.0,2020.0,3.0,4.0,4.0,1.9065363
3.0,9.130573,1.0,2020.0,3.0,4.0,5.0,11.037109
3.0,30.295437,1.0,2020.0,3.0,4.0,6.0,41.332546
3.0,79.36839,1.0,2020.0,3.0,4.0,6.9999995,120.70094
3.0,111.04174,1.0,2020.0,3.0,4.0,8.0,231.74268
3.0,110.86237,1.0,2020.0,3.0,4.0,9.0,342.60504
3.0,95.785255,1.0,2020.0,3.0,4.0,10.0,438.39032
3.0,62.960335,1.0,2020.0,3.0,4.0,11.0,501.35065
3.0,41.770645,1.0,2020.0,3.0,4.0,12.0,543.1213
3.0,41.032215,1.0,2020.0,3.0,4.0,13.0,584.1535
3.0,36.89039,1.0,2020.0,3.0,4.0,13.999999,621.0439
3.0,39.67273,1.0,2020.0,3.0,4.0,15.000001,660.7166
3.0,59.591087,1.0,2020.0,3.0,4.0,16.0,720.30774
3.0,42.943157,1.0,2020.0,3.0,4.0,17.0,763.25085
3.0,17.630156,1.0,2020.0,3.0,4.0,18.0,780.88104
3.0,15.373896,1.0,2020.0,3.0,4.0,19.0,796.25494
3.0,5.9573092,1.0,2020.0,3.0,4.0,20.0,802.2122
3.0,2.063929,1.0,2020.0,3.0,4.0,21.0,804.2762
3.0,2.7784288,1.0,2020.0,3.0,4.0,22.0,807.05457
3.0,5.100763,1.0,2020.0,3.0,4.0,23.0,812.15533
4.0,3.7265954,1.0,2020.0,3.0,5.0,0.0,3.7265954
4.0,1.3151814,1.0,2020.0,3.0,5.0,1.0,5.0417767
4.0,0.0,1.0,2020.0,3.0,5.0,2.0,5.0417767
4.0,0.0,1.0,2020.0,3.0,5.0,3.0,5.0417767
4.0,0.41214532,1.0,2020.0,3.0,5.0,4.0,5.4539223
4.0,8.966562,1.0,2020.0,3.0,5.0,5.0,14.420485
4.0,31.850729,1.0,2020.0,3.0,5.0,6.0,46.271214
4.0,84.353615,1.0,2020.0,3.0,5.0,6.9999995,130.62483
4.0,106.982735,1.0,2020.0,3.0,5.0,8.0,237.60756
4.0,102.38503,1.0,2020.0,3.0,5.0,9.0,339.99258
4.0,78.20044,1.0,2020.0,3.0,5.0,10.0,418.19302
4.0,66.10053,1.0,2020.0,3.0,5.0,11.0,484.29358
4.0,51.80019,1.0,2020.0,3.0,5.0,12.0,536.09375
4.0,43.41827,1.0,2020.0,3.0,5.0,13.0,579.512
4.0,42.253723,1.0,2020.0,3.0,5.0,13.999999,621.76575
4.0,40.596558,1.0,2020.0,3.0,5.0,15.000001,662.3623
4.0,27.012825,1.0,2020.0,3.0,5.0,16.0,689.3751
4.0,21.676306,1.0,2020.0,3.0,5.0,17.0,711.05145
4.0,23.719648,1.0,2020.0,3.0,5.0,18.0,734.77106
4.0,14.156553,1.0,2020.0,3.0,5.0,19.0,748.9276
4.0,0.28949663,1.0,2020.0,3.0,5.0,20.0,749.21716
4.0,0.0,1.0,2020.0,3.0,5.0,21.0,749.21716
4.0,0.0,1.0,2020.0,3.0,5.0,22.0,749.21716
4.0,0.72554016,1.0,2020.0,3.0,5.0,23.0,749.9427
5.0,0.0,1.0,2020.0,3.0,6.0,0.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,1.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,2.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,3.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,4.0,0.0
5.0,10.008746,1.0,2020.0,3.0,6.0,5.0,10.008746
5.0,35.646297,1.0,2020.0,3.0,6.0,6.0,45.655045
5.0,90.021935,1.0,2020.0,3.0,6.0,6.9999995,135.67697
5.0,131.35583,1.0,2020.0,3.0,6.0,8.0,267.0328
5.0,113.63637,1.0,2020.0,3.0,6.0,9.0,380.6692
5.0,92.039406,1.0,2020.0,3.0,6.0,10.0,472.7086
5.0,70.74593,1.0,2020.0,3.0,6.0,11.0,543.4545
5.0,44.905197,1.0,2020.0,3.0,6.0,12.0,588.35974
5.0,40.10607,1.0,2020.0,3.0,6.0,13.0,628.46576
5.0,37.319427,1.0,2020.0,3.0,6.0,13.999999,665.7852
5.0,48.94086,1.0,2020.0,3.0,6.0,15.000001,714.7261
5.0,45.23438,1.0,2020.0,3.0,6.0,16.0,759.96045
5.0,31.266148,1.0,2020.0,3.0,6.0,17.0,791.2266
5.0,17.567396,1.0,2020.0,3.0,6.0,18.0,808.794
5.0,4.809027,1.0,2020.0,3.0,6.0,19.0,813.603
5.0,4.3178225,1.0,2020.0,3.0,6.0,20.0,817.92084
5.0,9.536045,1.0,2020.0,3.0,6.0,21.0,827.4569
5.0,5.6271143,1.0,2020.0,3.0,6.0,22.0,833.084
5.0,0.0,1.0,2020.0,3.0,6.0,23.0,833.084
6.0,0.0,0.0,2020.0,3.0,7.0,0.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,1.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,2.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,3.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,4.0,0.0
6.0,2.9150054,0.0,2020.0,3.0,7.0,5.0,2.9150054
6.0,2.4275517,0.0,2020.0,3.0,7.0,6.0,5.342557
6.0,5.0386267,0.0,2020.0,3.0,7.0,6.9999995,10.381184
6.0,6.1654673,0.0,2020.0,3.0,7.0,8.0,16.54665
6.0,14.166081,0.0,2020.0,3.0,7.0,9.0,30.712732
6.0,10.141423,0.0,2020.0,3.0,7.0,10.0,40.854156
6.0,11.696586,0.0,2020.0,3.0,7.0,11.0,52.550743
6.0,13.407889,0.0,2020.0,3.0,7.0,12.0,65.95863
6.0,9.639152,0.0,2020.0,3.0,7.0,13.0,75.59778
6.0,4.4043636,0.0,2020.0,3.0,7.0,13.999999,80.002144
6.0,1.2968558,0.0,2020.0,3.0,7.0,15.000001,81.299
6.0,1.573358,0.0,2020.0,3.0,7.0,16.0,82.87236
6.0,1.8738118,0.0,2020.0,3.0,7.0,17.0,84.74617
6.0,1.4057617,0.0,2020.0,3.0,7.0,18.0,86.15193
6.0,0.0,0.0,2020.0,3.0,7.0,19.0,86.15193
6.0,0.0,0.0,2020.0,3.0,7.0,20.0,86.15193
6.0,0.0,0.0,2020.0,3.0,7.0,21.0,86.15193
6.0,0.0,0.0,2020.0,3.0,7.0,22.0,86.15193
6.0,0.25714105,0.0,2020.0,3.0,7.0,23.0,86.40907
7.0,0.0,0.0,2020.0,3.0,8.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,6.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,6.9999995,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,8.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,9.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,10.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,11.0,0.0
7.0,1.0014265,0.0,2020.0,3.0,8.0,12.0,1.0014265
7.0,3.1159337,0.0,2020.0,3.0,8.0,13.0,4.11736
7.0,3.1159337,0.0,2020.0,3.0,8.0,13.999999,7.2332935
7.0,4.188121,0.0,2020.0,3.0,8.0,15.000001,11.421414
7.0,4.814425,0.0,2020.0,3.0,8.0,16.0,16.23584
7.0,2.2031603,0.0,2020.0,3.0,8.0,17.0,18.439
7.0,0.0,0.0,2020.0,3.0,8.0,18.0,18.439
7.0,0.70668966,0.0,2020.0,3.0,8.0,19.0,19.145689
7.0,1.0285045,0.0,2020.0,3.0,8.0,20.0,20.174194
7.0,0.8667559,0.0,2020.0,3.0,8.0,21.0,21.040949
7.0,0.0,0.0,2020.0,3.0,8.0,22.0,21.040949
7.0,0.43125668,0.0,2020.0,3.0,8.0,23.0,21.472206
1.0,0.0,1.0,2020.0,3.0,9.0,0.0,0.0
1.0,0.0,1.0,2020.0,3.0,9.0,1.0,0.0
1.0,0.0,1.0,2020.0,3.0,9.0,2.0,0.0
1.0,0.0,1.0,2020.0,3.0,9.0,3.0,0.0
1.0,2.9643075,1.0,2020.0,3.0,9.0,4.0,2.9643075
1.0,9.835505,1.0,2020.0,3.0,9.0,5.0,12.799812
1.0,39.1693,1.0,2020.0,3.0,9.0,6.0,51.969112
1.0,85.90686,1.0,2020.0,3.0,9.0,6.9999995,137.87598
1.0,100.55675,1.0,2020.0,3.0,9.0,8.0,238.43272
1.0,84.149185,1.0,2020.0,3.0,9.0,9.0,322.5819
1.0,68.71798,1.0,2020.0,3.0,9.0,10.0,391.2999
1.0,60.621815,1.0,2020.0,3.0,9.0,11.0,451.9217
1.0,44.38867,1.0,2020.0,3.0,9.0,12.0,496.31036
1.0,41.668533,1.0,2020.0,3.0,9.0,13.0,537.9789
1.0,50.99979,1.0,2020.0,3.0,9.0,13.999999,588.9787
1.0,75.04451,1.0,2020.0,3.0,9.0,15.000001,664.0232
1.0,86.32872,1.0,2020.0,3.0,9.0,16.0,750.3519
1.0,56.340694,1.0,2020.0,3.0,9.0,17.0,806.6926
1.0,17.044058,1.0,2020.0,3.0,9.0,18.0,823.7367
1.0,9.751164,1.0,2020.0,3.0,9.0,19.0,833.48785
1.0,5.0433164,1.0,2020.0,3.0,9.0,20.0,838.5312
1.0,2.1708727,1.0,2020.0,3.0,9.0,21.0,840.702
1.0,2.1468356,1.0,2020.0,3.0,9.0,22.0,842.8489
1.0,2.1708727,1.0,2020.0,3.0,9.0,23.0,845.0197
2.0,2.1708727,1.0,2020.0,3.0,10.0,0.0,2.1708727
2.0,0.0,1.0,2020.0,3.0,10.0,1.0,2.1708727
2.0,0.0,1.0,2020.0,3.0,10.0,2.0,2.1708727
2.0,0.0,1.0,2020.0,3.0,10.0,3.0,2.1708727
2.0,0.0,1.0,2020.0,3.0,10.0,4.0,2.1708727
2.0,14.007655,1.0,2020.0,3.0,10.0,5.0,16.178528
2.0,38.831158,1.0,2020.0,3.0,10.0,6.0,55.009686
2.0,82.17785,1.0,2020.0,3.0,10.0,6.9999995,137.18753
2.0,110.10644,1.0,2020.0,3.0,10.0,8.0,247.29398
2.0,100.05399,1.0,2020.0,3.0,10.0,9.0,347.34796
2.0,82.04819,1.0,2020.0,3.0,10.0,10.0,429.39615
2.0,59.85241,1.0,2020.0,3.0,10.0,11.0,489.24857
2.0,53.46955,1.0,2020.0,3.0,10.0,12.0,542.71814
2.0,48.60534,1.0,2020.0,3.0,10.0,13.0,591.3235
2.0,49.93539,1.0,2020.0,3.0,10.0,13.999999,641.25885
2.0,53.603752,1.0,2020.0,3.0,10.0,15.000001,694.8626
2.0,50.00444,1.0,2020.0,3.0,10.0,16.0,744.86707
2.0,34.638042,1.0,2020.0,3.0,10.0,17.0,779.50507
2.0,18.401478,1.0,2020.0,3.0,10.0,18.0,797.90656
2.0,8.208444,1.0,2020.0,3.0,10.0,19.0,806.115
2.0,0.0,1.0,2020.0,3.0,10.0,20.0,806.115
2.0,0.0,1.0,2020.0,3.0,10.0,21.0,806.115
2.0,0.7333511,1.0,2020.0,3.0,10.0,22.0,806.8483
2.0,0.0,1.0,2020.0,3.0,10.0,23.0,806.8483
3.0,0.0,1.0,2020.0,3.0,11.0,0.0,0.0
3.0,0.0,1.0,2020.0,3.0,11.0,1.0,0.0
3.0,0.0,1.0,2020.0,3.0,11.0,2.0,0.0
3.0,0.0,1.0,2020.0,3.0,11.0,3.0,0.0
3.0,0.0,1.0,2020.0,3.0,11.0,4.0,0.0
3.0,6.7734375,1.0,2020.0,3.0,11.0,5.0,6.7734375
3.0,34.2421,1.0,2020.0,3.0,11.0,6.0,41.015537
3.0,83.77044,1.0,2020.0,3.0,11.0,6.9999995,124.78598
3.0,98.7941,1.0,2020.0,3.0,11.0,8.0,223.58008
3.0,85.726425,1.0,2020.0,3.0,11.0,9.0,309.3065
3.0,68.93052,1.0,2020.0,3.0,11.0,10.0,378.237
3.0,51.390644,1.0,2020.0,3.0,11.0,11.0,429.62766
3.0,38.138332,1.0,2020.0,3.0,11.0,12.0,467.766
3.0,34.65016,1.0,2020.0,3.0,11.0,13.0,502.41614
3.0,55.643665,1.0,2020.0,3.0,11.0,13.999999,558.0598
3.0,65.73873,1.0,2020.0,3.0,11.0,15.000001,623.7986
3.0,62.85338,1.0,2020.0,3.0,11.0,16.0,686.6519
3.0,41.858154,1.0,2020.0,3.0,11.0,17.0,728.5101
3.0,13.995917,1.0,2020.0,3.0,11.0,18.0,742.506
3.0,4.4790406,1.0,2020.0,3.0,11.0,19.0,746.98505
3.0,2.6817021,1.0,2020.0,3.0,11.0,20.0,749.66675
3.0,9.02765,1.0,2020.0,3.0,11.0,21.0,758.6944
3.0,12.724936,1.0,2020.0,3.0,11.0,22.0,771.4193
3.0,11.870635,1.0,2020.0,3.0,11.0,23.0,783.29
4.0,8.7928295,1.0,2020.0,3.0,12.0,0.0,8.7928295
4.0,0.0,1.0,2020.0,3.0,12.0,1.0,8.7928295
4.0,0.0,1.0,2020.0,3.0,12.0,2.0,8.7928295
4.0,0.0,1.0,2020.0,3.0,12.0,3.0,8.7928295
4.0,0.67031896,1.0,2020.0,3.0,12.0,4.0,9.463148
4.0,4.967081,1.0,2020.0,3.0,12.0,5.0,14.430229
4.0,11.9368515,1.0,2020.0,3.0,12.0,6.0,26.36708
4.0,27.918392,1.0,2020.0,3.0,12.0,6.9999995,54.285473
4.0,33.34079,1.0,2020.0,3.0,12.0,8.0,87.62627
4.0,27.723234,1.0,2020.0,3.0,12.0,9.0,115.349495
4.0,32.492405,1.0,2020.0,3.0,12.0,10.0,147.8419
4.0,20.406382,1.0,2020.0,3.0,12.0,11.0,168.24829
4.0,9.0609255,1.0,2020.0,3.0,12.0,12.0,177.3092
4.0,8.847261,1.0,2020.0,3.0,12.0,13.0,186.15648
4.0,13.211313,1.0,2020.0,3.0,12.0,13.999999,199.36778
4.0,21.311571,1.0,2020.0,3.0,12.0,15.000001,220.67935
4.0,17.018736,1.0,2020.0,3.0,12.0,16.0,237.69809
4.0,16.31045,1.0,2020.0,3.0,12.0,17.0,254.00854
4.0,11.405492,1.0,2020.0,3.0,12.0,18.0,265.41403
4.0,4.9989896,1.0,2020.0,3.0,12.0,19.0,270.41302
4.0,6.502251,1.0,2020.0,3.0,12.0,20.0,276.91528
4.0,4.5564566,1.0,2020.0,3.0,12.0,21.0,281.47174
4.0,3.4204292,1.0,2020.0,3.0,12.0,22.0,284.89215
4.0,2.964734,1.0,2020.0,3.0,12.0,23.0,287.8569
5.0,0.65255475,1.0,2020.0,3.0,13.0,0.0,0.65255475
5.0,0.0,1.0,2020.0,3.0,13.0,1.0,0.65255475
5.0,0.0,1.0,2020.0,3.0,13.0,2.0,0.65255475
5.0,0.0,1.0,2020.0,3.0,13.0,3.0,0.65255475
5.0,0.0,1.0,2020.0,3.0,13.0,4.0,0.65255475
5.0,0.0,1.0,2020.0,3.0,13.0,5.0,0.65255475
5.0,9.083968,1.0,2020.0,3.0,13.0,6.0,9.736523
5.0,15.106755,1.0,2020.0,3.0,13.0,6.9999995,24.843277
5.0,17.70359,1.0,2020.0,3.0,13.0,8.0,42.546867
5.0,15.1485,1.0,2020.0,3.0,13.0,9.0,57.695366
5.0,10.76829,1.0,2020.0,3.0,13.0,10.0,68.46365
5.0,5.4601865,1.0,2020.0,3.0,13.0,11.0,73.92384
5.0,4.0348577,1.0,2020.0,3.0,13.0,12.0,77.9587
5.0,11.259558,1.0,2020.0,3.0,13.0,13.0,89.21826
5.0,12.227387,1.0,2020.0,3.0,13.0,13.999999,101.44565
5.0,10.397962,1.0,2020.0,3.0,13.0,15.000001,111.84361
5.0,8.741693,1.0,2020.0,3.0,13.0,16.0,120.585304
5.0,2.4562163,1.0,2020.0,3.0,13.0,17.0,123.04152
5.0,2.4352517,1.0,2020.0,3.0,13.0,18.0,125.47677
5.0,1.2967715,1.0,2020.0,3.0,13.0,19.0,126.773544
5.0,0.0,1.0,2020.0,3.0,13.0,20.0,126.773544
5.0,0.0,1.0,2020.0,3.0,13.0,21.0,126.773544
5.0,0.0,1.0,2020.0,3.0,13.0,22.0,126.773544
5.0,0.0,1.0,2020.0,3.0,13.0,23.0,126.773544
6.0,0.0,0.0,2020.0,3.0,14.0,0.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,1.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,2.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,3.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,4.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,5.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,6.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,6.9999995,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,8.0,0.0
6.0,1.7324208,0.0,2020.0,3.0,14.0,9.0,1.7324208
6.0,5.080674,0.0,2020.0,3.0,14.0,10.0,6.813095
6.0,6.293355,0.0,2020.0,3.0,14.0,11.0,13.10645
6.0,6.293355,0.0,2020.0,3.0,14.0,12.0,19.399805
6.0,0.9335143,0.0,2020.0,3.0,14.0,13.0,20.333319
6.0,3.2808523,0.0,2020.0,3.0,14.0,13.999999,23.614172
6.0,6.424739,0.0,2020.0,3.0,14.0,15.000001,30.03891
6.0,2.2897055,0.0,2020.0,3.0,14.0,16.0,32.328617
6.0,0.0,0.0,2020.0,3.0,14.0,17.0,32.328617
6.0,0.0,0.0,2020.0,3.0,14.0,18.0,32.328617
6.0,0.0,0.0,2020.0,3.0,14.0,19.0,32.328617
6.0,0.0,0.0,2020.0,3.0,14.0,20.0,32.328617
6.0,0.0,0.0,2020.0,3.0,14.0,21.0,32.328617
6.0,0.0,0.0,2020.0,3.0,14.0,22.0,32.328617
6.0,0.0,0.0,2020.0,3.0,14.0,23.0,32.328617
7.0,0.0,0.0,2020.0,3.0,15.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,6.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,6.9999995,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,8.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,9.0,0.0
7.0,0.27575758,0.0,2020.0,3.0,15.0,10.0,0.27575758
7.0,2.1930246,0.0,2020.0,3.0,15.0,11.0,2.4687822
7.0,6.623874,0.0,2020.0,3.0,15.0,12.0,9.092656
7.0,6.6954966,0.0,2020.0,3.0,15.0,13.0,15.788153
7.0,4.85208,0.0,2020.0,3.0,15.0,13.999999,20.640232
7.0,9.25306,0.0,2020.0,3.0,15.0,15.000001,29.893293
7.0,7.188539,0.0,2020.0,3.0,15.0,16.0,37.081833
7.0,6.388109,0.0,2020.0,3.0,15.0,17.0,43.46994
7.0,1.506529,0.0,2020.0,3.0,15.0,18.0,44.97647
7.0,0.0,0.0,2020.0,3.0,15.0,19.0,44.97647
7.0,0.8741319,0.0,2020.0,3.0,15.0,20.0,45.8506
7.0,0.0,0.0,2020.0,3.0,15.0,21.0,45.8506
7.0,0.0,0.0,2020.0,3.0,15.0,22.0,45.8506
7.0,0.0,0.0,2020.0,3.0,15.0,23.0,45.8506
1.0,0.0,1.0,2020.0,3.0,16.0,0.0,0.0
1.0,0.0,1.0,2020.0,3.0,16.0,1.0,0.0
1.0,0.0,1.0,2020.0,3.0,16.0,2.0,0.0
1.0,0.0,1.0,2020.0,3.0,16.0,3.0,0.0
1.0,1.3840222,1.0,2020.0,3.0,16.0,4.0,1.3840222
1.0,10.117767,1.0,2020.0,3.0,16.0,5.0,11.501789
1.0,33.836548,1.0,2020.0,3.0,16.0,6.0,45.338337
1.0,84.07879,1.0,2020.0,3.0,16.0,6.9999995,129.41713
1.0,124.61598,1.0,2020.0,3.0,16.0,8.0,254.03311
1.0,122.7602,1.0,2020.0,3.0,16.0,9.0,376.7933
1.0,114.11018,1.0,2020.0,3.0,16.0,10.0,490.9035
1.0,86.00675,1.0,2020.0,3.0,16.0,11.0,576.9102
1.0,55.799767,1.0,2020.0,3.0,16.0,12.0,632.71
1.0,48.982628,1.0,2020.0,3.0,16.0,13.0,681.6926
1.0,26.518656,1.0,2020.0,3.0,16.0,13.999999,708.2113
1.0,24.14701,1.0,2020.0,3.0,16.0,15.000001,732.3583
1.0,15.092016,1.0,2020.0,3.0,16.0,16.0,747.4503
1.0,4.7212167,1.0,2020.0,3.0,16.0,17.0,752.1715
1.0,5.403903,1.0,2020.0,3.0,16.0,18.0,757.57544
1.0,3.528545,1.0,2020.0,3.0,16.0,19.0,761.104
1.0,4.054863,1.0,2020.0,3.0,16.0,20.0,765.1589
1.0,4.200855,1.0,2020.0,3.0,16.0,21.0,769.3597
1.0,5.017119,1.0,2020.0,3.0,16.0,22.0,774.37683
1.0,2.4078114,1.0,2020.0,3.0,16.0,23.0,776.7846
2.0,2.0111911,1.0,2020.0,3.0,17.000002,0.0,2.0111911
2.0,0.0,1.0,2020.0,3.0,17.000002,1.0,2.0111911
2.0,0.0,1.0,2020.0,3.0,17.000002,2.0,2.0111911
2.0,0.0,1.0,2020.0,3.0,17.000002,3.0,2.0111911
2.0,0.0,1.0,2020.0,3.0,17.000002,4.0,2.0111911
2.0,3.9759736,1.0,2020.0,3.0,17.000002,5.0,5.9871645
2.0,17.318565,1.0,2020.0,3.0,17.000002,6.0,23.305729
2.0,25.859001,1.0,2020.0,3.0,17.000002,6.9999995,49.16473
2.0,28.133568,1.0,2020.0,3.0,17.000002,8.0,77.298294
2.0,23.06795,1.0,2020.0,3.0,17.000002,9.0,100.36625
2.0,19.45665,1.0,2020.0,3.0,17.000002,10.0,119.8229
2.0,16.77688,1.0,2020.0,3.0,17.000002,11.0,136.59978
2.0,13.327667,1.0,2020.0,3.0,17.000002,12.0,149.92744
2.0,7.3735285,1.0,2020.0,3.0,17.000002,13.0,157.30098
2.0,9.220387,1.0,2020.0,3.0,17.000002,13.999999,166.52136
2.0,9.647271,1.0,2020.0,3.0,17.000002,15.000001,176.16862
2.0,7.218453,1.0,2020.0,3.0,17.000002,16.0,183.38708
