Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
1.0,0.0,1.0,2019.0,9.0,2.0,23.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,0.0,0.0
2.0,0.0076941866,1.0,2019.0,9.0,3.0,1.0,0.0076941866
2.0,0.0,1.0,2019.0,9.0,3.0,2.0,0.0076941866
2.0,0.0,1.0,2019.0,9.0,3.0,3.0,0.0076941866
2.0,0.2706986,1.0,2019.0,9.0,3.0,4.0,0.2783928
2.0,5.190511,1.0,2019.0,9.0,3.0,5.0,5.468904
2.0,20.133413,1.0,2019.0,9.0,3.0,6.0,25.602318
2.0,24.381592,1.0,2019.0,9.0,3.0,6.9999995,49.98391
2.0,53.157284,1.0,2019.0,9.0,3.0,8.0,103.14119
2.0,96.67668,1.0,2019.0,9.0,3.0,9.0,199.81787
2.0,127.05426,1.0,2019.0,9.0,3.0,10.0,326.87213
2.0,129.26306,1.0,2019.0,9.0,3.0,11.0,456.1352
2.0,102.176926,1.0,2019.0,9.0,3.0,12.0,558.31213
2.0,81.72167,1.0,2019.0,9.0,3.0,13.0,640.0338
2.0,95.908585,1.0,2019.0,9.0,3.0,13.999999,735.9424
2.0,97.05901,1.0,2019.0,9.0,3.0,15.000001,833.0014
2.0,105.158806,1.0,2019.0,9.0,3.0,16.0,938.1602
2.0,76.43796,1.0,2019.0,9.0,3.0,17.0,1014.59814
2.0,74.19013,1.0,2019.0,9.0,3.0,18.0,1088.7883
2.0,35.95061,1.0,2019.0,9.0,3.0,19.0,1124.7389
2.0,16.71168,1.0,2019.0,9.0,3.0,20.0,1141.4506
2.0,3.858885,1.0,2019.0,9.0,3.0,21.0,1145.3094
2.0,2.0916026,1.0,2019.0,9.0,3.0,22.0,1147.4011
2.0,0.0,1.0,2019.0,9.0,3.0,23.0,1147.4011
3.0,1.6287376,1.0,2019.0,9.0,4.0,0.0,1.6287376
3.0,0.0,1.0,2019.0,9.0,4.0,1.0,1.6287376
3.0,0.0,1.0,2019.0,9.0,4.0,2.0,1.6287376
3.0,0.0,1.0,2019.0,9.0,4.0,3.0,1.6287376
3.0,0.1365309,1.0,2019.0,9.0,4.0,4.0,1.7652684
3.0,10.4704895,1.0,2019.0,9.0,4.0,5.0,12.235758
3.0,25.507742,1.0,2019.0,9.0,4.0,6.0,37.7435
3.0,23.498606,1.0,2019.0,9.0,4.0,6.9999995,61.242104
3.0,37.518726,1.0,2019.0,9.0,4.0,8.0,98.76083
3.0,75.18877,1.0,2019.0,9.0,4.0,9.0,173.9496
3.0,108.59578,1.0,2019.0,9.0,4.0,10.0,282.54538
3.0,140.6263,1.0,2019.0,9.0,4.0,11.0,423.1717
3.0,127.85934,1.0,2019.0,9.0,4.0,12.0,551.031
3.0,75.74846,1.0,2019.0,9.0,4.0,13.0,626.7795
3.0,91.74643,1.0,2019.0,9.0,4.0,13.999999,718.5259
3.0,93.54938,1.0,2019.0,9.0,4.0,15.000001,812.07526
3.0,88.23054,1.0,2019.0,9.0,4.0,16.0,900.3058
3.0,53.74696,1.0,2019.0,9.0,4.0,17.0,954.0528
3.0,54.43936,1.0,2019.0,9.0,4.0,18.0,1008.4921
3.0,53.403725,1.0,2019.0,9.0,4.0,19.0,1061.8959
3.0,37.584736,1.0,2019.0,9.0,4.0,20.0,1099.4806
3.0,25.838207,1.0,2019.0,9.0,4.0,21.0,1125.3188
3.0,14.305475,1.0,2019.0,9.0,4.0,22.0,1139.6243
3.0,9.811553,1.0,2019.0,9.0,4.0,23.0,1149.4358
4.0,4.497342,1.0,2019.0,9.0,5.0,0.0,4.497342
4.0,0.0,1.0,2019.0,9.0,5.0,1.0,4.497342
4.0,0.0,1.0,2019.0,9.0,5.0,2.0,4.497342
4.0,0.0,1.0,2019.0,9.0,5.0,3.0,4.497342
4.0,0.40897253,1.0,2019.0,9.0,5.0,4.0,4.906315
4.0,8.049018,1.0,2019.0,9.0,5.0,5.0,12.955333
4.0,15.401645,1.0,2019.0,9.0,5.0,6.0,28.356977
4.0,12.836771,1.0,2019.0,9.0,5.0,6.9999995,41.19375
4.0,30.690174,1.0,2019.0,9.0,5.0,8.0,71.88393
4.0,78.43809,1.0,2019.0,9.0,5.0,9.0,150.322
4.0,121.11043,1.0,2019.0,9.0,5.0,10.0,271.43243
4.0,116.82671,1.0,2019.0,9.0,5.0,11.0,388.25916
4.0,132.36763,1.0,2019.0,9.0,5.0,12.0,520.6268
4.0,108.96868,1.0,2019.0,9.0,5.0,13.0,629.59546
4.0,80.960075,1.0,2019.0,9.0,5.0,13.999999,710.55554
4.0,77.9046,1.0,2019.0,9.0,5.0,15.000001,788.46014
4.0,80.076096,1.0,2019.0,9.0,5.0,16.0,868.53625
4.0,54.75906,1.0,2019.0,9.0,5.0,17.0,923.2953
4.0,57.905197,1.0,2019.0,9.0,5.0,18.0,981.2005
4.0,67.92622,1.0,2019.0,9.0,5.0,19.0,1049.1267
4.0,64.05555,1.0,2019.0,9.0,5.0,20.0,1113.1823
4.0,19.461445,1.0,2019.0,9.0,5.0,21.0,1132.6437
4.0,6.5429287,1.0,2019.0,9.0,5.0,22.0,1139.1866
4.0,7.160205,1.0,2019.0,9.0,5.0,23.0,1146.3468
5.0,9.481889,1.0,2019.0,9.0,6.0,0.0,9.481889
5.0,0.0,1.0,2019.0,9.0,6.0,1.0,9.481889
5.0,1.5744716,1.0,2019.0,9.0,6.0,2.0,11.05636
5.0,0.0,1.0,2019.0,9.0,6.0,3.0,11.05636
5.0,0.0,1.0,2019.0,9.0,6.0,4.0,11.05636
5.0,5.3414083,1.0,2019.0,9.0,6.0,5.0,16.397768
5.0,17.12863,1.0,2019.0,9.0,6.0,6.0,33.526398
5.0,19.935911,1.0,2019.0,9.0,6.0,6.9999995,53.46231
5.0,47.955513,1.0,2019.0,9.0,6.0,8.0,101.41782
5.0,93.46908,1.0,2019.0,9.0,6.0,9.0,194.8869
5.0,115.81273,1.0,2019.0,9.0,6.0,10.0,310.69965
5.0,122.186485,1.0,2019.0,9.0,6.0,11.0,432.8861
5.0,141.27834,1.0,2019.0,9.0,6.0,12.0,574.1644
5.0,120.00768,1.0,2019.0,9.0,6.0,13.0,694.1721
5.0,90.657005,1.0,2019.0,9.0,6.0,13.999999,784.82916
5.0,64.64049,1.0,2019.0,9.0,6.0,15.000001,849.4696
5.0,60.225018,1.0,2019.0,9.0,6.0,16.0,909.69464
5.0,74.04063,1.0,2019.0,9.0,6.0,17.0,983.7353
5.0,65.165726,1.0,2019.0,9.0,6.0,18.0,1048.901
5.0,63.18483,1.0,2019.0,9.0,6.0,19.0,1112.0858
5.0,57.312862,1.0,2019.0,9.0,6.0,20.0,1169.3987
5.0,33.686283,1.0,2019.0,9.0,6.0,21.0,1203.085
5.0,20.956043,1.0,2019.0,9.0,6.0,22.0,1224.041
5.0,21.708994,1.0,2019.0,9.0,6.0,23.0,1245.75
6.0,10.590372,0.0,2019.0,9.0,7.0,0.0,10.590372
6.0,1.3847154,0.0,2019.0,9.0,7.0,1.0,11.975087
6.0,0.0,0.0,2019.0,9.0,7.0,2.0,11.975087
6.0,0.0,0.0,2019.0,9.0,7.0,3.0,11.975087
6.0,0.0,0.0,2019.0,9.0,7.0,4.0,11.975087
6.0,0.0,0.0,2019.0,9.0,7.0,5.0,11.975087
6.0,0.0,0.0,2019.0,9.0,7.0,6.0,11.975087
6.0,3.5974338,0.0,2019.0,9.0,7.0,6.9999995,15.572521
6.0,14.944179,0.0,2019.0,9.0,7.0,8.0,30.5167
6.0,24.405449,0.0,2019.0,9.0,7.0,9.0,54.92215
6.0,56.177185,0.0,2019.0,9.0,7.0,10.0,111.099335
6.0,56.29435,0.0,2019.0,9.0,7.0,11.0,167.39368
6.0,74.52784,0.0,2019.0,9.0,7.0,12.0,241.92152
6.0,105.277435,0.0,2019.0,9.0,7.0,13.0,347.19897
6.0,79.78885,0.0,2019.0,9.0,7.0,13.999999,426.9878
6.0,47.348423,0.0,2019.0,9.0,7.0,15.000001,474.33624
6.0,42.31794,0.0,2019.0,9.0,7.0,16.0,516.6542
6.0,46.56148,0.0,2019.0,9.0,7.0,17.0,563.21564
