Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2020.0,3.0,1.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,6.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,7.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,8.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,9.0,0.0
7.0,4.066964985829749,0.0,2020.0,3.0,1.0,10.0,4.066964985829749
7.0,3.794035014170251,0.0,2020.0,3.0,1.0,11.0,7.861
7.0,4.3056324901195095,0.0,2020.0,3.0,1.0,12.0,12.16663249011951
7.0,0.0,0.0,2020.0,3.0,1.0,13.0,12.16663249011951
7.0,3.2888912436620723,0.0,2020.0,3.0,1.0,14.0,15.455523733781583
7.0,3.2888912436620723,0.0,2020.0,3.0,1.0,15.0,18.744414977443654
7.0,5.984651606589455,0.0,2020.0,3.0,1.0,16.0,24.72906658403311
7.0,7.073670037514263,0.0,2020.0,3.0,1.0,17.0,31.80273662154737
7.0,14.021432818700356,0.0,2020.0,3.0,1.0,18.0,45.82416944024773
7.0,7.84324553719593,0.0,2020.0,3.0,1.0,19.0,53.667414977443656
7.0,1.9608113842989825,0.0,2020.0,3.0,1.0,20.0,55.62822636174264
7.0,0.0,0.0,2020.0,3.0,1.0,21.0,55.62822636174264
7.0,0.0,0.0,2020.0,3.0,1.0,22.0,55.62822636174264
7.0,0.0,0.0,2020.0,3.0,1.0,23.0,55.62822636174264
1.0,0.0,1.0,2020.0,3.0,2.0,0.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,1.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,2.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,3.0,0.0
1.0,1.511458015733505,1.0,2020.0,3.0,2.0,4.0,1.511458015733505
1.0,7.817308652371873,1.0,2020.0,3.0,2.0,5.0,9.328766668105377
1.0,21.052981728085946,1.0,2020.0,3.0,2.0,6.0,30.381748396191323
1.0,38.11966066611737,1.0,2020.0,3.0,2.0,7.0,68.5014090623087
1.0,46.85657341496967,1.0,2020.0,3.0,2.0,8.0,115.35798247727837
1.0,122.27702342629136,1.0,2020.0,3.0,2.0,9.0,237.63500590356972
1.0,92.0060084741481,1.0,2020.0,3.0,2.0,10.0,329.64101437771785
1.0,103.9978502149296,1.0,2020.0,3.0,2.0,11.0,433.63886459264745
1.0,30.29197445821854,1.0,2020.0,3.0,2.0,12.0,463.930839050866
1.0,62.73169753028206,1.0,2020.0,3.0,2.0,13.0,526.6625365811481
1.0,22.176612050987753,1.0,2020.0,3.0,2.0,14.0,548.8391486321358
1.0,60.218686680616024,1.0,2020.0,3.0,2.0,15.0,609.0578353127518
1.0,65.76388261637805,1.0,2020.0,3.0,2.0,16.0,674.8217179291298
1.0,40.74915693206123,1.0,2020.0,3.0,2.0,17.0,715.5708748611911
1.0,4.476733448136115,1.0,2020.0,3.0,2.0,18.0,720.0476083093272
1.0,0.998846845383026,1.0,2020.0,3.0,2.0,19.0,721.0464551547102
1.0,1.463175863190563,1.0,2020.0,3.0,2.0,20.0,722.5096310179008
1.0,0.186612998127842,1.0,2020.0,3.0,2.0,21.0,722.6962440160287
1.0,1.6802076993304982,1.0,2020.0,3.0,2.0,22.0,724.3764517153592
1.0,2.9870359099208854,1.0,2020.0,3.0,2.0,23.0,727.3634876252801
2.0,0.0,1.0,2020.0,3.0,3.0,0.0,0.0
2.0,0.0,1.0,2020.0,3.0,3.0,1.0,0.0
2.0,0.0,1.0,2020.0,3.0,3.0,2.0,0.0
2.0,0.37786450393337623,1.0,2020.0,3.0,3.0,3.0,0.37786450393337623
2.0,1.8118728939338675,1.0,2020.0,3.0,3.0,4.0,2.1897373978672436
2.0,6.916108131545482,1.0,2020.0,3.0,3.0,5.0,9.105845529412726
2.0,48.871068701811694,1.0,2020.0,3.0,3.0,6.0,57.97691423122442
2.0,98.12315307699116,1.0,2020.0,3.0,3.0,7.0,156.10006730821559
2.0,125.0670392277669,1.0,2020.0,3.0,3.0,8.0,281.1671065359825
2.0,128.05577480162822,1.0,2020.0,3.0,3.0,9.0,409.2228813376107
2.0,97.66152608751293,1.0,2020.0,3.0,3.0,10.0,506.88440742512364
2.0,92.00600847414812,1.0,2020.0,3.0,3.0,11.0,598.8904158992717
2.0,36.6834327476265,1.0,2020.0,3.0,3.0,12.0,635.5738486468982
2.0,36.56557319846422,1.0,2020.0,3.0,3.0,13.0,672.1394218453624
2.0,35.78013933816137,1.0,2020.0,3.0,3.0,14.0,707.9195611835238
2.0,50.64305656356234,1.0,2020.0,3.0,3.0,15.0,758.5626177470862
2.0,66.3234730376799,1.0,2020.0,3.0,3.0,16.0,824.8860907847661
2.0,22.176612050987753,1.0,2020.0,3.0,3.0,17.0,847.0627028357538
2.0,4.658798611895923,1.0,2020.0,3.0,3.0,18.0,851.7215014476498
2.0,0.2836692132975258,1.0,2020.0,3.0,3.0,19.0,852.0051706609472
2.0,2.360249028969297,1.0,2020.0,3.0,3.0,20.0,854.3654196899165
2.0,3.1457071194959934,1.0,2020.0,3.0,3.0,21.0,857.5111268094125
2.0,3.1457071194959934,1.0,2020.0,3.0,3.0,22.0,860.6568339289086
2.0,3.6490949593216033,1.0,2020.0,3.0,3.0,23.0,864.3059288882301
3.0,0.0,1.0,2020.0,3.0,4.0,0.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,1.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,2.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,3.0,0.0
3.0,1.9065363272352296,1.0,2020.0,3.0,4.0,4.0,1.9065363272352296
3.0,9.13057299886336,1.0,2020.0,3.0,4.0,5.0,11.03710932609859
3.0,29.277161910701903,1.0,2020.0,3.0,4.0,6.0,40.314271236800494
3.0,81.88199182866492,1.0,2020.0,3.0,4.0,7.0,122.19626306546542
3.0,117.56571283846048,1.0,2020.0,3.0,4.0,8.0,239.7619759039259
3.0,139.2078870859196,1.0,2020.0,3.0,4.0,9.0,378.9698629898455
3.0,149.00865445035868,1.0,2020.0,3.0,4.0,10.0,527.9785174402042
3.0,93.31395241439712,1.0,2020.0,3.0,4.0,11.0,621.2924698546013
3.0,50.575365299905485,1.0,2020.0,3.0,4.0,12.0,671.8678351545068
3.0,55.304505755795205,1.0,2020.0,3.0,4.0,13.0,727.172340910302
3.0,48.24254564320906,1.0,2020.0,3.0,4.0,14.0,775.414886553511
3.0,43.76500473929636,1.0,2020.0,3.0,4.0,15.0,819.1798912928074
3.0,19.232201811090967,1.0,2020.0,3.0,4.0,16.0,838.4120931038983
3.0,42.943156802236366,1.0,2020.0,3.0,4.0,17.0,881.3552499061348
3.0,43.99012190958657,1.0,2020.0,3.0,4.0,18.0,925.3453718157214
3.0,15.373896186047087,1.0,2020.0,3.0,4.0,19.0,940.7192680017683
3.0,6.574786647917208,1.0,2020.0,3.0,4.0,20.0,947.2940546496856
3.0,5.331451786449762,1.0,2020.0,3.0,4.0,21.0,952.6255064361353
3.0,2.7784286134694884,1.0,2020.0,3.0,4.0,22.0,955.4039350496048
3.0,5.100762985548011,1.0,2020.0,3.0,4.0,23.0,960.5046980351528
4.0,3.726595643696988,1.0,2020.0,3.0,5.0,0.0,3.726595643696988
4.0,1.315181475443256,1.0,2020.0,3.0,5.0,1.0,5.041777119140244
4.0,1.2740812041658878,1.0,2020.0,3.0,5.0,2.0,6.315858323306132
4.0,0.0,1.0,2020.0,3.0,5.0,3.0,6.315858323306132
4.0,0.0545476975233072,1.0,2020.0,3.0,5.0,4.0,6.370406020829439
4.0,6.391858947091718,1.0,2020.0,3.0,5.0,5.0,12.762264967921157
4.0,29.03163355899113,1.0,2020.0,3.0,5.0,6.0,41.79389852691229
4.0,75.60221911132643,1.0,2020.0,3.0,5.0,7.0,117.39611763823872
4.0,98.85738381937752,1.0,2020.0,3.0,5.0,8.0,216.25350145761624
4.0,111.71831274179443,1.0,2020.0,3.0,5.0,9.0,327.9718141994107
4.0,89.43724710393016,1.0,2020.0,3.0,5.0,10.0,417.4090613033408
4.0,71.88927364755098,1.0,2020.0,3.0,5.0,11.0,489.2983349508918
4.0,68.07142501308836,1.0,2020.0,3.0,5.0,12.0,557.3697599639802
4.0,57.66236756530424,1.0,2020.0,3.0,5.0,13.0,615.0321275292844
4.0,50.70014136254292,1.0,2020.0,3.0,5.0,14.0,665.7322688918273
4.0,52.8243246655519,1.0,2020.0,3.0,5.0,15.0,718.5565935573792
4.0,34.60861096487566,1.0,2020.0,3.0,5.0,16.0,753.1652045222548
4.0,62.09771321451565,1.0,2020.0,3.0,5.0,17.0,815.2629177367705
4.0,24.64974688888983,1.0,2020.0,3.0,5.0,18.0,839.9126646256603
4.0,16.90008296167764,1.0,2020.0,3.0,5.0,19.0,856.812747587338
4.0,3.1121994057733144,1.0,2020.0,3.0,5.0,20.0,859.9249469931113
4.0,1.2377673766816153,1.0,2020.0,3.0,5.0,21.0,861.162714369793
4.0,0.0,1.0,2020.0,3.0,5.0,22.0,861.162714369793
4.0,5.312512436033142,1.0,2020.0,3.0,5.0,23.0,866.4752268058261
5.0,0.0,1.0,2020.0,3.0,6.0,0.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,1.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,2.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,3.0,0.0
5.0,0.4902710061896342,1.0,2020.0,3.0,6.0,4.0,0.4902710061896342
5.0,4.546067644052044,1.0,2020.0,3.0,6.0,5.0,5.036338650241679
5.0,35.847202485770445,1.0,2020.0,3.0,6.0,6.0,40.88354113601213
5.0,83.86825270561384,1.0,2020.0,3.0,6.0,7.0,124.75179384162597
5.0,129.87151343701973,1.0,2020.0,3.0,6.0,8.0,254.6233072786457
5.0,132.4071847136875,1.0,2020.0,3.0,6.0,9.0,387.03049199233317
5.0,89.0776995000683,1.0,2020.0,3.0,6.0,10.0,476.1081914924015
5.0,99.49009468303504,1.0,2020.0,3.0,6.0,11.0,575.5982861754366
5.0,75.038189201519,1.0,2020.0,3.0,6.0,12.0,650.6364753769556
5.0,71.0931366468916,1.0,2020.0,3.0,6.0,13.0,721.7296120238472
5.0,16.25376362085723,1.0,2020.0,3.0,6.0,14.0,737.9833756447043
5.0,57.13046209199408,1.0,2020.0,3.0,6.0,15.0,795.1138377366984
5.0,51.87955203368477,1.0,2020.0,3.0,6.0,16.0,846.9933897703833
5.0,23.26100430919803,1.0,2020.0,3.0,6.0,17.0,870.2543940795813
5.0,18.36945398547417,1.0,2020.0,3.0,6.0,18.0,888.6238480650554
5.0,6.403265978543811,1.0,2020.0,3.0,6.0,19.0,895.0271140435992
5.0,17.932433493792324,1.0,2020.0,3.0,6.0,20.0,912.9595475373916
5.0,9.536044814861157,1.0,2020.0,3.0,6.0,21.0,922.4955923522527
5.0,2.1985355407114153,1.0,2020.0,3.0,6.0,22.0,924.6941278929642
5.0,4.4266081758921905,1.0,2020.0,3.0,6.0,23.0,929.1207360688563
6.0,2.254999377539141,0.0,2020.0,3.0,7.0,0.0,2.254999377539141
6.0,3.97822039101632,0.0,2020.0,3.0,7.0,1.0,6.233219768555461
6.0,0.0,0.0,2020.0,3.0,7.0,2.0,6.233219768555461
6.0,3.136897686201281,0.0,2020.0,3.0,7.0,3.0,9.370117454756741
6.0,3.3212711888065307,0.0,2020.0,3.0,7.0,4.0,12.691388643563272
6.0,2.9150054171180853,0.0,2020.0,3.0,7.0,5.0,15.606394060681358
6.0,2.4275517334778,0.0,2020.0,3.0,7.0,6.0,18.03394579415916
6.0,6.661558427623889,0.0,2020.0,3.0,7.0,7.0,24.695504221783047
6.0,5.829955845048536,0.0,2020.0,3.0,7.0,8.0,30.525460066831585
6.0,14.166081694547277,0.0,2020.0,3.0,7.0,9.0,44.69154176137886
6.0,13.751054961813084,0.0,2020.0,3.0,7.0,10.0,58.44259672319194
6.0,14.25475217264261,0.0,2020.0,3.0,7.0,11.0,72.69734889583455
6.0,19.592559844055977,0.0,2020.0,3.0,7.0,12.0,92.28990873989054
6.0,9.639151294334615,0.0,2020.0,3.0,7.0,13.0,101.92906003422515
6.0,6.4371685242209615,0.0,2020.0,3.0,7.0,14.0,108.36622855844611
6.0,6.650635521756622,0.0,2020.0,3.0,7.0,15.0,115.01686408020272
6.0,4.31837845333,0.0,2020.0,3.0,7.0,16.0,119.33524253353272
6.0,1.0795946133325,0.0,2020.0,3.0,7.0,17.0,120.41483714686522
6.0,0.0,0.0,2020.0,3.0,7.0,18.0,120.41483714686522
6.0,0.0,0.0,2020.0,3.0,7.0,19.0,120.41483714686522
6.0,0.0,0.0,2020.0,3.0,7.0,20.0,120.41483714686522
6.0,0.0,0.0,2020.0,3.0,7.0,21.0,120.41483714686522
6.0,0.0,0.0,2020.0,3.0,7.0,22.0,120.41483714686522
6.0,0.0,0.0,2020.0,3.0,7.0,23.0,120.41483714686522
7.0,0.0,0.0,2020.0,3.0,8.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,6.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,7.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,8.0,0.0
7.0,2.759948404356964,0.0,2020.0,3.0,8.0,9.0,2.759948404356964
7.0,1.5500515956430352,0.0,2020.0,3.0,8.0,10.0,4.309999999999999
7.0,5.402487042326925,0.0,2020.0,3.0,8.0,11.0,9.712487042326924
7.0,8.900100324638561,0.0,2020.0,3.0,8.0,12.0,18.612587366965485
7.0,5.005184020848127,0.0,2020.0,3.0,8.0,13.0,23.61777138781361
7.0,5.52307261946036,0.0,2020.0,3.0,8.0,14.0,29.140844007273973
7.0,7.460900332943479,0.0,2020.0,3.0,8.0,15.0,36.60174434021745
7.0,5.459095425226421,0.0,2020.0,3.0,8.0,16.0,42.06083976544387
7.0,2.4350057726527776,0.0,2020.0,3.0,8.0,17.0,44.495845538096646
7.0,0.2828342721612807,0.0,2020.0,3.0,8.0,18.0,44.77867981025793
7.0,0.6794600112035146,0.0,2020.0,3.0,8.0,19.0,45.458139821461444
7.0,0.6794600112035146,0.0,2020.0,3.0,8.0,20.0,46.13759983266496
7.0,0.931603585602436,0.0,2020.0,3.0,8.0,21.0,47.06920341826739
7.0,3.443580070248463,0.0,2020.0,3.0,8.0,22.0,50.51278348851586
7.0,0.8608950175621157,0.0,2020.0,3.0,8.0,23.0,51.37367850607797
1.0,0.5427181646580513,1.0,2020.0,3.0,9.0,0.0,0.5427181646580513
1.0,0.0,1.0,2020.0,3.0,9.0,1.0,0.5427181646580513
1.0,0.0,1.0,2020.0,3.0,9.0,2.0,0.5427181646580513
1.0,0.0,1.0,2020.0,3.0,9.0,3.0,0.5427181646580513
1.0,2.964307520648479,1.0,2020.0,3.0,9.0,4.0,3.5070256853065302
1.0,9.211279133476316,1.0,2020.0,3.0,9.0,5.0,12.718304818782846
1.0,36.22020586386046,1.0,2020.0,3.0,9.0,6.0,48.938510682643305
1.0,79.98648459731896,1.0,2020.0,3.0,9.0,7.0,128.92499527996227
1.0,43.484878704329674,1.0,2020.0,3.0,9.0,8.0,172.40987398429195
1.0,111.23339498604224,1.0,2020.0,3.0,9.0,9.0,283.6432689703342
1.0,80.4686913279963,1.0,2020.0,3.0,9.0,10.0,364.1119602983305
1.0,99.88540232041592,1.0,2020.0,3.0,9.0,11.0,463.9973626187464
1.0,69.95744563095928,1.0,2020.0,3.0,9.0,12.0,533.9548082497057
1.0,50.54314204580986,1.0,2020.0,3.0,9.0,13.0,584.4979502955156
1.0,27.408605549729877,1.0,2020.0,3.0,9.0,14.0,611.9065558452454
1.0,84.35648142149608,1.0,2020.0,3.0,9.0,15.0,696.2630372667415
1.0,88.92157579454887,1.0,2020.0,3.0,9.0,16.0,785.1846130612904
1.0,59.19535836433538,1.0,2020.0,3.0,9.0,17.0,844.3799714256257
1.0,17.932433493792324,1.0,2020.0,3.0,9.0,18.0,862.3124049194181
1.0,15.041266249703096,1.0,2020.0,3.0,9.0,19.0,877.3536711691212
1.0,5.928474620004295,1.0,2020.0,3.0,9.0,20.0,883.2821457891255
1.0,7.110714474313085,1.0,2020.0,3.0,9.0,21.0,890.3928602634386
1.0,4.549274415717617,1.0,2020.0,3.0,9.0,22.0,894.9421346791562
1.0,2.1708726586322054,1.0,2020.0,3.0,9.0,23.0,897.1130073377884
2.0,2.1708726586322054,1.0,2020.0,3.0,10.0,0.0,2.1708726586322054
2.0,2.765627261084454,1.0,2020.0,3.0,10.0,1.0,4.93649991971666
2.0,0.0,1.0,2020.0,3.0,10.0,2.0,4.93649991971666
2.0,1.9475165862736956,1.0,2020.0,3.0,10.0,3.0,6.884016505990354
2.0,3.570679141085735,1.0,2020.0,3.0,10.0,4.0,10.45469564707609
2.0,7.224452024424579,1.0,2020.0,3.0,10.0,5.0,17.67914767150067
2.0,32.047953250026275,1.0,2020.0,3.0,10.0,6.0,49.72710092152694
2.0,36.18484429203573,1.0,2020.0,3.0,10.0,7.0,85.91194521356267
2.0,39.212175462821804,1.0,2020.0,3.0,10.0,8.0,125.12412067638448
2.0,87.73394138003529,1.0,2020.0,3.0,10.0,9.0,212.85806205641978
2.0,71.8385267309133,1.0,2020.0,3.0,10.0,10.0,284.6965887873331
2.0,110.90814715812733,1.0,2020.0,3.0,10.0,11.0,395.6047359454604
2.0,44.74998880354306,1.0,2020.0,3.0,10.0,12.0,440.3547247490035
2.0,42.86944092597703,1.0,2020.0,3.0,10.0,13.0,483.2241656749805
2.0,51.05855211272953,1.0,2020.0,3.0,10.0,14.0,534.28271778771
2.0,55.02756577514429,1.0,2020.0,3.0,10.0,15.0,589.3102835628544
2.0,48.26354368545449,1.0,2020.0,3.0,10.0,16.0,637.5738272483088
2.0,28.91836113731054,1.0,2020.0,3.0,10.0,17.0,666.4921883856193
2.0,14.598868177709932,1.0,2020.0,3.0,10.0,18.0,681.0910565633293
2.0,3.101648426049997,1.0,2020.0,3.0,10.0,19.0,684.1927049893793
2.0,2.0191042982277443,1.0,2020.0,3.0,10.0,20.0,686.211809287607
2.0,2.467895701772256,1.0,2020.0,3.0,10.0,21.0,688.6797049893793
2.0,1.8971621065124993,1.0,2020.0,3.0,10.0,22.0,690.5768670958918
2.0,0.0,1.0,2020.0,3.0,10.0,23.0,690.5768670958918
3.0,0.0,1.0,2020.0,3.0,11.0,0.0,0.0
3.0,0.0,1.0,2020.0,3.0,11.0,1.0,0.0
3.0,0.0,1.0,2020.0,3.0,11.0,2.0,0.0
3.0,0.0,1.0,2020.0,3.0,11.0,3.0,0.0
3.0,0.7410768801621197,1.0,2020.0,3.0,11.0,4.0,0.7410768801621197
3.0,6.773437334683368,1.0,2020.0,3.0,11.0,5.0,7.514514214845487
3.0,34.242100659480414,1.0,2020.0,3.0,11.0,6.0,41.756614874325905
3.0,55.04649826472691,1.0,2020.0,3.0,11.0,7.0,96.80311313905281
3.0,107.40825884227722,1.0,2020.0,3.0,11.0,8.0,204.21137198133005
3.0,114.6776619380998,1.0,2020.0,3.0,11.0,9.0,318.88903391942983
3.0,93.73238201326346,1.0,2020.0,3.0,11.0,10.0,412.6214159326933
3.0,66.77117653642462,1.0,2020.0,3.0,11.0,11.0,479.3925924691179
3.0,92.00600847414812,1.0,2020.0,3.0,11.0,12.0,571.398600943266
3.0,47.61548313150382,1.0,2020.0,3.0,11.0,13.0,619.0140840747698
3.0,65.27803845310781,1.0,2020.0,3.0,11.0,14.0,684.2921225278776
3.0,67.60088128952016,1.0,2020.0,3.0,11.0,15.0,751.8930038173978
3.0,60.446077596932895,1.0,2020.0,3.0,11.0,16.0,812.3390814143307
3.0,22.176612050987753,1.0,2020.0,3.0,11.0,17.0,834.5156934653185
