Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
3.0,0.0,1.0,2020.0,1.0,1.0,0.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,1.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,2.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,3.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,4.0,0.0
3.0,0.0488966367281916,1.0,2020.0,1.0,1.0,5.0,0.0488966367281916
3.0,0.0,1.0,2020.0,1.0,1.0,6.0,0.0488966367281916
3.0,0.0,1.0,2020.0,1.0,1.0,7.0,0.0488966367281916
3.0,0.0,1.0,2020.0,1.0,1.0,8.0,0.0488966367281916
3.0,0.2220716337598385,1.0,2020.0,1.0,1.0,9.0,0.27096827048803007
3.0,0.3872101299387644,1.0,2020.0,1.0,1.0,10.0,0.6581784004267945
3.0,2.41838049606238,1.0,2020.0,1.0,1.0,11.0,3.076558896489175
3.0,6.655946398659967,1.0,2020.0,1.0,1.0,12.0,9.732505295149142
3.0,6.655946398659967,1.0,2020.0,1.0,1.0,13.0,16.38845169380911
3.0,3.7687307157725836,1.0,2020.0,1.0,1.0,14.0,20.157182409581694
3.0,3.34947648077631,1.0,2020.0,1.0,1.0,15.0,23.506658890358004
3.0,0.0,1.0,2020.0,1.0,1.0,16.0,23.506658890358004
3.0,2.1161075123091777,1.0,2020.0,1.0,1.0,17.0,25.62276640266718
3.0,4.191870372957105,1.0,2020.0,1.0,1.0,18.0,29.814636775624287
3.0,0.8244011733482542,1.0,2020.0,1.0,1.0,19.0,30.63903794897254
3.0,4.295260264439805,1.0,2020.0,1.0,1.0,20.0,34.93429821341235
3.0,6.150730688935282,1.0,2020.0,1.0,1.0,21.0,41.08502890234763
3.0,3.4354366976158213,1.0,2020.0,1.0,1.0,22.0,44.52046559996345
3.0,2.9114628689126585,1.0,2020.0,1.0,1.0,23.0,47.43192846887611
4.0,0.0,1.0,2020.0,1.0,2.0,0.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,1.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,2.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,3.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,4.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,5.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,6.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,7.0,0.0
4.0,2.938,1.0,2020.0,1.0,2.0,8.0,2.938
4.0,2.597683242340795,1.0,2020.0,1.0,2.0,9.0,5.535683242340795
4.0,20.82800047704406,1.0,2020.0,1.0,2.0,10.0,26.363683719384856
4.0,23.344914883527828,1.0,2020.0,1.0,2.0,11.0,49.70859860291269
4.0,9.743031966194858,1.0,2020.0,1.0,2.0,12.0,59.45163056910754
4.0,10.818054477828552,1.0,2020.0,1.0,2.0,13.0,70.26968504693609
4.0,5.841206233506171,1.0,2020.0,1.0,2.0,14.0,76.11089128044226
