Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,2.270030672994283,0.0,2019.0,9.0,1.0,0.0,2.270030672994283
7.0,0.4064119987996948,0.0,2019.0,9.0,1.0,1.0,2.676442671793978
7.0,0.0,0.0,2019.0,9.0,1.0,2.0,2.676442671793978
7.0,0.0,0.0,2019.0,9.0,1.0,3.0,2.676442671793978
7.0,0.3078985714223818,0.0,2019.0,9.0,1.0,4.0,2.9843412432163596
7.0,0.0,0.0,2019.0,9.0,1.0,5.0,2.9843412432163596
7.0,1.1218755365789295,0.0,2019.0,9.0,1.0,6.0,4.1062167797952895
7.0,5.429811195760204,0.0,2019.0,9.0,1.0,7.0,9.536027975555495
7.0,6.208642813704799,0.0,2019.0,9.0,1.0,8.0,15.744670789260294
7.0,12.037399439613894,0.0,2019.0,9.0,1.0,9.0,27.782070228874186
7.0,24.451262539846923,0.0,2019.0,9.0,1.0,10.0,52.23333276872111
7.0,52.12284646312565,0.0,2019.0,9.0,1.0,11.0,104.35617923184675
7.0,65.33399292965082,0.0,2019.0,9.0,1.0,12.0,169.69017216149757
7.0,55.41994179310232,0.0,2019.0,9.0,1.0,13.0,225.11011395459988
7.0,85.40512655924675,0.0,2019.0,9.0,1.0,14.0,310.5152405138466
7.0,83.31048068689526,0.0,2019.0,9.0,1.0,15.0,393.8257212007419
7.0,59.868090192257085,0.0,2019.0,9.0,1.0,16.0,453.693811392999
7.0,48.78597500952855,0.0,2019.0,9.0,1.0,17.0,502.4797864025275
7.0,81.93907087774585,0.0,2019.0,9.0,1.0,18.0,584.4188572802734
7.0,27.471503455061782,0.0,2019.0,9.0,1.0,19.0,611.8903607353352
7.0,85.18678698964038,0.0,2019.0,9.0,1.0,20.0,697.0771477249756
7.0,22.395329231755436,0.0,2019.0,9.0,1.0,21.0,719.4724769567309
7.0,68.49635193571824,0.0,2019.0,9.0,1.0,22.0,787.9688288924492
7.0,5.79257965953732,0.0,2019.0,9.0,1.0,23.0,793.7614085519865
1.0,3.721732431252728,1.0,2019.0,9.0,2.0,0.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,1.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,2.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,3.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,4.0,3.721732431252728
1.0,1.4680078718845242,1.0,2019.0,9.0,2.0,5.0,5.189740303137253
1.0,3.6034480594888563,1.0,2019.0,9.0,2.0,6.0,8.793188362626108
1.0,8.668341256558712,1.0,2019.0,9.0,2.0,7.0,17.46152961918482
1.0,13.38905756416776,1.0,2019.0,9.0,2.0,8.0,30.85058718335258
1.0,19.771501962633273,1.0,2019.0,9.0,2.0,9.0,50.62208914598585
1.0,23.549585170912657,1.0,2019.0,9.0,2.0,10.0,74.1716743168985
1.0,32.58915818779905,1.0,2019.0,9.0,2.0,11.0,106.76083250469756
1.0,48.71553299109153,1.0,2019.0,9.0,2.0,12.0,155.47636549578908
1.0,75.64702839792746,1.0,2019.0,9.0,2.0,13.0,231.12339389371655
1.0,89.46028977795874,1.0,2019.0,9.0,2.0,14.0,320.5836836716753
1.0,85.5270587779707,1.0,2019.0,9.0,2.0,15.0,406.11074244964595
1.0,69.07214058838638,1.0,2019.0,9.0,2.0,16.0,475.18288303803234
1.0,50.39993924394612,1.0,2019.0,9.0,2.0,17.0,525.5828222819785
1.0,73.13260958442635,1.0,2019.0,9.0,2.0,18.0,598.7154318664049
1.0,30.12751414829856,1.0,2019.0,9.0,2.0,19.0,628.8429460147033
1.0,71.51759988050021,1.0,2019.0,9.0,2.0,20.0,700.3605458952036
1.0,70.19730557913579,1.0,2019.0,9.0,2.0,21.0,770.5578514743394
1.0,0.1121704035874433,1.0,2019.0,9.0,2.0,22.0,770.6700218779268
1.0,0.0,1.0,2019.0,9.0,2.0,23.0,770.6700218779268
2.0,0.3897749633217549,1.0,2019.0,9.0,3.0,0.0,0.3897749633217549
