Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum,Seasonal,Trend,Residual
3.0,0.0,1.0,2020.0,1.0,1.0,0.0,0.0,-14.000496324588822,-30.158864909213282,44.1593612338021
3.0,0.0,1.0,2020.0,1.0,1.0,1.0,0.0,-14.814919232121667,-28.10940045021146,42.92431968233313
3.0,0.0,1.0,2020.0,1.0,1.0,2.0,0.0,-15.89303194565319,-26.05993599120964,41.952967936862834
3.0,0.0,1.0,2020.0,1.0,1.0,3.0,0.0,-16.792086456098563,-24.010471532207823,40.80255798830639
3.0,0.0,1.0,2020.0,1.0,1.0,4.0,0.0,-17.723512608452285,-21.961007073206,39.68451968165829
3.0,0.0,1.0,2020.0,1.0,1.0,5.0,0.0,-18.650105377492903,-19.91154261420418,38.561647991697086
3.0,0.0,1.0,2020.0,1.0,1.0,6.0,0.0,-19.224839361693558,-17.86207815520236,37.08691751689592
3.0,0.0,1.0,2020.0,1.0,1.0,7.0,0.0,-17.546253249419475,-15.812613696200541,33.358866945620015
3.0,0.070840693000693,1.0,2020.0,1.0,1.0,8.0,0.070840693000693,14.748746451993524,-13.763149237198721,-0.9855972147948027
3.0,0.6135639353306318,1.0,2020.0,1.0,1.0,9.0,0.6844046283313248,51.89408197175536,-11.713684778196903,-40.18039719355846
3.0,0.0,1.0,2020.0,1.0,1.0,10.0,0.6844046283313248,48.85815624601889,-9.664220319195081,-39.19393592682381
3.0,0.0,1.0,2020.0,1.0,1.0,11.0,0.6844046283313248,33.55440660776646,-7.6147558601932595,-25.9396507475732
3.0,0.0,1.0,2020.0,1.0,1.0,12.0,0.6844046283313248,16.63717750807114,0.36641007281553395,-17.003587580886673
3.0,0.0,1.0,2020.0,1.0,1.0,13.0,0.6844046283313248,15.005608988807632,0.637545995145631,-15.643154983953263
3.0,0.0,1.0,2020.0,1.0,1.0,14.0,0.6844046283313248,20.586710272858884,0.9086819174757281,-21.495392190334613
3.0,0.0,1.0,2020.0,1.0,1.0,15.0,0.6844046283313248,14.561133673182654,1.179817839805825,-15.74095151298848
3.0,0.0,1.0,2020.0,1.0,1.0,16.0,0.6844046283313248,7.093185455175763,1.450953762135922,-8.544139217311685
3.0,0.0,1.0,2020.0,1.0,1.0,17.0,0.6844046283313248,-2.018976957456453,1.7220896844660192,0.29688727299043394
3.0,0.0,1.0,2020.0,1.0,1.0,18.0,0.6844046283313248,-10.220827284062851,1.9932256067961163,8.227601677266735
3.0,0.0,1.0,2020.0,1.0,1.0,19.0,0.6844046283313248,-15.323485598532852,2.230999554599139,13.092486043933713
3.0,0.3718101622930492,1.0,2020.0,1.0,1.0,20.0,1.056214790624374,-16.294409549980664,3.144858096711218,13.149551453269446
3.0,0.0,1.0,2020.0,1.0,1.0,21.0,1.056214790624374,-15.323699435396394,6.419872162294013,8.903827273102381
3.0,0.11326148556437246,1.0,2020.0,1.0,1.0,22.0,1.1694762761887465,-14.86836813092588,12.078004336093228,2.7903637948326523
3.0,0.041837332298690626,1.0,2020.0,1.0,1.0,23.0,1.211313608487437,-14.244195663754757,17.75379655727023,2.0306097860961767
4.0,6.50726213592233,1.0,2020.0,1.0,2.0,0.0,6.50726213592233,-14.000496324588822,21.50951413537678,-1.0017556748656276
4.0,6.50726213592233,1.0,2020.0,1.0,2.0,1.0,13.01452427184466,-14.814919232121667,24.037866728455207,-2.7156853604112072
4.0,6.50726213592233,1.0,2020.0,1.0,2.0,2.0,19.52178640776699,-15.89303194565319,27.09858388936408,-4.698289807788557
4.0,6.50726213592233,1.0,2020.0,1.0,2.0,3.0,26.02904854368932,-16.792086456098563,30.170755068000993,-6.871406475980098
4.0,6.50726213592233,1.0,2020.0,1.0,2.0,4.0,32.53631067961165,-17.723512608452285,32.16335693583276,-7.932582191458142
4.0,5.460376966834242,1.0,2020.0,1.0,2.0,5.0,37.99668764644589,-18.650105377492903,33.25417875650941,-8.096811243094177
4.0,6.50726213592233,1.0,2020.0,1.0,2.0,6.0,44.503949782368224,-19.224839361693558,34.20821464917838,-8.47611315156249
4.0,5.6065031987188485,1.0,2020.0,1.0,2.0,7.0,50.11045298108707,-17.546253249419475,34.97013213154017,-12.51799152349793
4.0,29.896457939828586,1.0,2020.0,1.0,2.0,8.0,80.00691092091566,14.748746451993524,35.26309829066514,-11.052522079901655
4.0,104.25910899393726,1.0,2020.0,1.0,2.0,9.0,184.2660199148529,51.89408197175536,35.77197509373307,30.57529541972874
4.0,153.34899185714517,1.0,2020.0,1.0,2.0,10.0,337.61501177199807,48.85815624601889,36.54622064706715,67.94461496405913
4.0,119.08903475935104,1.0,2020.0,1.0,2.0,11.0,456.7040465313491,33.55440660776646,37.205045144576005,48.32958300700857
4.0,61.18540898976335,1.0,2020.0,1.0,2.0,12.0,517.8894555211125,16.63717750807114,37.728301680919806,6.819929800772407
4.0,60.17551547800092,1.0,2020.0,1.0,2.0,13.0,578.0649709991134,15.005608988807632,38.03022696074625,7.139679528447038
4.0,76.02517629437317,1.0,2020.0,1.0,2.0,14.0,654.0901472934866,20.586710272858884,37.94796543988162,28.20423253288462
