Day of week,Energy,Week Day,Year,Month,Day of month,Sum
7.0,3.718948453608248,0.0,2017.0,1.0,1.0,3.718948453608248
7.0,1.360439501244074,0.0,2017.0,1.0,1.0,5.079387954852322
7.0,1.360439501244074,0.0,2017.0,1.0,1.0,6.4398274560963955
7.0,0.0,0.0,2017.0,1.0,1.0,6.4398274560963955
7.0,0.0,0.0,2017.0,1.0,1.0,6.4398274560963955
7.0,0.0,0.0,2017.0,1.0,1.0,6.4398274560963955
7.0,0.0,0.0,2017.0,1.0,1.0,6.4398274560963955
7.0,4.051539559908685,0.0,2017.0,1.0,1.0,10.49136701600508
7.0,6.7093778667619395,0.0,2017.0,1.0,1.0,17.20074488276702
7.0,18.97615594499585,0.0,2017.0,1.0,1.0,36.176900827762864
7.0,23.036303587676308,0.0,2017.0,1.0,1.0,59.21320441543918
7.0,30.379681182763637,0.0,2017.0,1.0,1.0,89.59288559820281
7.0,43.82903227208415,0.0,2017.0,1.0,1.0,133.42191787028696
7.0,33.83874974132832,0.0,2017.0,1.0,1.0,167.26066761161528
7.0,39.11632355726578,0.0,2017.0,1.0,1.0,206.37699116888106
7.0,46.408477884832415,0.0,2017.0,1.0,1.0,252.78546905371348
7.0,56.24743240913967,0.0,2017.0,1.0,1.0,309.03290146285315
7.0,51.197480781466,0.0,2017.0,1.0,1.0,360.2303822443191
7.0,37.394351051881785,0.0,2017.0,1.0,1.0,397.62473329620093
7.0,58.16113069226404,0.0,2017.0,1.0,1.0,455.78586398846494
7.0,46.97714761785483,0.0,2017.0,1.0,1.0,502.7630116063198
7.0,15.334335542657556,0.0,2017.0,1.0,1.0,518.0973471489774
7.0,48.23012545244502,0.0,2017.0,1.0,1.0,566.3274726014224
7.0,8.359584903901569,0.0,2017.0,1.0,1.0,574.687057505324
1.0,3.2865114266767153,1.0,2017.0,1.0,2.0,3.2865114266767153
1.0,5.929253109632629,1.0,2017.0,1.0,2.0,9.215764536309344
1.0,6.771036559896251,1.0,2017.0,1.0,2.0,15.986801096205596
1.0,6.771036559896251,1.0,2017.0,1.0,2.0,22.757837656101845
1.0,6.907808363342564,1.0,2017.0,1.0,2.0,29.66564601944441
1.0,3.9992989777226313,1.0,2017.0,1.0,2.0,33.66494499716704
1.0,7.937395712420439,1.0,2017.0,1.0,2.0,41.60234070958748
1.0,13.094443013056456,1.0,2017.0,1.0,2.0,54.696783722643936
1.0,27.22352241717249,1.0,2017.0,1.0,2.0,81.92030613981643
1.0,30.151754795677572,1.0,2017.0,1.0,2.0,112.072060935494
1.0,67.97112192712835,1.0,2017.0,1.0,2.0,180.04318286262236
1.0,56.33186155455625,1.0,2017.0,1.0,2.0,236.3750444171786
1.0,65.11434558834983,1.0,2017.0,1.0,2.0,301.48939000552843
1.0,50.643639500269806,1.0,2017.0,1.0,2.0,352.1330295057982
1.0,53.74721331223336,1.0,2017.0,1.0,2.0,405.8802428180316
1.0,60.20715955191896,1.0,2017.0,1.0,2.0,466.08740236995055
1.0,50.697878216261344,1.0,2017.0,1.0,2.0,516.7852805862119
1.0,29.78077348113857,1.0,2017.0,1.0,2.0,546.5660540673505
1.0,59.79172610712137,1.0,2017.0,1.0,2.0,606.3577801744718
1.0,55.32041656352051,1.0,2017.0,1.0,2.0,661.6781967379924
1.0,55.99779223054299,1.0,2017.0,1.0,2.0,717.6759889685353
1.0,42.07704692378013,1.0,2017.0,1.0,2.0,759.7530358923154
1.0,20.256200190497744,1.0,2017.0,1.0,2.0,780.0092360828132
1.0,9.189684114468385,1.0,2017.0,1.0,2.0,789.1989201972816
2.0,3.146524364555536,1.0,2017.0,1.0,3.0,3.146524364555536
2.0,3.146524364555536,1.0,2017.0,1.0,3.0,6.293048729111072
2.0,6.767817913659922,1.0,2017.0,1.0,3.0,13.060866642770993
2.0,6.254356695972942,1.0,2017.0,1.0,3.0,19.315223338743934
2.0,6.799572847991945,1.0,2017.0,1.0,3.0,26.11479618673588
2.0,10.919212033292013,1.0,2017.0,1.0,3.0,37.03400822002789
2.0,29.586661606053664,1.0,2017.0,1.0,3.0,66.62066982608155
2.0,20.212242417005303,1.0,2017.0,1.0,3.0,86.83291224308687
2.0,60.231127995866544,1.0,2017.0,1.0,3.0,147.0640402389534
2.0,45.149642916638655,1.0,2017.0,1.0,3.0,192.21368315559207
2.0,60.137916820074174,1.0,2017.0,1.0,3.0,252.35159997566623
2.0,51.00738326456317,1.0,2017.0,1.0,3.0,303.3589832402294
2.0,57.77310252478118,1.0,2017.0,1.0,3.0,361.1320857650106
2.0,65.62722499625056,1.0,2017.0,1.0,3.0,426.75931076126113
2.0,53.7236042152653,1.0,2017.0,1.0,3.0,480.48291497652644
2.0,49.76527997864548,1.0,2017.0,1.0,3.0,530.2481949551719
2.0,59.46020162405018,1.0,2017.0,1.0,3.0,589.708396579222
2.0,56.93596571669121,1.0,2017.0,1.0,3.0,646.6443622959133
2.0,46.9203973252765,1.0,2017.0,1.0,3.0,693.5647596211898
2.0,62.181492580463456,1.0,2017.0,1.0,3.0,755.7462522016533
2.0,53.74243520880309,1.0,2017.0,1.0,3.0,809.4886874104564
2.0,56.27964752619437,1.0,2017.0,1.0,3.0,865.7683349366507
2.0,26.619705544543653,1.0,2017.0,1.0,3.0,892.3880404811944
2.0,52.08302009045909,1.0,2017.0,1.0,3.0,944.4710605716534
3.0,14.361047244453587,1.0,2017.0,1.0,4.0,14.361047244453587
3.0,8.828159597994377,1.0,2017.0,1.0,4.0,23.189206842447966
3.0,0.3755490399171142,1.0,2017.0,1.0,4.0,23.564755882365077
3.0,2.7350753084562105,1.0,2017.0,1.0,4.0,26.299831190821287
3.0,10.411229528574632,1.0,2017.0,1.0,4.0,36.71106071939592
3.0,6.594010663549345,1.0,2017.0,1.0,4.0,43.305071382945265
3.0,30.88836769113298,1.0,2017.0,1.0,4.0,74.19343907407824
3.0,17.145243640003546,1.0,2017.0,1.0,4.0,91.33868271408178
3.0,36.21800733938132,1.0,2017.0,1.0,4.0,127.55669005346311
3.0,78.17409712097242,1.0,2017.0,1.0,4.0,205.73078717443553
3.0,64.19066815043104,1.0,2017.0,1.0,4.0,269.92145532486654
3.0,70.83838079616164,1.0,2017.0,1.0,4.0,340.75983612102823
3.0,53.368360984527975,1.0,2017.0,1.0,4.0,394.1281971055562
3.0,74.08326514077764,1.0,2017.0,1.0,4.0,468.21146224633384
3.0,69.29911391748402,1.0,2017.0,1.0,4.0,537.5105761638179
3.0,55.71317433725416,1.0,2017.0,1.0,4.0,593.223750501072
3.0,58.498603662738574,1.0,2017.0,1.0,4.0,651.7223541638106
3.0,68.01937121221604,1.0,2017.0,1.0,4.0,719.7417253760266
3.0,52.1567222338483,1.0,2017.0,1.0,4.0,771.8984476098749
3.0,57.57790709912603,1.0,2017.0,1.0,4.0,829.4763547090009
3.0,43.8005224217,1.0,2017.0,1.0,4.0,873.276877130701
3.0,34.167643314120944,1.0,2017.0,1.0,4.0,907.4445204448219
3.0,60.5290259498937,1.0,2017.0,1.0,4.0,967.9735463947156
3.0,13.913959864507644,1.0,2017.0,1.0,4.0,981.8875062592233
4.0,10.301540912232545,1.0,2017.0,1.0,5.0,10.301540912232545
4.0,8.119932257805868,1.0,2017.0,1.0,5.0,18.42147317003841
4.0,5.095934337311045,1.0,2017.0,1.0,5.0,23.517407507349457
4.0,3.520190331451729,1.0,2017.0,1.0,5.0,27.037597838801187
4.0,5.589342292042076,1.0,2017.0,1.0,5.0,32.626940130843266
4.0,2.080776699029126,1.0,2017.0,1.0,5.0,34.70771682987239
4.0,11.739696030111755,1.0,2017.0,1.0,5.0,46.44741285998414
4.0,54.23219853298399,1.0,2017.0,1.0,5.0,100.67961139296814
4.0,42.058232027187294,1.0,2017.0,1.0,5.0,142.73784342015543
4.0,81.1087721867208,1.0,2017.0,1.0,5.0,223.84661560687624
4.0,50.13999028888268,1.0,2017.0,1.0,5.0,273.98660589575894
4.0,57.16510874815106,1.0,2017.0,1.0,5.0,331.15171464391
4.0,76.88595425635388,1.0,2017.0,1.0,5.0,408.03766890026384
4.0,56.18415571827659,1.0,2017.0,1.0,5.0,464.22182461854044
4.0,54.12932985938316,1.0,2017.0,1.0,5.0,518.3511544779236
4.0,90.89773723421526,1.0,2017.0,1.0,5.0,609.2488917121389
4.0,42.89322881837177,1.0,2017.0,1.0,5.0,652.1421205305106
4.0,47.89769455263318,1.0,2017.0,1.0,5.0,700.0398150831438
4.0,81.10308751555108,1.0,2017.0,1.0,5.0,781.142902598695
4.0,73.31722908923823,1.0,2017.0,1.0,5.0,854.4601316879332
4.0,45.27087074870659,1.0,2017.0,1.0,5.0,899.7310024366398
4.0,59.20061735013476,1.0,2017.0,1.0,5.0,958.9316197867745
4.0,53.92676259586296,1.0,2017.0,1.0,5.0,1012.8583823826375
4.0,22.146782758476814,1.0,2017.0,1.0,5.0,1035.0051651411143
5.0,7.032016755438928,1.0,2017.0,1.0,6.0,7.032016755438928
5.0,5.512464355718554,1.0,2017.0,1.0,6.0,12.54448111115748
5.0,7.100806604785757,1.0,2017.0,1.0,6.0,19.64528771594324
5.0,0.0,1.0,2017.0,1.0,6.0,19.64528771594324
5.0,0.0,1.0,2017.0,1.0,6.0,19.64528771594324
5.0,5.857240342473347,1.0,2017.0,1.0,6.0,25.502528058416587
5.0,7.088204204569273,1.0,2017.0,1.0,6.0,32.59073226298586
5.0,22.380235040445253,1.0,2017.0,1.0,6.0,54.97096730343111
5.0,72.04922465126722,1.0,2017.0,1.0,6.0,127.02019195469833
5.0,83.51494510367863,1.0,2017.0,1.0,6.0,210.53513705837696
5.0,48.64160944737594,1.0,2017.0,1.0,6.0,259.17674650575293
5.0,44.57353965100853,1.0,2017.0,1.0,6.0,303.75028615676143
5.0,79.2543476590107,1.0,2017.0,1.0,6.0,383.00463381577214
5.0,80.74749432696917,1.0,2017.0,1.0,6.0,463.7521281427413
5.0,90.4505676893286,1.0,2017.0,1.0,6.0,554.2026958320699
5.0,58.96371336544005,1.0,2017.0,1.0,6.0,613.16640919751
5.0,57.58760322460916,1.0,2017.0,1.0,6.0,670.7540124221191
5.0,49.199813025867066,1.0,2017.0,1.0,6.0,719.9538254479862
5.0,44.095016720722064,1.0,2017.0,1.0,6.0,764.0488421687082
5.0,59.22207623200366,1.0,2017.0,1.0,6.0,823.2709184007119
5.0,44.7168409722681,1.0,2017.0,1.0,6.0,867.98775937298
5.0,31.093778953679447,1.0,2017.0,1.0,6.0,899.0815383266595
5.0,29.61034386071082,1.0,2017.0,1.0,6.0,928.6918821873703
5.0,28.22697830677981,1.0,2017.0,1.0,6.0,956.9188604941501
6.0,7.8283833500562405,0.0,2017.0,1.0,7.0,7.8283833500562405
6.0,12.149716833302556,0.0,2017.0,1.0,7.0,19.978100183358798
6.0,12.122881550897407,0.0,2017.0,1.0,7.0,32.1009817342562
6.0,4.562339172526698,0.0,2017.0,1.0,7.0,36.6633209067829
6.0,2.0683515113742463,0.0,2017.0,1.0,7.0,38.731672418157146
6.0,0.0,0.0,2017.0,1.0,7.0,38.731672418157146
6.0,6.681032050796262,0.0,2017.0,1.0,7.0,45.41270446895341
6.0,13.446884822883138,0.0,2017.0,1.0,7.0,58.85958929183655
6.0,20.704204034748717,0.0,2017.0,1.0,7.0,79.56379332658527
6.0,34.250222174578795,0.0,2017.0,1.0,7.0,113.81401550116406
6.0,60.62478491160931,0.0,2017.0,1.0,7.0,174.4388004127734
6.0,67.41098056238548,0.0,2017.0,1.0,7.0,241.84978097515886
6.0,51.37204164312151,0.0,2017.0,1.0,7.0,293.2218226182804
6.0,88.2420689152077,0.0,2017.0,1.0,7.0,381.4638915334881
6.0,64.40275838210799,0.0,2017.0,1.0,7.0,445.86664991559604
6.0,38.86571788027345,0.0,2017.0,1.0,7.0,484.7323677958695
6.0,46.34960889879938,0.0,2017.0,1.0,7.0,531.0819766946689
6.0,50.60099496935664,0.0,2017.0,1.0,7.0,581.6829716640256
6.0,57.77376242273754,0.0,2017.0,1.0,7.0,639.456734086763
6.0,57.92341476838864,0.0,2017.0,1.0,7.0,697.3801488551517
6.0,39.68790843596872,0.0,2017.0,1.0,7.0,737.0680572911205
6.0,55.93090574183767,0.0,2017.0,1.0,7.0,792.998963032958
6.0,53.952538140775516,0.0,2017.0,1.0,7.0,846.9515011737336
6.0,9.759164184124876,0.0,2017.0,1.0,7.0,856.7106653578585
7.0,7.035572761989371,0.0,2017.0,1.0,8.0,7.035572761989371
7.0,2.329637302124425,0.0,2017.0,1.0,8.0,9.365210064113796
7.0,2.329637302124425,0.0,2017.0,1.0,8.0,11.694847366238221
7.0,0.0,0.0,2017.0,1.0,8.0,11.694847366238221
7.0,0.0,0.0,2017.0,1.0,8.0,11.694847366238221
7.0,2.329637302124425,0.0,2017.0,1.0,8.0,14.024484668362646
7.0,3.422856914069917,0.0,2017.0,1.0,8.0,17.447341582432564
7.0,8.609600823704424,0.0,2017.0,1.0,8.0,26.056942406136987
7.0,3.6724720768499677,0.0,2017.0,1.0,8.0,29.729414482986954
7.0,42.33540211752084,0.0,2017.0,1.0,8.0,72.0648166005078
7.0,47.27240289179306,0.0,2017.0,1.0,8.0,119.33721949230085
7.0,26.392305814900386,0.0,2017.0,1.0,8.0,145.72952530720124
7.0,45.028022447350985,0.0,2017.0,1.0,8.0,190.7575477545522
7.0,34.375656118982896,0.0,2017.0,1.0,8.0,225.1332038735351
7.0,29.448492182198365,0.0,2017.0,1.0,8.0,254.5816960557335
7.0,34.896895310168034,0.0,2017.0,1.0,8.0,289.47859136590154
7.0,55.67454856581779,0.0,2017.0,1.0,8.0,345.1531399317193
7.0,56.366403375599155,0.0,2017.0,1.0,8.0,401.5195433073185
7.0,24.35635266650833,0.0,2017.0,1.0,8.0,425.8758959738268
7.0,43.06154383367391,0.0,2017.0,1.0,8.0,468.9374398075007
7.0,54.577364684601044,0.0,2017.0,1.0,8.0,523.5148044921017
7.0,17.98545994955634,0.0,2017.0,1.0,8.0,541.500264441658
7.0,14.941724508315446,0.0,2017.0,1.0,8.0,556.4419889499735
7.0,10.723936686164642,0.0,2017.0,1.0,8.0,567.1659256361381
1.0,4.040447642065515,1.0,2017.0,1.0,9.0,4.040447642065515
1.0,8.803306222560957,1.0,2017.0,1.0,9.0,12.843753864626471
1.0,5.977776665626095,1.0,2017.0,1.0,9.0,18.821530530252566
1.0,2.4293283582089558,1.0,2017.0,1.0,9.0,21.250858888461522
1.0,1.562852404643449,1.0,2017.0,1.0,9.0,22.813711293104973
1.0,3.5420110910027827,1.0,2017.0,1.0,9.0,26.355722384107757
1.0,9.27670162711131,1.0,2017.0,1.0,9.0,35.632424011219065
1.0,39.93144597145574,1.0,2017.0,1.0,9.0,75.5638699826748
1.0,23.25022848432683,1.0,2017.0,1.0,9.0,98.81409846700163
1.0,107.8004558281801,1.0,2017.0,1.0,9.0,206.61455429518173
1.0,114.85754851924368,1.0,2017.0,1.0,9.0,321.4721028144254
1.0,92.7850244267598,1.0,2017.0,1.0,9.0,414.25712724118523
1.0,55.00878048808586,1.0,2017.0,1.0,9.0,469.2659077292711
1.0,88.427625811507,1.0,2017.0,1.0,9.0,557.693533540778
1.0,94.42557422939456,1.0,2017.0,1.0,9.0,652.1191077701726
1.0,85.66379821218312,1.0,2017.0,1.0,9.0,737.7829059823557
1.0,65.7174809736924,1.0,2017.0,1.0,9.0,803.5003869560481
1.0,47.65351254107815,1.0,2017.0,1.0,9.0,851.1538994971263
1.0,64.54361370235202,1.0,2017.0,1.0,9.0,915.6975131994783
1.0,68.91705986224243,1.0,2017.0,1.0,9.0,984.6145730617208
1.0,69.26040930671695,1.0,2017.0,1.0,9.0,1053.8749823684377
1.0,56.2082736969056,1.0,2017.0,1.0,9.0,1110.0832560653432
1.0,39.72281342645356,1.0,2017.0,1.0,9.0,1149.806069491797
