Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
3.0,0.0,1.0,2020.0,4.0,1.0,0.0,0.0
3.0,0.1523451991944779,1.0,2020.0,4.0,1.0,1.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,2.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,3.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,4.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,5.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,6.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,7.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,8.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,9.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,10.0,0.1523451991944779
3.0,0.0,1.0,2020.0,4.0,1.0,11.0,0.1523451991944779
3.0,0.0904340045815124,1.0,2020.0,4.0,1.0,12.0,0.2427792037759903
3.0,0.0,1.0,2020.0,4.0,1.0,13.0,0.2427792037759903
3.0,0.7443884121303129,1.0,2020.0,4.0,1.0,14.0,0.9871676159063032
3.0,2.0578525630459463,1.0,2020.0,4.0,1.0,15.0,3.0450201789522495
3.0,5.329511638521232,1.0,2020.0,4.0,1.0,16.0,8.374531817473482
3.0,1.8283185759926712,1.0,2020.0,4.0,1.0,17.0,10.202850393466154
3.0,2.7965217591349165,1.0,2020.0,4.0,1.0,18.0,12.999372152601069
3.0,1.308203254732648,1.0,2020.0,4.0,1.0,19.0,14.307575407333719
3.0,3.1819870483415302,1.0,2020.0,4.0,1.0,20.0,17.489562455675248
3.0,12.77719506026379,1.0,2020.0,4.0,1.0,21.0,30.266757515939037
3.0,4.2781713964016435,1.0,2020.0,4.0,1.0,22.0,34.54492891234068
3.0,0.0,1.0,2020.0,4.0,1.0,23.0,34.54492891234068
4.0,0.0,1.0,2020.0,4.0,2.0,0.0,0.0
