Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
3.0,0.0,1.0,2020.0,1.0,1.0,0.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,1.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,2.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,3.0,0.0
3.0,0.0488966367281916,1.0,2020.0,1.0,1.0,4.0,0.0488966367281916
3.0,0.0488966367281916,1.0,2020.0,1.0,1.0,5.0,0.0977932734563832
3.0,0.12830204213359703,1.0,2020.0,1.0,1.0,6.0,0.22609531558998022
3.0,0.0,1.0,2020.0,1.0,1.0,7.0,0.22609531558998022
3.0,0.20560663545931712,1.0,2020.0,1.0,1.0,8.0,0.4317019510492973
3.0,0.27096827048803007,1.0,2020.0,1.0,1.0,9.0,0.7026702215373274
3.0,0.5444345127311347,1.0,2020.0,1.0,1.0,10.0,1.2471047342684622
3.0,2.41838049606238,1.0,2020.0,1.0,1.0,11.0,3.6654852303308423
3.0,6.655946398659967,1.0,2020.0,1.0,1.0,12.0,10.32143162899081
3.0,4.454345361755403,1.0,2020.0,1.0,1.0,13.0,14.775776990746213
3.0,3.8112659697126388,1.0,2020.0,1.0,1.0,14.0,18.587042960458852
3.0,3.5399171252918675,1.0,2020.0,1.0,1.0,15.0,22.12696008575072
3.0,0.0,1.0,2020.0,1.0,1.0,16.0,22.12696008575072
3.0,3.464654647816565,1.0,2020.0,1.0,1.0,17.0,25.591614733567283
3.0,4.191870372957105,1.0,2020.0,1.0,1.0,18.0,29.783485106524388
3.0,0.8244011733482542,1.0,2020.0,1.0,1.0,19.0,30.607886279872645
3.0,4.295260264439805,1.0,2020.0,1.0,1.0,20.0,34.90314654431245
3.0,6.150730688935282,1.0,2020.0,1.0,1.0,21.0,41.05387723324773
3.0,4.6170211645275,1.0,2020.0,1.0,1.0,22.0,45.67089839777523
3.0,3.7999728121925744,1.0,2020.0,1.0,1.0,23.0,49.470871209967804
4.0,0.0,1.0,2020.0,1.0,2.0,0.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,1.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,2.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,3.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,4.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,5.0,0.0
4.0,0.12830204213359703,1.0,2020.0,1.0,2.0,6.0,0.12830204213359703
4.0,0.0,1.0,2020.0,1.0,2.0,7.0,0.12830204213359703
4.0,2.938,1.0,2020.0,1.0,2.0,8.0,3.0663020421335974
4.0,2.5444813722131427,1.0,2020.0,1.0,2.0,9.0,5.61078341434674
4.0,20.82800047704406,1.0,2020.0,1.0,2.0,10.0,26.4387838913908
4.0,23.344914883527828,1.0,2020.0,1.0,2.0,11.0,49.78369877491863
4.0,9.743031966194858,1.0,2020.0,1.0,2.0,12.0,59.52673074111349
4.0,8.940115017770113,1.0,2020.0,1.0,2.0,13.0,68.46684575888361
