Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2018.0,4.0,1.0,0.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,1.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,2.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,3.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,4.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,5.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,6.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,7.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,8.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,9.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,10.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,11.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,12.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,13.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,14.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,15.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,16.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,17.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,18.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,19.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,20.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,21.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,22.0,0.0
7.0,0.0,0.0,2018.0,4.0,1.0,23.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,0.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,1.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,2.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,3.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,4.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,5.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,6.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,7.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,8.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,9.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,10.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,11.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,12.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,13.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,14.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,15.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,16.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,17.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,18.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,19.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,20.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,21.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,22.0,0.0
1.0,0.0,1.0,2018.0,4.0,2.0,23.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,0.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,1.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,2.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,3.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,4.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,5.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,6.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,7.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,8.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,9.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,10.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,11.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,12.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,13.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,14.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,15.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,16.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,17.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,18.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,19.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,20.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,21.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,22.0,0.0
2.0,0.0,1.0,2018.0,4.0,3.0,23.0,0.0
3.0,19.428871648715376,1.0,2018.0,4.0,4.0,0.0,19.428871648715376
3.0,12.735599999999998,1.0,2018.0,4.0,4.0,1.0,32.16447164871538
3.0,0.3344,1.0,2018.0,4.0,4.0,2.0,32.49887164871537
3.0,7.6,1.0,2018.0,4.0,4.0,3.0,40.098871648715374
3.0,9.280454545454546,1.0,2018.0,4.0,4.0,4.0,49.37932619416992
3.0,14.739545454545452,1.0,2018.0,4.0,4.0,5.0,64.11887164871537
3.0,8.852772277227723,1.0,2018.0,4.0,4.0,6.0,72.9716439259431
3.0,28.503819036842454,1.0,2018.0,4.0,4.0,7.0,101.47546296278554
3.0,37.865352222375584,1.0,2018.0,4.0,4.0,8.0,139.34081518516115
3.0,64.09776818491784,1.0,2018.0,4.0,4.0,9.0,203.43858337007896
3.0,53.76674657742375,1.0,2018.0,4.0,4.0,10.0,257.2053299475027
3.0,91.35777005063578,1.0,2018.0,4.0,4.0,11.0,348.5630999981385
3.0,72.28711208797209,1.0,2018.0,4.0,4.0,12.0,420.8502120861106
3.0,71.34110053248935,1.0,2018.0,4.0,4.0,13.0,492.19131261859997
3.0,84.39368789411407,1.0,2018.0,4.0,4.0,14.0,576.585000512714
3.0,93.68732834864876,1.0,2018.0,4.0,4.0,15.0,670.2723288613628
3.0,90.35446683653272,1.0,2018.0,4.0,4.0,16.0,760.6267956978955
3.0,79.36539102232811,1.0,2018.0,4.0,4.0,17.0,839.9921867202236
3.0,56.095867854264185,1.0,2018.0,4.0,4.0,18.0,896.0880545744878
3.0,22.52693883314753,1.0,2018.0,4.0,4.0,19.0,918.6149934076353
3.0,45.15086014438636,1.0,2018.0,4.0,4.0,20.0,963.7658535520217
3.0,16.439514563106798,1.0,2018.0,4.0,4.0,21.0,980.2053681151285
3.0,22.58406001765225,1.0,2018.0,4.0,4.0,22.0,1002.7894281327807
3.0,88.83532657499924,1.0,2018.0,4.0,4.0,23.0,1091.62475470778
4.0,19.001094139935642,1.0,2018.0,4.0,5.0,0.0,19.001094139935642
4.0,8.341903583215466,1.0,2018.0,4.0,5.0,1.0,27.342997723151107
4.0,27.26897953926253,1.0,2018.0,4.0,5.0,2.0,54.61197726241364
4.0,3.2980940594059405,1.0,2018.0,4.0,5.0,3.0,57.91007132181958
4.0,3.664094059405941,1.0,2018.0,4.0,5.0,4.0,61.57416538122552
4.0,4.527094059405941,1.0,2018.0,4.0,5.0,5.0,66.10125944063147
