Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,2.270030672994283,0.0,2019.0,9.0,1.0,0.0,2.270030672994283
7.0,0.8242790259926984,0.0,2019.0,9.0,1.0,1.0,3.0943096989869816
7.0,0.0,0.0,2019.0,9.0,1.0,2.0,3.0943096989869816
7.0,0.6020604605326993,0.0,2019.0,9.0,1.0,3.0,3.696370159519681
7.0,0.5158752586608816,0.0,2019.0,9.0,1.0,4.0,4.212245418180562
7.0,0.636687709936071,0.0,2019.0,9.0,1.0,5.0,4.8489331281166335
7.0,2.5339118913547614,0.0,2019.0,9.0,1.0,6.0,7.382845019471395
7.0,5.429811195760204,0.0,2019.0,9.0,1.0,7.0,12.812656215231598
7.0,3.23134246027693,0.0,2019.0,9.0,1.0,8.0,16.04399867550853
7.0,15.677292704522563,0.0,2019.0,9.0,1.0,9.0,31.72129138003109
7.0,26.725921299290317,0.0,2019.0,9.0,1.0,10.0,58.44721267932141
7.0,52.12284646312565,0.0,2019.0,9.0,1.0,11.0,110.57005914244706
7.0,61.18638184910939,0.0,2019.0,9.0,1.0,12.0,171.75644099155645
7.0,55.41994179310232,0.0,2019.0,9.0,1.0,13.0,227.17638278465876
7.0,84.01544476541089,0.0,2019.0,9.0,1.0,14.0,311.19182755006966
7.0,88.73282185425722,0.0,2019.0,9.0,1.0,15.0,399.9246494043269
7.0,59.868090192257085,0.0,2019.0,9.0,1.0,16.0,459.79273959658394
7.0,84.20026574743899,0.0,2019.0,9.0,1.0,17.0,543.993005344023
7.0,26.352450888365915,0.0,2019.0,9.0,1.0,18.0,570.3454562323889
7.0,27.471503455061782,0.0,2019.0,9.0,1.0,19.0,597.8169596874507
7.0,42.62988415680766,0.0,2019.0,9.0,1.0,20.0,640.4468438442583
7.0,22.395329231755436,0.0,2019.0,9.0,1.0,21.0,662.8421730760138
7.0,79.47728663225817,0.0,2019.0,9.0,1.0,22.0,742.3194597082719
7.0,74.74495613431657,0.0,2019.0,9.0,1.0,23.0,817.0644158425885
1.0,3.721732431252728,1.0,2019.0,9.0,2.0,0.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,1.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,2.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,3.0,3.721732431252728
1.0,0.0,1.0,2019.0,9.0,2.0,4.0,3.721732431252728
1.0,1.3054281671533685,1.0,2019.0,9.0,2.0,5.0,5.0271605984060965
1.0,2.9580687292516847,1.0,2019.0,9.0,2.0,6.0,7.985229327657781
1.0,10.294853898774635,1.0,2019.0,9.0,2.0,7.0,18.280083226432417
1.0,17.362111262457425,1.0,2019.0,9.0,2.0,8.0,35.64219448888984
1.0,26.93556405021259,1.0,2019.0,9.0,2.0,9.0,62.57775853910243
1.0,37.29413297808055,1.0,2019.0,9.0,2.0,10.0,99.87189151718297
1.0,32.58915818779905,1.0,2019.0,9.0,2.0,11.0,132.46104970498203
1.0,54.6743496438091,1.0,2019.0,9.0,2.0,12.0,187.13539934879114
1.0,74.80866102997565,1.0,2019.0,9.0,2.0,13.0,261.9440603787668
1.0,52.42599829316553,1.0,2019.0,9.0,2.0,14.0,314.3700586719323
1.0,90.94939994533267,1.0,2019.0,9.0,2.0,15.0,405.319458617265
1.0,69.07214058838638,1.0,2019.0,9.0,2.0,16.0,474.39159920565135
1.0,50.39993924394612,1.0,2019.0,9.0,2.0,17.0,524.7915384495975
1.0,72.21190020306008,1.0,2019.0,9.0,2.0,18.0,597.0034386526576
1.0,30.12751414829856,1.0,2019.0,9.0,2.0,19.0,627.1309528009562
1.0,78.86408833061097,1.0,2019.0,9.0,2.0,20.0,705.9950411315671
1.0,81.7753693480891,1.0,2019.0,9.0,2.0,21.0,787.7704104796562
1.0,0.1121704035874433,1.0,2019.0,9.0,2.0,22.0,787.8825808832437
1.0,0.0,1.0,2019.0,9.0,2.0,23.0,787.8825808832437
