Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
5.0,0.0,1.0,2019.0,3.0,1.0,0.0,0.0
5.0,0.09845916245916246,1.0,2019.0,3.0,1.0,1.0,0.09845916245916246
5.0,0.0,1.0,2019.0,3.0,1.0,2.0,0.09845916245916246
5.0,0.0,1.0,2019.0,3.0,1.0,3.0,0.09845916245916246
5.0,0.139886259459075,1.0,2019.0,3.0,1.0,4.0,0.2383454219182375
5.0,15.01,1.0,2019.0,3.0,1.0,5.0,15.248345421918238
5.0,9.53615950658976,1.0,2019.0,3.0,1.0,6.0,24.784504928508
5.0,30.828747118936345,1.0,2019.0,3.0,1.0,7.0,55.61325204744434
5.0,27.70731676643519,1.0,2019.0,3.0,1.0,8.0,83.32056881387953
5.0,34.845286520812245,1.0,2019.0,3.0,1.0,9.0,118.16585533469177
5.0,40.59951096100969,1.0,2019.0,3.0,1.0,10.0,158.76536629570148
5.0,73.67024054485286,1.0,2019.0,3.0,1.0,11.0,232.43560684055433
5.0,77.95173873978861,1.0,2019.0,3.0,1.0,12.0,310.3873455803429
5.0,98.1753974372982,1.0,2019.0,3.0,1.0,13.0,408.56274301764114
5.0,75.54910340009185,1.0,2019.0,3.0,1.0,14.0,484.111846417733
5.0,61.11362533444854,1.0,2019.0,3.0,1.0,15.0,545.2254717521815
5.0,87.46268554545402,1.0,2019.0,3.0,1.0,16.0,632.6881572976356
5.0,40.8381675928759,1.0,2019.0,3.0,1.0,17.0,673.5263248905114
5.0,34.48017559533616,1.0,2019.0,3.0,1.0,18.0,708.0065004858476
5.0,31.656214285714285,1.0,2019.0,3.0,1.0,19.0,739.6627147715619
5.0,37.42243071337453,1.0,2019.0,3.0,1.0,20.0,777.0851454849364
5.0,0.8478292682926829,1.0,2019.0,3.0,1.0,21.0,777.9329747532291
5.0,39.05048161023326,1.0,2019.0,3.0,1.0,22.0,816.9834563634624
5.0,0.0,1.0,2019.0,3.0,1.0,23.0,816.9834563634624
6.0,0.0,0.0,2019.0,3.0,2.0,0.0,0.0
6.0,13.65,0.0,2019.0,3.0,2.0,1.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,2.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,3.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,4.0,13.65
6.0,3.46427048266044,0.0,2019.0,3.0,2.0,5.0,17.11427048266044
6.0,3.3542984416539166,0.0,2019.0,3.0,2.0,6.0,20.468568924314358
6.0,3.1683524957079703,0.0,2019.0,3.0,2.0,7.0,23.636921420022325
6.0,5.362636484554609,0.0,2019.0,3.0,2.0,8.0,28.999557904576935
6.0,20.25691603314098,0.0,2019.0,3.0,2.0,9.0,49.256473937717914
6.0,28.33181209803759,0.0,2019.0,3.0,2.0,10.0,77.5882860357555
6.0,48.516227957812895,0.0,2019.0,3.0,2.0,11.0,126.1045139935684
6.0,61.23628134694612,0.0,2019.0,3.0,2.0,12.0,187.34079534051452
6.0,66.94222308810504,0.0,2019.0,3.0,2.0,13.0,254.28301842861956
6.0,70.262053236436,0.0,2019.0,3.0,2.0,14.0,324.54507166505556
6.0,72.83761527505233,0.0,2019.0,3.0,2.0,15.0,397.3826869401079
6.0,89.60357444322536,0.0,2019.0,3.0,2.0,16.0,486.9862613833333
6.0,28.17733879020086,0.0,2019.0,3.0,2.0,17.0,515.1636001735341
6.0,64.9890469475435,0.0,2019.0,3.0,2.0,18.0,580.1526471210776
6.0,32.21385353535353,0.0,2019.0,3.0,2.0,19.0,612.3665006564312
6.0,56.79199742113146,0.0,2019.0,3.0,2.0,20.0,669.1584980775626
6.0,56.62951868303674,0.0,2019.0,3.0,2.0,21.0,725.7880167605994
6.0,0.0,0.0,2019.0,3.0,2.0,22.0,725.7880167605994
6.0,0.0,0.0,2019.0,3.0,2.0,23.0,725.7880167605994
7.0,0.024945648945648945,0.0,2019.0,3.0,3.0,0.0,0.024945648945648945
7.0,4.0208269603550315,0.0,2019.0,3.0,3.0,1.0,4.0457726093006805
7.0,0.0,0.0,2019.0,3.0,3.0,2.0,4.0457726093006805
7.0,3.577585957645403,0.0,2019.0,3.0,3.0,3.0,7.6233585669460835
7.0,0.0,0.0,2019.0,3.0,3.0,4.0,7.6233585669460835
7.0,0.0,0.0,2019.0,3.0,3.0,5.0,7.6233585669460835
7.0,0.0,0.0,2019.0,3.0,3.0,6.0,7.6233585669460835
7.0,19.29,0.0,2019.0,3.0,3.0,7.0,26.913358566946084
7.0,6.97,0.0,2019.0,3.0,3.0,8.0,33.883358566946086
7.0,27.26451198470243,0.0,2019.0,3.0,3.0,9.0,61.14787055164851
7.0,55.71503662975574,0.0,2019.0,3.0,3.0,10.0,116.86290718140425
7.0,65.55604774000338,0.0,2019.0,3.0,3.0,11.0,182.41895492140765
7.0,117.29586458133916,0.0,2019.0,3.0,3.0,12.0,299.71481950274676
7.0,90.61229870080636,0.0,2019.0,3.0,3.0,13.0,390.32711820355314
7.0,42.06485197559308,0.0,2019.0,3.0,3.0,14.0,432.39197017914626
7.0,59.27469913268709,0.0,2019.0,3.0,3.0,15.0,491.66666931183335
7.0,65.74360182575796,0.0,2019.0,3.0,3.0,16.0,557.4102711375913
7.0,60.18318141744424,0.0,2019.0,3.0,3.0,17.0,617.5934525550355
7.0,38.471101255741516,0.0,2019.0,3.0,3.0,18.0,656.064553810777
7.0,13.147519937970756,0.0,2019.0,3.0,3.0,19.0,669.2120737487478
7.0,20.746857142857145,0.0,2019.0,3.0,3.0,20.0,689.958930891605
7.0,30.929708915145007,0.0,2019.0,3.0,3.0,21.0,720.8886398067499
7.0,38.95066371839862,0.0,2019.0,3.0,3.0,22.0,759.8393035251486
7.0,0.0,0.0,2019.0,3.0,3.0,23.0,759.8393035251486
1.0,0.1298198198198198,1.0,2019.0,3.0,4.0,0.0,0.1298198198198198
1.0,15.12,1.0,2019.0,3.0,4.0,1.0,15.24981981981982
1.0,0.0,1.0,2019.0,3.0,4.0,2.0,15.24981981981982
1.0,0.0,1.0,2019.0,3.0,4.0,3.0,15.24981981981982
1.0,0.0,1.0,2019.0,3.0,4.0,4.0,15.24981981981982
1.0,12.91,1.0,2019.0,3.0,4.0,5.0,28.15981981981982
1.0,5.305589836660617,1.0,2019.0,3.0,4.0,6.0,33.46540965648044
1.0,8.607949183303086,1.0,2019.0,3.0,4.0,7.0,42.07335883978352
1.0,22.63825913301312,1.0,2019.0,3.0,4.0,8.0,64.71161797279665
1.0,53.53066484358568,1.0,2019.0,3.0,4.0,9.0,118.24228281638233
1.0,58.2187811614951,1.0,2019.0,3.0,4.0,10.0,176.46106397787742
1.0,24.932525768642336,1.0,2019.0,3.0,4.0,11.0,201.39358974651975
1.0,74.84202893342925,1.0,2019.0,3.0,4.0,12.0,276.235618679949
1.0,101.8756895602248,1.0,2019.0,3.0,4.0,13.0,378.1113082401738
1.0,107.97843593703205,1.0,2019.0,3.0,4.0,14.0,486.08974417720583
1.0,66.0217290137315,1.0,2019.0,3.0,4.0,15.0,552.1114731909373
1.0,58.29711202794136,1.0,2019.0,3.0,4.0,16.0,610.4085852188787
1.0,46.254787060491374,1.0,2019.0,3.0,4.0,17.0,656.6633722793702
1.0,42.1587189634854,1.0,2019.0,3.0,4.0,18.0,698.8220912428555
1.0,60.82468080219745,1.0,2019.0,3.0,4.0,19.0,759.6467720450529
1.0,26.533006426764256,1.0,2019.0,3.0,4.0,20.0,786.1797784718171
1.0,9.582304147465438,1.0,2019.0,3.0,4.0,21.0,795.7620826192826
1.0,0.0,1.0,2019.0,3.0,4.0,22.0,795.7620826192826
1.0,28.350889540808,1.0,2019.0,3.0,4.0,23.0,824.1129721600906
2.0,0.27269321953532477,1.0,2019.0,3.0,5.0,0.0,0.27269321953532477
2.0,2.083333333333333,1.0,2019.0,3.0,5.0,1.0,2.356026552868658
2.0,2.6836502805265736,1.0,2019.0,3.0,5.0,2.0,5.039676833395232
2.0,2.083333333333333,1.0,2019.0,3.0,5.0,3.0,7.123010166728564
2.0,2.083333333333333,1.0,2019.0,3.0,5.0,4.0,9.206343500061898
2.0,2.9328097731239096,1.0,2019.0,3.0,5.0,5.0,12.139153273185807
2.0,21.51859656777196,1.0,2019.0,3.0,5.0,6.0,33.65774984095777
2.0,14.53687434554974,1.0,2019.0,3.0,5.0,7.0,48.194624186507504
2.0,26.30614797016207,1.0,2019.0,3.0,5.0,8.0,74.50077215666957
2.0,15.301315265840502,1.0,2019.0,3.0,5.0,9.0,89.80208742251008
2.0,53.95686079089017,1.0,2019.0,3.0,5.0,10.0,143.75894821340023
2.0,81.81394248704864,1.0,2019.0,3.0,5.0,11.0,225.57289070044888
2.0,78.87464578692723,1.0,2019.0,3.0,5.0,12.0,304.4475364873761
2.0,86.64694843606011,1.0,2019.0,3.0,5.0,13.0,391.0944849234362
2.0,48.464388025446986,1.0,2019.0,3.0,5.0,14.0,439.5588729488832
2.0,71.24069636499317,1.0,2019.0,3.0,5.0,15.0,510.7995693138764
2.0,110.70632491492086,1.0,2019.0,3.0,5.0,16.0,621.5058942287973
2.0,36.9846326145467,1.0,2019.0,3.0,5.0,17.0,658.4905268433439
2.0,81.35594803260533,1.0,2019.0,3.0,5.0,18.0,739.8464748759493
2.0,45.8200311947066,1.0,2019.0,3.0,5.0,19.0,785.6665060706558
2.0,36.09487010586601,1.0,2019.0,3.0,5.0,20.0,821.7613761765219
2.0,23.70362872539166,1.0,2019.0,3.0,5.0,21.0,845.4650049019135
2.0,35.940047231342454,1.0,2019.0,3.0,5.0,22.0,881.405052133256
2.0,35.94004723134246,1.0,2019.0,3.0,5.0,23.0,917.3450993645985
3.0,0.0,1.0,2019.0,3.0,6.0,0.0,0.0
3.0,0.0006247309256158811,1.0,2019.0,3.0,6.0,1.0,0.0006247309256158811
3.0,2.5250151365668336,1.0,2019.0,3.0,6.0,2.0,2.5256398674924494
3.0,0.0,1.0,2019.0,3.0,6.0,3.0,2.5256398674924494
3.0,3.0366545273719203,1.0,2019.0,3.0,6.0,4.0,5.56229439486437
3.0,2.706934790336536,1.0,2019.0,3.0,6.0,5.0,8.269229185200906
3.0,28.395714285714288,1.0,2019.0,3.0,6.0,6.0,36.66494347091519
3.0,40.84318815331011,1.0,2019.0,3.0,6.0,7.0,77.5081316242253
3.0,29.12191989934185,1.0,2019.0,3.0,6.0,8.0,106.63005152356715
3.0,17.70234717049141,1.0,2019.0,3.0,6.0,9.0,124.33239869405855
3.0,55.48591692197102,1.0,2019.0,3.0,6.0,10.0,179.81831561602957
3.0,81.68670046684984,1.0,2019.0,3.0,6.0,11.0,261.5050160828794
3.0,73.71568746989487,1.0,2019.0,3.0,6.0,12.0,335.2207035527743
3.0,81.10484071672434,1.0,2019.0,3.0,6.0,13.0,416.32554426949866
3.0,70.6221575333026,1.0,2019.0,3.0,6.0,14.0,486.94770180280125
3.0,65.28926478685635,1.0,2019.0,3.0,6.0,15.0,552.2369665896576
3.0,49.83272259000809,1.0,2019.0,3.0,6.0,16.0,602.0696891796657
3.0,52.25757672994637,1.0,2019.0,3.0,6.0,17.0,654.327265909612
3.0,35.66203531386974,1.0,2019.0,3.0,6.0,18.0,689.9893012234818
3.0,39.50359951352966,1.0,2019.0,3.0,6.0,19.0,729.4929007370115
3.0,46.28596672113018,1.0,2019.0,3.0,6.0,20.0,775.7788674581416
3.0,18.44529411764706,1.0,2019.0,3.0,6.0,21.0,794.2241615757887
3.0,39.406384305771304,1.0,2019.0,3.0,6.0,22.0,833.63054588156
3.0,39.406384305771304,1.0,2019.0,3.0,6.0,23.0,873.0369301873313
4.0,0.0,1.0,2019.0,3.0,7.0,0.0,0.0
4.0,0.0,1.0,2019.0,3.0,7.0,1.0,0.0
4.0,5.286315789473684,1.0,2019.0,3.0,7.0,2.0,5.286315789473684
4.0,9.254158933239076,1.0,2019.0,3.0,7.0,3.0,14.540474722712759
4.0,8.16795878342875,1.0,2019.0,3.0,7.0,4.0,22.70843350614151
4.0,7.0,1.0,2019.0,3.0,7.0,5.0,29.70843350614151
