Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
1,24.50386872416592,1,2017,1,9,0,24.50386872416592
1,39.237096774193546,1,2017,1,9,1,63.740965498359465
1,24.50386872416592,1,2017,1,9,2,88.24483422252538
1,0.0,1,2017,1,9,3,88.24483422252538
1,0.0,1,2017,1,9,4,88.24483422252538
1,9.304615384615383,1,2017,1,9,5,97.54944960714077
1,24.50386872416592,1,2017,1,9,6,122.05331833130668
1,24.50386872416592,1,2017,1,9,7,146.5571870554726
1,24.50386872416592,1,2017,1,9,8,171.06105577963854
1,43.6774258333538,1,2017,1,9,9,214.73848161299233
1,73.2508743404855,1,2017,1,9,10,287.9893559534778
1,24.50386872416592,1,2017,1,9,11,312.49322467764375
1,24.50386872416592,1,2017,1,9,12,336.99709340180965
1,64.71495372882353,1,2017,1,9,13,401.7120471306332
1,86.51886790835573,1,2017,1,9,14,488.23091503898894
1,50.62752275784353,1,2017,1,9,15,538.8584377968325
1,82.9923065984128,1,2017,1,9,16,621.8507443952452
1,46.78513509657776,1,2017,1,9,17,668.6358794918231
1,24.50386872416592,1,2017,1,9,18,693.1397482159889
1,25.232254124254123,1,2017,1,9,19,718.3720023402431
1,24.50386872416592,1,2017,1,9,20,742.875871064409
1,24.50386872416592,1,2017,1,9,21,767.3797397885749
1,33.32724924012158,1,2017,1,9,22,800.7069890286965
1,24.50386872416592,1,2017,1,9,23,825.2108577528624
2,24.50386872416592,1,2017,1,10,0,24.50386872416592
2,24.50386872416592,1,2017,1,10,1,49.00773744833184
2,89.89863952212428,1,2017,1,10,2,138.9063769704561
2,71.79274276292968,1,2017,1,10,3,210.6991197333858
2,24.50386872416592,1,2017,1,10,4,235.20298845755173
2,20.23782673148535,1,2017,1,10,5,255.44081518903707
2,55.199521773379146,1,2017,1,10,6,310.6403369624162
2,27.147768437543046,1,2017,1,10,7,337.78810539995925
2,43.33715317780279,1,2017,1,10,8,381.12525857776205
2,24.50386872416592,1,2017,1,10,9,405.62912730192795
2,24.50386872416592,1,2017,1,10,10,430.1329960260939
2,24.50386872416592,1,2017,1,10,11,454.6368647502598
2,24.50386872416592,1,2017,1,10,12,479.1407334744257
2,24.50386872416592,1,2017,1,10,13,503.64460219859166
2,24.50386872416592,1,2017,1,10,14,528.1484709227576
2,89.81712762876634,1,2017,1,10,15,617.965598551524
2,83.60573392888234,1,2017,1,10,16,701.5713324804062
2,24.50386872416592,1,2017,1,10,17,726.0752012045722
2,24.50386872416592,1,2017,1,10,18,750.5790699287381
2,24.50386872416592,1,2017,1,10,19,775.082938652904
2,33.04768938205251,1,2017,1,10,20,808.1306280349565
2,24.50386872416592,1,2017,1,10,21,832.6344967591224
2,24.50386872416592,1,2017,1,10,22,857.1383654832883
2,41.3897628458498,1,2017,1,10,23,898.5281283291382
3,21.519138655462186,1,2017,1,11,0,21.519138655462186
3,24.50386872416592,1,2017,1,11,1,46.023007379628105
3,27.16294117647059,1,2017,1,11,2,73.1859485560987
3,24.50386872416592,1,2017,1,11,3,97.6898172802646
3,24.50386872416592,1,2017,1,11,4,122.19368600443053
3,38.196209930861095,1,2017,1,11,5,160.38989593529163
3,11.09946574481458,1,2017,1,11,6,171.4893616801062
3,24.86031846819629,1,2017,1,11,7,196.3496801483025
3,19.654161014838845,1,2017,1,11,8,216.00384116314135
3,64.80280580510356,1,2017,1,11,9,280.8066469682449
3,82.65944470473512,1,2017,1,11,10,363.46609167298004
3,24.50386872416592,1,2017,1,11,11,387.96996039714594
3,58.53311353881104,1,2017,1,11,12,446.503073935957
3,60.49752418558229,1,2017,1,11,13,507.00059812153927
3,24.50386872416592,1,2017,1,11,14,531.5044668457052
3,24.50386872416592,1,2017,1,11,15,556.0083355698711
3,53.29197966491036,1,2017,1,11,16,609.3003152347815
3,24.50386872416592,1,2017,1,11,17,633.8041839589474
3,55.74682049334986,1,2017,1,11,18,689.5510044522972
3,24.50386872416592,1,2017,1,11,19,714.0548731764632
3,24.50386872416592,1,2017,1,11,20,738.5587419006291
3,30.914981451806888,1,2017,1,11,21,769.473723352436
3,24.50386872416592,1,2017,1,11,22,793.9775920766019
3,24.50386872416592,1,2017,1,11,23,818.4814608007678
4,26.382,1,2017,1,12,0,26.382
4,24.50386872416592,1,2017,1,12,1,50.88586872416592
4,24.50386872416592,1,2017,1,12,2,75.38973744833184
4,26.591304347826085,1,2017,1,12,3,101.98104179615792
4,27.72111111111111,1,2017,1,12,4,129.70215290726904
4,0.8888888888888888,1,2017,1,12,5,130.59104179615792
4,19.57324324324324,1,2017,1,12,6,150.16428503940116
4,24.50386872416592,1,2017,1,12,7,174.6681537635671
4,29.363131243150363,1,2017,1,12,8,204.03128500671744
4,68.60933907631151,1,2017,1,12,9,272.64062408302897
4,72.03856600400654,1,2017,1,12,10,344.6791900870355
4,32.00192805342797,1,2017,1,12,11,376.68111814046347
4,0.1149921259842519,1,2017,1,12,12,376.7961102664477
4,0.0,1,2017,1,12,13,376.7961102664477
4,24.50386872416592,1,2017,1,12,14,401.2999789906136
4,0.0,1,2017,1,12,15,401.2999789906136
4,0.0,1,2017,1,12,16,401.2999789906136
4,0.0,1,2017,1,12,17,401.2999789906136
4,0.0,1,2017,1,12,18,401.2999789906136
4,0.0,1,2017,1,12,19,401.2999789906136
4,24.50386872416592,1,2017,1,12,20,425.8038477147796
4,24.50386872416592,1,2017,1,12,21,450.3077164389455
4,0.0,1,2017,1,12,22,450.3077164389455
4,0.0,1,2017,1,12,23,450.3077164389455
5,24.50386872416592,1,2017,1,13,0,24.50386872416592
5,0.0,1,2017,1,13,1,24.50386872416592
5,24.50386872416592,1,2017,1,13,2,49.00773744833184
5,24.50386872416592,1,2017,1,13,3,73.51160617249775
5,0.0,1,2017,1,13,4,73.51160617249775
5,0.0,1,2017,1,13,5,73.51160617249775
5,0.0,1,2017,1,13,6,73.51160617249775
5,0.0,1,2017,1,13,7,73.51160617249775
5,0.0,1,2017,1,13,8,73.51160617249775
5,0.0,1,2017,1,13,9,73.51160617249775
5,0.0,1,2017,1,13,10,73.51160617249775
5,0.0,1,2017,1,13,11,73.51160617249775
5,24.50386872416592,1,2017,1,13,12,98.01547489666368
5,0.0,1,2017,1,13,13,98.01547489666368
5,0.0,1,2017,1,13,14,98.01547489666368
5,0.0,1,2017,1,13,15,98.01547489666368
5,0.0,1,2017,1,13,16,98.01547489666368
5,0.0,1,2017,1,13,17,98.01547489666368
5,24.50386872416592,1,2017,1,13,18,122.5193436208296
5,0.0,1,2017,1,13,19,122.5193436208296
5,0.0,1,2017,1,13,20,122.5193436208296
5,0.0,1,2017,1,13,21,122.5193436208296
5,0.0,1,2017,1,13,22,122.5193436208296
5,0.0,1,2017,1,13,23,122.5193436208296
6,0.0,0,2017,1,14,0,0.0
6,0.0,0,2017,1,14,1,0.0
6,0.0,0,2017,1,14,2,0.0
6,0.0,0,2017,1,14,3,0.0
6,24.50386872416592,0,2017,1,14,4,24.50386872416592
6,24.50386872416592,0,2017,1,14,5,49.00773744833184
6,24.50386872416592,0,2017,1,14,6,73.51160617249775
6,24.50386872416592,0,2017,1,14,7,98.01547489666368
6,0.0,0,2017,1,14,8,98.01547489666368
6,24.50386872416592,0,2017,1,14,9,122.5193436208296
6,24.50386872416592,0,2017,1,14,10,147.0232123449955
6,0.0,0,2017,1,14,11,147.0232123449955
6,0.0,0,2017,1,14,12,147.0232123449955
6,0.0,0,2017,1,14,13,147.0232123449955
6,0.0,0,2017,1,14,14,147.0232123449955
6,24.50386872416592,0,2017,1,14,15,171.52708106916143
6,0.0,0,2017,1,14,16,171.52708106916143
6,24.50386872416592,0,2017,1,14,17,196.03094979332735
6,24.50386872416592,0,2017,1,14,18,220.53481851749328
6,24.50386872416592,0,2017,1,14,19,245.0386872416592
6,0.0,0,2017,1,14,20,245.0386872416592
6,24.50386872416592,0,2017,1,14,21,269.5425559658251
6,24.50386872416592,0,2017,1,14,22,294.046424689991
6,24.50386872416592,0,2017,1,14,23,318.55029341415695
7,24.50386872416592,0,2017,1,15,0,24.50386872416592
7,24.50386872416592,0,2017,1,15,1,49.00773744833184
7,24.50386872416592,0,2017,1,15,2,73.51160617249775
7,0.0,0,2017,1,15,3,73.51160617249775
7,0.0,0,2017,1,15,4,73.51160617249775
7,0.0,0,2017,1,15,5,73.51160617249775
7,0.0,0,2017,1,15,6,73.51160617249775
7,0.0,0,2017,1,15,7,73.51160617249775
7,0.0,0,2017,1,15,8,73.51160617249775
7,24.50386872416592,0,2017,1,15,9,98.01547489666368
7,0.0,0,2017,1,15,10,98.01547489666368
7,24.50386872416592,0,2017,1,15,11,122.5193436208296
7,0.0,0,2017,1,15,12,122.5193436208296
7,24.50386872416592,0,2017,1,15,13,147.0232123449955
7,0.0,0,2017,1,15,14,147.0232123449955
7,24.50386872416592,0,2017,1,15,15,171.52708106916143
7,0.0,0,2017,1,15,16,171.52708106916143
7,0.0,0,2017,1,15,17,171.52708106916143
7,0.0,0,2017,1,15,18,171.52708106916143
7,0.0,0,2017,1,15,19,171.52708106916143
7,0.0,0,2017,1,15,20,171.52708106916143
7,24.50386872416592,0,2017,1,15,21,196.03094979332735
7,0.0,0,2017,1,15,22,196.03094979332735
7,24.50386872416592,0,2017,1,15,23,220.53481851749328
1,24.50386872416592,1,2017,1,16,0,24.50386872416592
1,0.0,1,2017,1,16,1,24.50386872416592
1,24.50386872416592,1,2017,1,16,2,49.00773744833184
1,24.50386872416592,1,2017,1,16,3,73.51160617249775
1,0.0,1,2017,1,16,4,73.51160617249775
1,24.50386872416592,1,2017,1,16,5,98.01547489666368
1,24.50386872416592,1,2017,1,16,6,122.5193436208296
1,24.50386872416592,1,2017,1,16,7,147.0232123449955
1,0.0,1,2017,1,16,8,147.0232123449955
1,24.50386872416592,1,2017,1,16,9,171.52708106916143
1,24.50386872416592,1,2017,1,16,10,196.03094979332735
1,24.50386872416592,1,2017,1,16,11,220.53481851749328
1,24.50386872416592,1,2017,1,16,12,245.0386872416592
1,0.0,1,2017,1,16,13,245.0386872416592
1,24.50386872416592,1,2017,1,16,14,269.5425559658251
1,0.0,1,2017,1,16,15,269.5425559658251
1,24.50386872416592,1,2017,1,16,16,294.046424689991
1,24.50386872416592,1,2017,1,16,17,318.55029341415695
1,24.50386872416592,1,2017,1,16,18,343.05416213832285
1,24.50386872416592,1,2017,1,16,19,367.5580308624888
1,24.50386872416592,1,2017,1,16,20,392.0618995866547
1,24.50386872416592,1,2017,1,16,21,416.5657683108206
1,0.0,1,2017,1,16,22,416.5657683108206
1,24.50386872416592,1,2017,1,16,23,441.06963703498656
2,0.0,1,2017,1,17,0,0.0
2,24.50386872416592,1,2017,1,17,1,24.50386872416592
2,0.0,1,2017,1,17,2,24.50386872416592
2,24.50386872416592,1,2017,1,17,3,49.00773744833184
2,24.50386872416592,1,2017,1,17,4,73.51160617249775
2,24.50386872416592,1,2017,1,17,5,98.01547489666368
2,24.50386872416592,1,2017,1,17,6,122.5193436208296
2,0.0,1,2017,1,17,7,122.5193436208296
2,0.0,1,2017,1,17,8,122.5193436208296
2,0.0,1,2017,1,17,9,122.5193436208296
