Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
6,18.168890557452112,0,2016,1,9,7,18.168890557452112
6,18.168890557452112,0,2016,1,9,8,36.337781114904224
6,7.239345021973532,0,2016,1,9,9,43.57712613687776
6,18.168890557452112,0,2016,1,9,10,61.74601669432987
6,8.988995953650551,0,2016,1,9,11,70.73501264798043
6,23.256202723292045,0,2016,1,9,12,93.99121537127246
6,18.16481237241485,0,2016,1,9,13,112.15602774368732
6,10.507091687215848,0,2016,1,9,14,122.66311943090317
6,21.21150402513253,0,2016,1,9,15,143.8746234560357
6,18.168890557452112,0,2016,1,9,16,162.0435140134878
6,24.925,0,2016,1,9,17,186.9685140134878
6,31.1748275862069,0,2016,1,9,18,218.1433415996947
6,18.168890557452112,0,2016,1,9,19,236.3122321571468
6,2.472380952380953,0,2016,1,9,20,238.78461310952778
6,0.0,0,2016,1,9,21,238.78461310952778
6,0.0,0,2016,1,9,22,238.78461310952778
6,0.0,0,2016,1,9,23,238.78461310952778
7,18.168890557452112,0,2016,1,10,0,18.168890557452112
7,18.168890557452112,0,2016,1,10,1,36.337781114904224
7,0.0,0,2016,1,10,2,36.337781114904224
7,0.0,0,2016,1,10,3,36.337781114904224
7,18.168890557452112,0,2016,1,10,4,54.50667167235633
7,18.168890557452112,0,2016,1,10,5,72.67556222980845
7,18.168890557452112,0,2016,1,10,6,90.84445278726056
7,0.0,0,2016,1,10,7,90.84445278726056
7,0.0,0,2016,1,10,8,90.84445278726056
7,3.702,0,2016,1,10,9,94.54645278726056
7,44.8230701754386,0,2016,1,10,10,139.36952296269916
7,52.139927027714215,0,2016,1,10,11,191.50944999041337
7,41.79195887668935,0,2016,1,10,12,233.30140886710274
7,18.168890557452112,0,2016,1,10,13,251.47029942455484
7,18.168890557452112,0,2016,1,10,14,269.63918998200694
7,30.096826603001595,0,2016,1,10,15,299.73601658500854
7,51.83858819906381,0,2016,1,10,16,351.57460478407233
7,37.06305263157895,0,2016,1,10,17,388.6376574156513
7,18.168890557452112,0,2016,1,10,18,406.8065479731034
7,2.4536590436590435,0,2016,1,10,19,409.2602070167625
7,22.94564864864865,0,2016,1,10,20,432.2058556654111
7,0.0,0,2016,1,10,21,432.2058556654111
7,18.168890557452112,0,2016,1,10,22,450.3747462228632
7,18.168890557452112,0,2016,1,10,23,468.54363678031535
1,0.0,1,2016,1,11,0,0.0
1,0.0,1,2016,1,11,1,0.0
1,18.168890557452112,1,2016,1,11,2,18.168890557452112
1,0.0,1,2016,1,11,3,18.168890557452112
1,0.0,1,2016,1,11,4,18.168890557452112
1,0.0,1,2016,1,11,5,18.168890557452112
1,0.0,1,2016,1,11,6,18.168890557452112
1,6.545,1,2016,1,11,7,24.71389055745211
1,18.168890557452112,1,2016,1,11,8,42.882781114904226
1,8.794817164179104,1,2016,1,11,9,51.67759827908333
1,24.70862484707609,1,2016,1,11,10,76.38622312615942
1,18.168890557452112,1,2016,1,11,11,94.55511368361154
1,6.23662037037037,1,2016,1,11,12,100.7917340539819
1,0.66625,1,2016,1,11,13,101.4579840539819
1,20.067828947368422,1,2016,1,11,14,121.52581300135033
1,15.718808983666062,1,2016,1,11,15,137.24462198501638
1,29.665028735632184,1,2016,1,11,16,166.90965072064859
1,18.168890557452112,1,2016,1,11,17,185.0785412781007
1,6.050000000000001,1,2016,1,11,18,191.12854127810067
1,18.168890557452112,1,2016,1,11,19,209.2974318355528
1,18.168890557452112,1,2016,1,11,20,227.4663223930049
1,2.9372525439407955,1,2016,1,11,21,230.40357493694572
1,27.202747456059203,1,2016,1,11,22,257.6063223930049
1,18.168890557452112,1,2016,1,11,23,275.77521295045705
2,0.0,1,2016,1,12,0,0.0
2,0.0,1,2016,1,12,1,0.0
2,18.168890557452112,1,2016,1,12,2,18.168890557452112
2,0.0,1,2016,1,12,3,18.168890557452112
2,0.0636683417085427,1,2016,1,12,4,18.232558899160654
2,1.9100502512562811,1,2016,1,12,5,20.142609150416938
2,1.9100502512562811,1,2016,1,12,6,22.052659401673218
2,18.168890557452112,1,2016,1,12,7,40.221549959125326
2,18.168890557452112,1,2016,1,12,8,58.39044051657744
2,27.24040859972387,1,2016,1,12,9,85.6308491163013
2,18.168890557452112,1,2016,1,12,10,103.79973967375342
2,13.673779563755282,1,2016,1,12,11,117.47351923750871
2,22.46040906064436,1,2016,1,12,12,139.93392829815306
2,18.168890557452112,1,2016,1,12,13,158.10281885560516
2,10.76319293614882,1,2016,1,12,14,168.866011791754
2,51.97202998635352,1,2016,1,12,15,220.8380417781075
