Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,7.1319723,0.0,2019.0,9.0,1.0,3.0,7.1319723
7.0,0.33630997,0.0,2019.0,9.0,1.0,4.0,7.468282
7.0,0.0,0.0,2019.0,9.0,1.0,5.0,7.468282
7.0,0.0,0.0,2019.0,9.0,1.0,6.0,7.468282
7.0,0.0,0.0,2019.0,9.0,1.0,6.9999995,7.468282
7.0,0.0,0.0,2019.0,9.0,1.0,8.0,7.468282
7.0,0.0,0.0,2019.0,9.0,1.0,9.0,7.468282
7.0,0.0,0.0,2019.0,9.0,1.0,10.0,7.468282
7.0,0.0,0.0,2019.0,9.0,1.0,11.0,7.468282
7.0,0.0,0.0,2019.0,9.0,1.0,12.0,7.468282
7.0,0.0,0.0,2019.0,9.0,1.0,13.0,7.468282
7.0,0.05573971,0.0,2019.0,9.0,1.0,13.999999,7.524022
7.0,6.4576044,0.0,2019.0,9.0,1.0,15.000001,13.9816265
7.0,12.210068,0.0,2019.0,9.0,1.0,16.0,26.191694
7.0,10.309546,0.0,2019.0,9.0,1.0,17.0,36.50124
7.0,6.2169447,0.0,2019.0,9.0,1.0,18.0,42.718185
7.0,6.4242463,0.0,2019.0,9.0,1.0,19.0,49.142433
7.0,16.008747,0.0,2019.0,9.0,1.0,20.0,65.15118
7.0,20.004618,0.0,2019.0,9.0,1.0,21.0,85.15579
7.0,11.256986,0.0,2019.0,9.0,1.0,22.0,96.41278
7.0,11.4218445,0.0,2019.0,9.0,1.0,23.0,107.834625
1.0,5.515059,1.0,2019.0,9.0,2.0,0.0,5.515059
1.0,10.679164,1.0,2019.0,9.0,2.0,1.0,16.194223
1.0,8.994759,1.0,2019.0,9.0,2.0,2.0,25.18898
1.0,2.408673,1.0,2019.0,9.0,2.0,3.0,27.597654
1.0,0.0,1.0,2019.0,9.0,2.0,4.0,27.597654
1.0,0.0,1.0,2019.0,9.0,2.0,5.0,27.597654
1.0,0.0,1.0,2019.0,9.0,2.0,6.0,27.597654
1.0,0.0,1.0,2019.0,9.0,2.0,6.9999995,27.597654
1.0,0.0,1.0,2019.0,9.0,2.0,8.0,27.597654
1.0,0.0,1.0,2019.0,9.0,2.0,9.0,27.597654
