Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
1.0,0.0,1.0,2019.0,9.0,2.0,23.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,0.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,1.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,2.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,3.0,0.0
2.0,0.2706986,1.0,2019.0,9.0,3.0,4.0,0.2706986
2.0,5.190511,1.0,2019.0,9.0,3.0,5.0,5.46121
2.0,20.133413,1.0,2019.0,9.0,3.0,6.0,25.594624
2.0,24.381592,1.0,2019.0,9.0,3.0,6.9999995,49.976215
2.0,53.157284,1.0,2019.0,9.0,3.0,8.0,103.1335
2.0,95.89386,1.0,2019.0,9.0,3.0,9.0,199.02736
2.0,127.05426,1.0,2019.0,9.0,3.0,10.0,326.0816
2.0,130.89986,1.0,2019.0,9.0,3.0,11.0,456.98148
2.0,102.176926,1.0,2019.0,9.0,3.0,12.0,559.1584
2.0,81.72167,1.0,2019.0,9.0,3.0,13.0,640.88007
2.0,95.908585,1.0,2019.0,9.0,3.0,13.999999,736.78864
2.0,97.05901,1.0,2019.0,9.0,3.0,15.000001,833.84766
2.0,105.125015,1.0,2019.0,9.0,3.0,16.0,938.97266
2.0,76.62685,1.0,2019.0,9.0,3.0,17.0,1015.59955
2.0,73.644714,1.0,2019.0,9.0,3.0,18.0,1089.2443
2.0,35.95061,1.0,2019.0,9.0,3.0,19.0,1125.1948
2.0,16.71168,1.0,2019.0,9.0,3.0,20.0,1141.9065
2.0,3.858885,1.0,2019.0,9.0,3.0,21.0,1145.7654
2.0,1.0375637,1.0,2019.0,9.0,3.0,22.0,1146.803
2.0,0.0,1.0,2019.0,9.0,3.0,23.0,1146.803
3.0,0.0,1.0,2019.0,9.0,4.0,0.0,0.0
3.0,0.0,1.0,2019.0,9.0,4.0,1.0,0.0
3.0,0.0,1.0,2019.0,9.0,4.0,2.0,0.0
3.0,0.0,1.0,2019.0,9.0,4.0,3.0,0.0
3.0,0.1365309,1.0,2019.0,9.0,4.0,4.0,0.1365309
3.0,10.4704895,1.0,2019.0,9.0,4.0,5.0,10.60702
3.0,25.507742,1.0,2019.0,9.0,4.0,6.0,36.11476
3.0,23.498606,1.0,2019.0,9.0,4.0,6.9999995,59.61337
3.0,37.518726,1.0,2019.0,9.0,4.0,8.0,97.132095
3.0,75.18877,1.0,2019.0,9.0,4.0,9.0,172.32086
3.0,108.59578,1.0,2019.0,9.0,4.0,10.0,280.91663
3.0,140.6263,1.0,2019.0,9.0,4.0,11.0,421.54294
3.0,126.95142,1.0,2019.0,9.0,4.0,12.0,548.4944
3.0,75.74846,1.0,2019.0,9.0,4.0,13.0,624.2428
3.0,91.74643,1.0,2019.0,9.0,4.0,13.999999,715.98926
3.0,91.72295,1.0,2019.0,9.0,4.0,15.000001,807.7122
3.0,86.43024,1.0,2019.0,9.0,4.0,16.0,894.14246
3.0,53.74696,1.0,2019.0,9.0,4.0,17.0,947.8894
3.0,54.952335,1.0,2019.0,9.0,4.0,18.0,1002.84174
3.0,53.403725,1.0,2019.0,9.0,4.0,19.0,1056.2455
3.0,37.584736,1.0,2019.0,9.0,4.0,20.0,1093.8302
3.0,25.838207,1.0,2019.0,9.0,4.0,21.0,1119.6685
3.0,14.305475,1.0,2019.0,9.0,4.0,22.0,1133.9739
3.0,9.713022,1.0,2019.0,9.0,4.0,23.0,1143.6869
4.0,3.4631155,1.0,2019.0,9.0,5.0,0.0,3.4631155
4.0,0.0,1.0,2019.0,9.0,5.0,1.0,3.4631155
4.0,0.0,1.0,2019.0,9.0,5.0,2.0,3.4631155
4.0,0.0,1.0,2019.0,9.0,5.0,3.0,3.4631155
4.0,0.40897253,1.0,2019.0,9.0,5.0,4.0,3.872088
4.0,8.049018,1.0,2019.0,9.0,5.0,5.0,11.921106
4.0,15.401645,1.0,2019.0,9.0,5.0,6.0,27.32275
4.0,12.836771,1.0,2019.0,9.0,5.0,6.9999995,40.159523
4.0,32.467735,1.0,2019.0,9.0,5.0,8.0,72.62726
4.0,78.43809,1.0,2019.0,9.0,5.0,9.0,151.06534
4.0,121.11043,1.0,2019.0,9.0,5.0,10.0,272.17578
4.0,116.82671,1.0,2019.0,9.0,5.0,11.0,389.0025
4.0,133.98062,1.0,2019.0,9.0,5.0,12.0,522.9831
4.0,108.96868,1.0,2019.0,9.0,5.0,13.0,631.9518
4.0,80.960075,1.0,2019.0,9.0,5.0,13.999999,712.91187
4.0,77.9046,1.0,2019.0,9.0,5.0,15.000001,790.81647
4.0,80.076096,1.0,2019.0,9.0,5.0,16.0,870.8926
4.0,55.72933,1.0,2019.0,9.0,5.0,17.0,926.6219
4.0,57.905197,1.0,2019.0,9.0,5.0,18.0,984.5271
4.0,67.92622,1.0,2019.0,9.0,5.0,19.0,1052.4534
4.0,64.05555,1.0,2019.0,9.0,5.0,20.0,1116.5089
4.0,18.66985,1.0,2019.0,9.0,5.0,21.0,1135.1787
4.0,5.2093577,1.0,2019.0,9.0,5.0,22.0,1140.3881
4.0,5.652879,1.0,2019.0,9.0,5.0,23.0,1146.0409
5.0,9.481889,1.0,2019.0,9.0,6.0,0.0,9.481889
5.0,10.381869,1.0,2019.0,9.0,6.0,1.0,19.863758
5.0,0.009421464,1.0,2019.0,9.0,6.0,2.0,19.87318
5.0,0.0,1.0,2019.0,9.0,6.0,3.0,19.87318
5.0,0.0,1.0,2019.0,9.0,6.0,4.0,19.87318
5.0,7.2977624,1.0,2019.0,9.0,6.0,5.0,27.170942
5.0,17.12863,1.0,2019.0,9.0,6.0,6.0,44.299572
5.0,19.935911,1.0,2019.0,9.0,6.0,6.9999995,64.23548
5.0,47.955513,1.0,2019.0,9.0,6.0,8.0,112.190994
5.0,93.46908,1.0,2019.0,9.0,6.0,9.0,205.66006
5.0,113.74314,1.0,2019.0,9.0,6.0,10.0,319.4032
5.0,122.186485,1.0,2019.0,9.0,6.0,11.0,441.5897
5.0,141.27834,1.0,2019.0,9.0,6.0,12.0,582.86804
5.0,120.00768,1.0,2019.0,9.0,6.0,13.0,702.87573
5.0,91.42438,1.0,2019.0,9.0,6.0,13.999999,794.3001
5.0,64.78458,1.0,2019.0,9.0,6.0,15.000001,859.08466
5.0,60.225018,1.0,2019.0,9.0,6.0,16.0,919.3097
5.0,71.98234,1.0,2019.0,9.0,6.0,17.0,991.29205
5.0,64.02687,1.0,2019.0,9.0,6.0,18.0,1055.3188
5.0,63.18483,1.0,2019.0,9.0,6.0,19.0,1118.5038
5.0,54.7355,1.0,2019.0,9.0,6.0,20.0,1173.2393
5.0,33.686283,1.0,2019.0,9.0,6.0,21.0,1206.9255
5.0,19.68517,1.0,2019.0,9.0,6.0,22.0,1226.6107
5.0,20.797594,1.0,2019.0,9.0,6.0,23.0,1247.4083
6.0,9.013171,0.0,2019.0,9.0,7.0,0.0,9.013171
6.0,1.3847154,0.0,2019.0,9.0,7.0,1.0,10.397886
6.0,0.0,0.0,2019.0,9.0,7.0,2.0,10.397886
6.0,0.0,0.0,2019.0,9.0,7.0,3.0,10.397886
6.0,0.0,0.0,2019.0,9.0,7.0,4.0,10.397886
6.0,0.0,0.0,2019.0,9.0,7.0,5.0,10.397886
6.0,0.0,0.0,2019.0,9.0,7.0,6.0,10.397886
6.0,3.5974338,0.0,2019.0,9.0,7.0,6.9999995,13.99532
6.0,16.258236,0.0,2019.0,9.0,7.0,8.0,30.253555
6.0,24.405449,0.0,2019.0,9.0,7.0,9.0,54.659004
6.0,56.38983,0.0,2019.0,9.0,7.0,10.0,111.048836
6.0,56.29435,0.0,2019.0,9.0,7.0,11.0,167.34319
6.0,72.790474,0.0,2019.0,9.0,7.0,12.0,240.13367
6.0,103.57962,0.0,2019.0,9.0,7.0,13.0,343.7133
6.0,79.700775,0.0,2019.0,9.0,7.0,13.999999,423.41406
6.0,47.874866,0.0,2019.0,9.0,7.0,15.000001,471.2889
6.0,42.31794,0.0,2019.0,9.0,7.0,16.0,513.6069
6.0,46.658463,0.0,2019.0,9.0,7.0,17.0,560.2653
