Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum,Seasonal,Trend,Residual
3.0,0.0,1.0,2020.0,4.0,1.0,13.0,0.0,12.833708,0.8928797,-13.726588
3.0,0.0,1.0,2020.0,4.0,1.0,13.999999,0.0,18.331913,1.1944151,-19.526329
3.0,0.0,1.0,2020.0,4.0,1.0,15.000001,0.0,11.571308,1.4540706,-13.025379
3.0,0.0,1.0,2020.0,4.0,1.0,16.0,0.0,3.1636565,1.5629584,-4.726614
3.0,0.0,1.0,2020.0,4.0,1.0,17.0,0.0,-5.0792284,1.5629584,3.5162735
3.0,0.0,1.0,2020.0,4.0,1.0,18.0,0.0,-11.388051,1.5629584,9.8250885
3.0,0.0,1.0,2020.0,4.0,1.0,19.0,0.0,-14.460137,1.5629584,12.897176
3.0,0.0,1.0,2020.0,4.0,1.0,20.0,0.0,-15.465245,1.5629584,13.9022875
3.0,0.0,1.0,2020.0,4.0,1.0,21.0,0.0,-15.252581,1.5629584,13.689623
3.0,3.3369915,1.0,2020.0,4.0,1.0,22.0,3.3369915,-15.0342655,1.5629584,16.8083
3.0,7.236849,1.0,2020.0,4.0,1.0,23.0,10.57384,-14.874503,1.5629584,20.548391
4.0,7.236849,1.0,2020.0,4.0,2.0,0.0,7.236849,-14.899385,1.5629584,20.573275
4.0,7.236849,1.0,2020.0,4.0,2.0,1.0,14.473698,-15.336111,1.5629584,21.010002
4.0,7.236849,1.0,2020.0,4.0,2.0,2.0,21.710546,-15.962334,1.5629584,21.636225
4.0,5.226613,1.0,2020.0,4.0,2.0,3.0,26.93716,-16.499758,1.5629584,20.163414
4.0,0.0,1.0,2020.0,4.0,2.0,4.0,26.93716,-17.057634,1.5629584,15.494675
4.0,0.0,1.0,2020.0,4.0,2.0,5.0,26.93716,-17.49653,1.5629584,15.93357
4.0,0.0,1.0,2020.0,4.0,2.0,6.0,26.93716,-17.555405,1.5629584,15.992444
4.0,0.0,1.0,2020.0,4.0,2.0,6.9999995,26.93716,-14.37748,1.5629584,12.814521
4.0,0.0,1.0,2020.0,4.0,2.0,8.0,26.93716,18.26471,1.5629584,-19.827667
4.0,0.0,1.0,2020.0,4.0,2.0,9.0,26.93716,58.02013,1.5629584,-59.583084
4.0,0.0,1.0,2020.0,4.0,2.0,10.0,26.93716,52.135994,1.4934376,-53.62943
4.0,0.0,1.0,2020.0,4.0,2.0,11.0,26.93716,32.98756,1.2731494,-34.26071
4.0,0.0,1.0,2020.0,4.0,2.0,12.0,26.93716,13.429669,0.97161394,-14.401285
4.0,0.0,1.0,2020.0,4.0,2.0,13.0,26.93716,12.833708,0.6700786,-13.503789
4.0,0.0,1.0,2020.0,4.0,2.0,13.999999,26.93716,18.331913,0.36854324,-18.700457
4.0,0.0,1.0,2020.0,4.0,2.0,15.000001,26.93716,11.571308,0.10888777,-11.680194
4.0,0.0,1.0,2020.0,4.0,2.0,16.0,26.93716,3.1636565,0.0,-3.1636558
4.0,0.0,1.0,2020.0,4.0,2.0,17.0,26.93716,-5.0792284,0.0,5.0792313
4.0,0.0,1.0,2020.0,4.0,2.0,18.0,26.93716,-11.388051,0.0,11.388054
4.0,0.0,1.0,2020.0,4.0,2.0,19.0,26.93716,-14.460137,0.0,14.4601345
4.0,0.0,1.0,2020.0,4.0,2.0,20.0,26.93716,-15.465245,0.0,15.465246
4.0,0.0,1.0,2020.0,4.0,2.0,21.0,26.93716,-15.252581,0.16361064,15.088968
4.0,0.0,1.0,2020.0,4.0,2.0,22.0,26.93716,-15.0342655,0.5883117,14.445951
4.0,0.0,1.0,2020.0,4.0,2.0,23.0,26.93716,-14.874503,0.9828736,13.891632
5.0,0.0,1.0,2020.0,4.0,3.0,0.0,0.0,-14.899385,1.2045476,13.6948395
5.0,0.0,1.0,2020.0,4.0,3.0,1.0,0.0,-15.336111,1.29275,14.043363
5.0,0.0,1.0,2020.0,4.0,3.0,2.0,0.0,-15.962334,1.29275,14.669584
5.0,0.0,1.0,2020.0,4.0,3.0,3.0,0.0,-16.499758,1.29275,15.207005
5.0,0.0,1.0,2020.0,4.0,3.0,4.0,0.0,-17.057634,1.29275,15.764882
5.0,0.0,1.0,2020.0,4.0,3.0,5.0,0.0,-17.49653,1.29275,16.203783
5.0,0.0,1.0,2020.0,4.0,3.0,6.0,0.0,-17.555405,1.29275,16.262657
5.0,0.0,1.0,2020.0,4.0,3.0,6.9999995,0.0,-14.37748,1.29275,13.084727
5.0,0.0,1.0,2020.0,4.0,3.0,8.0,0.0,18.26471,1.29275,-19.557459
5.0,7.85331,1.0,2020.0,4.0,3.0,9.0,7.85331,58.02013,1.29275,-51.459564
5.0,12.532341,1.0,2020.0,4.0,3.0,10.0,20.38565,52.135994,1.29275,-40.896404
5.0,6.406632,1.0,2020.0,4.0,3.0,11.0,26.792282,32.98756,1.3433712,-27.924297
5.0,4.233716,1.0,2020.0,4.0,3.0,12.0,31.026,13.429669,1.4610401,-10.656994
5.0,0.0,1.0,2020.0,4.0,3.0,13.0,31.026,12.833708,1.5951359,-14.428846
5.0,0.0,1.0,2020.0,4.0,3.0,13.999999,31.026,18.331913,1.7292316,-20.061146
5.0,0.0,1.0,2020.0,4.0,3.0,15.000001,31.026,11.571308,1.8596396,-13.430949
5.0,0.0,1.0,2020.0,4.0,3.0,16.0,31.026,3.1636565,1.923,-5.0866556
5.0,0.0,1.0,2020.0,4.0,3.0,17.0,31.026,-5.0792284,1.923,3.1562319
5.0,0.0,1.0,2020.0,4.0,3.0,18.0,31.026,-11.388051,1.923,9.465047
5.0,0.0,1.0,2020.0,4.0,3.0,19.0,31.026,-14.460137,1.923,12.537135
5.0,0.0,1.0,2020.0,4.0,3.0,20.0,31.026,-15.465245,1.923,13.542246
5.0,0.0,1.0,2020.0,4.0,3.0,21.0,31.026,-15.252581,1.7593894,13.493188
5.0,0.0,1.0,2020.0,4.0,3.0,22.0,31.026,-15.0342655,1.3346882,13.699579
5.0,2.4298148,1.0,2020.0,4.0,3.0,23.0,33.455814,-14.874503,0.9401263,16.36419
6.0,3.2182977,0.0,2020.0,4.0,4.0,0.0,3.2182977,-14.899385,0.71845245,17.39923
6.0,3.2182977,0.0,2020.0,4.0,4.0,1.0,6.4365954,-15.336111,0.63025,17.924156
6.0,3.2182977,0.0,2020.0,4.0,4.0,2.0,9.654893,-15.962334,0.63025,18.550386
6.0,3.0412915,0.0,2020.0,4.0,4.0,3.0,12.696184,-16.499758,0.63025,18.910799
6.0,0.0,0.0,2020.0,4.0,4.0,4.0,12.696184,-17.057634,0.63025,16.427387
6.0,0.0,0.0,2020.0,4.0,4.0,5.0,12.696184,-17.49653,0.63025,16.866282
6.0,0.0,0.0,2020.0,4.0,4.0,6.0,12.696184,-17.555405,0.63025,16.925154
6.0,0.0,0.0,2020.0,4.0,4.0,6.9999995,12.696184,-14.37748,0.63025,13.7472315
6.0,0.0,0.0,2020.0,4.0,4.0,8.0,12.696184,18.26471,0.63025,-18.894958
6.0,0.0,0.0,2020.0,4.0,4.0,9.0,12.696184,58.02013,0.63025,-58.65038
6.0,0.0,0.0,2020.0,4.0,4.0,10.0,12.696184,52.135994,0.63025,-52.76624
6.0,0.0,0.0,2020.0,4.0,4.0,11.0,12.696184,32.98756,0.6397992,-33.62736
6.0,0.0,0.0,2020.0,4.0,4.0,12.0,12.696184,13.429669,0.6456747,-14.075346
6.0,0.0,0.0,2020.0,4.0,4.0,13.0,12.696184,12.833708,0.6383274,-13.472034
6.0,0.0,0.0,2020.0,4.0,4.0,13.999999,12.696184,18.331913,0.63098013,-18.962894
6.0,0.0,0.0,2020.0,4.0,4.0,15.000001,12.696184,11.571308,0.6273205,-12.198626
