Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2019.0,9.0,1.0,0.0,0.0
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,1.0,24.88446144480787
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,2.0,49.76892288961574
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,3.0,74.6533843344236
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,4.0,99.53784577923147
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,5.0,124.42230722403934
7.0,0.0,0.0,2019.0,9.0,1.0,6.0,124.42230722403934
7.0,0.0,0.0,2019.0,9.0,1.0,7.0,124.42230722403934
7.0,0.0,0.0,2019.0,9.0,1.0,8.0,124.42230722403934
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,9.0,149.3067686688472
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,10.0,174.19123011365508
7.0,8.94794694772832,0.0,2019.0,9.0,1.0,11.0,183.1391770613834
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,12.0,208.02363850619128
7.0,4.871684522879885,0.0,2019.0,9.0,1.0,13.0,212.89532302907116
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,14.0,237.77978447387903
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,15.0,262.6642459186869
7.0,4.582440953412787,0.0,2019.0,9.0,1.0,16.0,267.2466868720997
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,17.0,292.13114831690757
7.0,5.144255953259364,0.0,2019.0,9.0,1.0,18.0,297.2754042701669
7.0,6.1707665520714245,0.0,2019.0,9.0,1.0,19.0,303.44617082223834
7.0,6.0850087565674364,0.0,2019.0,9.0,1.0,20.0,309.5311795788058
7.0,5.419038353765299,0.0,2019.0,9.0,1.0,21.0,314.9502179325711
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,22.0,339.83467937737896
7.0,24.88446144480787,0.0,2019.0,9.0,1.0,23.0,364.71914082218683
1.0,0.8154644943820231,1.0,2019.0,9.0,2.0,0.0,0.8154644943820231
1.0,0.0,1.0,2019.0,9.0,2.0,1.0,0.8154644943820231
1.0,0.0,1.0,2019.0,9.0,2.0,2.0,0.8154644943820231
1.0,0.0,1.0,2019.0,9.0,2.0,3.0,0.8154644943820231
1.0,0.0,1.0,2019.0,9.0,2.0,4.0,0.8154644943820231
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,5.0,25.699925939189892
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,6.0,50.584387383997765
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,7.0,75.46884882880563
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,8.0,100.3533102736135
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,9.0,125.23777171842137
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,10.0,150.12223316322923
1.0,5.571066079295172,1.0,2019.0,9.0,2.0,11.0,155.6932992425244
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,12.0,180.57776068733227
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,13.0,205.46222213214014
1.0,26.060301251838872,1.0,2019.0,9.0,2.0,14.0,231.522523383979
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,15.0,256.4069848287869
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,16.0,281.2914462735948
1.0,6.080787692307677,1.0,2019.0,9.0,2.0,17.0,287.3722339659024
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,18.0,312.2566954107103
1.0,0.947589415384647,1.0,2019.0,9.0,2.0,19.0,313.2042848260949
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,20.0,338.0887462709028
1.0,24.88446144480787,1.0,2019.0,9.0,2.0,21.0,362.9732077157107
1.0,0.0,1.0,2019.0,9.0,2.0,22.0,362.9732077157107
1.0,0.0,1.0,2019.0,9.0,2.0,23.0,362.9732077157107
2.0,0.0,1.0,2019.0,9.0,3.0,0.0,0.0
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,1.0,24.88446144480787
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,2.0,49.76892288961574
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,3.0,74.6533843344236
2.0,0.0,1.0,2019.0,9.0,3.0,4.0,74.6533843344236
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,5.0,99.53784577923147
2.0,38.16054998957748,1.0,2019.0,9.0,3.0,6.0,137.69839576880895
2.0,100.64455010264956,1.0,2019.0,9.0,3.0,7.0,238.3429458714585
2.0,115.99161655992044,1.0,2019.0,9.0,3.0,8.0,354.33456243137897
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,9.0,379.21902387618684
2.0,108.1423093010585,1.0,2019.0,9.0,3.0,10.0,487.36133317724534
2.0,85.46861525536866,1.0,2019.0,9.0,3.0,11.0,572.829948432614
2.0,67.45722266332565,1.0,2019.0,9.0,3.0,12.0,640.2871710959396
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,13.0,665.1716325407475
2.0,64.57052490165022,1.0,2019.0,9.0,3.0,14.0,729.7421574423977
2.0,64.14818035154786,1.0,2019.0,9.0,3.0,15.0,793.8903377939456
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,16.0,818.7747992387534
2.0,61.56021643058818,1.0,2019.0,9.0,3.0,17.0,880.3350156693416
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,18.0,905.2194771141495
2.0,29.137592984268267,1.0,2019.0,9.0,3.0,19.0,934.3570700984178
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,20.0,959.2415315432256
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,21.0,984.1259929880335
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,22.0,1009.0104544328414
2.0,24.88446144480787,1.0,2019.0,9.0,3.0,23.0,1033.8949158776493
3.0,24.88446144480787,1.0,2019.0,9.0,4.0,0.0,24.88446144480787
