Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum,Seasonal,Trend,Residual
3.0,12.047058,1.0,2020.0,4.0,1.0,6.9999995,12.047058,15.929529,2.8080416,-6.6905103
3.0,4.2459803,1.0,2020.0,4.0,1.0,8.0,16.293037,30.778734,2.8080416,-29.340797
3.0,5.6001973,1.0,2020.0,4.0,1.0,9.0,21.893236,38.36496,2.8080416,-35.572803
3.0,8.182983,1.0,2020.0,4.0,1.0,10.0,30.07622,34.681477,2.8080416,-29.306532
3.0,4.648984,1.0,2020.0,4.0,1.0,11.0,34.725204,22.758596,2.8080416,-20.917656
3.0,4.648984,1.0,2020.0,4.0,1.0,12.0,39.374187,13.681868,2.8080416,-11.840926
3.0,4.648984,1.0,2020.0,4.0,1.0,13.0,44.02317,10.312747,2.8080416,-8.471804
3.0,1.7402718,1.0,2020.0,4.0,1.0,13.999999,45.763443,7.4761105,2.8080416,-8.543882
3.0,5.5146646,1.0,2020.0,4.0,1.0,15.000001,51.278107,5.6041136,2.8080416,-2.897492
3.0,5.5146646,1.0,2020.0,4.0,1.0,16.0,56.79277,4.267002,2.8080416,-1.5603803
3.0,5.375266,1.0,2020.0,4.0,1.0,17.0,62.168037,-1.212314,2.8080416,3.779541
3.0,0.0,1.0,2020.0,4.0,1.0,18.0,62.168037,-6.539573,2.816401,3.7231712
3.0,0.0,1.0,2020.0,4.0,1.0,19.0,62.168037,-8.0448,2.756038,5.288761
3.0,0.0,1.0,2020.0,4.0,1.0,20.0,62.168037,-9.660839,2.84856,6.812278
3.0,0.0,1.0,2020.0,4.0,1.0,21.0,62.168037,-12.224803,3.1461759,9.078629
3.0,0.0,1.0,2020.0,4.0,1.0,22.0,62.168037,-15.221177,3.2461708,11.975008
3.0,0.0,1.0,2020.0,4.0,1.0,23.0,62.168037,-16.740791,3.2438207,13.496974
4.0,0.0,1.0,2020.0,4.0,2.0,0.0,0.0,-17.663734,3.2249825,14.438748
4.0,0.0,1.0,2020.0,4.0,2.0,1.0,0.0,-18.247448,3.075265,15.172184
4.0,0.0,1.0,2020.0,4.0,2.0,2.0,0.0,-18.628847,2.9421556,15.68669
4.0,0.0,1.0,2020.0,4.0,2.0,3.0,0.0,-18.863356,2.7910109,16.072346
4.0,0.0,1.0,2020.0,4.0,2.0,4.0,0.0,-18.660814,2.5612333,16.099585
4.0,0.0,1.0,2020.0,4.0,2.0,5.0,0.0,-16.679897,2.3343596,14.345537
4.0,5.626217,1.0,2020.0,4.0,2.0,6.0,5.626217,-5.4667387,2.222375,8.870583
4.0,8.74836,1.0,2020.0,4.0,2.0,6.9999995,14.374577,15.929529,2.222375,-9.403544
4.0,11.98575,1.0,2020.0,4.0,2.0,8.0,26.360327,30.778734,2.222375,-21.01536
4.0,12.145983,1.0,2020.0,4.0,2.0,9.0,38.50631,38.36496,2.222375,-28.44135
4.0,6.436953,1.0,2020.0,4.0,2.0,10.0,44.943264,34.681477,2.222375,-30.466896
4.0,6.2822146,1.0,2020.0,4.0,2.0,11.0,51.22548,22.758596,2.222375,-18.698757
4.0,2.1115222,1.0,2020.0,4.0,2.0,12.0,53.336998,13.681868,2.222375,-13.792721
4.0,0.0,1.0,2020.0,4.0,2.0,13.0,53.336998,10.312747,2.222375,-12.53512
4.0,0.0,1.0,2020.0,4.0,2.0,13.999999,53.336998,7.4761105,2.222375,-9.698486
4.0,0.0,1.0,2020.0,4.0,2.0,15.000001,53.336998,5.6041136,2.222375,-7.8264904
4.0,0.0,1.0,2020.0,4.0,2.0,16.0,53.336998,4.267002,2.222375,-6.489379
4.0,0.0,1.0,2020.0,4.0,2.0,17.0,53.336998,-1.212314,2.224627,-1.0123137
4.0,0.0,1.0,2020.0,4.0,2.0,18.0,53.336998,-6.539573,2.2646112,4.2749615
4.0,0.0,1.0,2020.0,4.0,2.0,19.0,53.336998,-8.0448,2.3053815,5.73942
4.0,0.0,1.0,2020.0,4.0,2.0,20.0,53.336998,-9.660839,2.1526756,7.5081654
4.0,0.0,1.0,2020.0,4.0,2.0,21.0,53.336998,-12.224803,1.7523764,10.472427
4.0,0.0,1.0,2020.0,4.0,2.0,22.0,53.336998,-15.221177,1.3737172,13.847459
4.0,0.0,1.0,2020.0,4.0,2.0,23.0,53.336998,-16.740791,1.2294395,15.511354
5.0,0.0,1.0,2020.0,4.0,3.0,0.0,0.0,-17.663734,1.4331578,16.230577
5.0,0.0,1.0,2020.0,4.0,3.0,1.0,0.0,-18.247448,1.8311332,16.416319
5.0,0.0,1.0,2020.0,4.0,3.0,2.0,0.0,-18.628847,2.0923789,16.536469
5.0,0.0,1.0,2020.0,4.0,3.0,3.0,0.0,-18.863356,2.1695416,16.693815
5.0,0.0,1.0,2020.0,4.0,3.0,4.0,0.0,-18.660814,2.1695416,16.491276
5.0,0.10808719,1.0,2020.0,4.0,3.0,5.0,0.10808719,-16.679897,2.1695416,14.618443
5.0,7.437389,1.0,2020.0,4.0,3.0,6.0,7.545476,-5.4667387,2.1695416,10.734586
5.0,8.8941555,1.0,2020.0,4.0,3.0,6.9999995,16.439632,15.929529,2.1695416,-9.204916
5.0,4.510073,1.0,2020.0,4.0,3.0,8.0,20.949705,30.778734,2.1695416,-28.438204
5.0,0.407295,1.0,2020.0,4.0,3.0,9.0,21.357,38.36496,2.1695416,-40.127205
5.0,0.0,1.0,2020.0,4.0,3.0,10.0,21.357,34.681477,2.1695416,-36.851017
5.0,5.793837,1.0,2020.0,4.0,3.0,11.0,27.150837,22.758596,2.1695416,-19.1343
5.0,12.378376,1.0,2020.0,4.0,3.0,12.0,39.529213,13.681868,2.1695416,-3.4730341
5.0,8.835971,1.0,2020.0,4.0,3.0,13.0,48.365185,10.312747,2.1695416,-3.6463192
5.0,3.703817,1.0,2020.0,4.0,3.0,13.999999,52.069,7.4761105,2.1695416,-5.9418364
5.0,0.0,1.0,2020.0,4.0,3.0,15.000001,52.069,5.6041136,2.1695416,-7.773656
5.0,0.0,1.0,2020.0,4.0,3.0,16.0,52.069,4.267002,2.1695416,-6.4365444
5.0,0.0,1.0,2020.0,4.0,3.0,17.0,52.069,-1.212314,2.16729,-0.95497406
5.0,0.0,1.0,2020.0,4.0,3.0,18.0,52.069,-6.539573,2.0100925,4.5294814
5.0,0.0,1.0,2020.0,4.0,3.0,19.0,52.069,-8.0448,1.6698519,6.374945
5.0,0.0,1.0,2020.0,4.0,3.0,20.0,52.069,-9.660839,1.3905972,8.270241
5.0,0.0,1.0,2020.0,4.0,3.0,21.0,52.069,-12.224803,1.288152,10.936651
5.0,0.0,1.0,2020.0,4.0,3.0,22.0,52.069,-15.221177,1.2796667,13.941514
5.0,0.0,1.0,2020.0,4.0,3.0,23.0,52.069,-16.740791,1.1589617,15.581829
