Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum,Seasonal,Trend,Residual
3.0,0.0,1.0,2020.0,4.0,1.0,6.9999995,0.0,-4.887269,1.0084869,3.8787823
3.0,0.0,1.0,2020.0,4.0,1.0,8.0,0.0,-5.0556264,1.0653789,3.990247
3.0,0.0,1.0,2020.0,4.0,1.0,9.0,0.0,-5.160708,1.3862703,3.7744374
3.0,0.0,1.0,2020.0,4.0,1.0,10.0,0.0,-5.2108197,1.6457082,3.5651124
3.0,0.0,1.0,2020.0,4.0,1.0,11.0,0.0,-5.0096183,1.7138333,3.2957854
3.0,0.0,1.0,2020.0,4.0,1.0,12.0,0.0,-3.7117536,1.7138333,1.9979197
3.0,0.0,1.0,2020.0,4.0,1.0,13.0,0.0,-2.0044007,1.7138333,0.29056728
3.0,3.730658,1.0,2020.0,4.0,1.0,13.999999,3.730658,-0.11932578,1.7138333,2.1361504
3.0,5.3295116,1.0,2020.0,4.0,1.0,15.000001,9.060169,2.826555,1.7138333,0.7891231
3.0,5.3295116,1.0,2020.0,4.0,1.0,16.0,14.389681,4.473089,1.7138333,-0.8574107
3.0,1.8283185,1.0,2020.0,4.0,1.0,17.0,16.218,4.7026706,1.7138333,-4.588186
3.0,0.0,1.0,2020.0,4.0,1.0,18.0,16.218,5.12714,1.7138333,-6.8409734
3.0,1.3082032,1.0,2020.0,4.0,1.0,19.0,17.526203,5.2550483,1.7138333,-5.660679
3.0,7.558592,1.0,2020.0,4.0,1.0,20.0,25.084795,4.301622,1.7138333,1.543137
3.0,12.777195,1.0,2020.0,4.0,1.0,21.0,37.86199,3.4812276,1.7138333,7.582134
3.0,3.27001,1.0,2020.0,4.0,1.0,22.0,41.132,2.72231,1.7138333,-1.1661338
3.0,0.0,1.0,2020.0,4.0,1.0,23.0,41.132,3.1239865,1.7138333,-4.83782
4.0,0.0,1.0,2020.0,4.0,2.0,0.0,0.0,3.9260197,1.7138333,-5.6398535
4.0,0.0,1.0,2020.0,4.0,2.0,1.0,0.0,3.9250274,1.7138333,-5.6388607
4.0,0.0,1.0,2020.0,4.0,2.0,2.0,0.0,1.50495,1.6361113,-3.1410613
4.0,0.0,1.0,2020.0,4.0,2.0,3.0,0.0,-1.5689868,1.4473578,0.12162844
4.0,0.0,1.0,2020.0,4.0,2.0,4.0,0.0,-3.5646758,1.2252948,2.339381
4.0,0.0,1.0,2020.0,4.0,2.0,5.0,0.0,-4.3825507,1.0761732,3.3063774
4.0,0.0,1.0,2020.0,4.0,2.0,6.0,0.0,-4.693912,1.0380832,3.6558287
4.0,0.0,1.0,2020.0,4.0,2.0,6.9999995,0.0,-4.887269,1.010829,3.8764398
4.0,0.0,1.0,2020.0,4.0,2.0,8.0,0.0,-5.0556264,0.82610416,4.229522
4.0,0.0,1.0,2020.0,4.0,2.0,9.0,0.0,-5.160708,0.40244195,4.758265
4.0,0.0,1.0,2020.0,4.0,2.0,10.0,0.0,-5.2108197,0.06812521,5.1426945
4.0,0.0,1.0,2020.0,4.0,2.0,11.0,0.0,-5.0096183,-7.3988575e-09,5.0096173
4.0,0.0,1.0,2020.0,4.0,2.0,12.0,0.0,-3.7117536,-7.3988575e-09,3.7117531
4.0,0.0,1.0,2020.0,4.0,2.0,13.0,0.0,-2.0044007,-7.3988575e-09,2.004401
4.0,0.0,1.0,2020.0,4.0,2.0,13.999999,0.0,-0.11932578,-7.3988575e-09,0.119325325
4.0,0.0,1.0,2020.0,4.0,2.0,15.000001,0.0,2.826555,-7.3988575e-09,-2.8265545
4.0,0.0,1.0,2020.0,4.0,2.0,16.0,0.0,4.473089,-7.3988575e-09,-4.473089
4.0,0.0,1.0,2020.0,4.0,2.0,17.0,0.0,4.7026706,-7.3988575e-09,-4.7026706
4.0,0.0,1.0,2020.0,4.0,2.0,18.0,0.0,5.12714,-7.3988575e-09,-5.1271396
4.0,0.0,1.0,2020.0,4.0,2.0,19.0,0.0,5.2550483,-7.3988575e-09,-5.2550488
4.0,0.0,1.0,2020.0,4.0,2.0,20.0,0.0,4.301622,-7.3988575e-09,-4.3016224
4.0,0.0,1.0,2020.0,4.0,2.0,21.0,0.0,3.4812276,-7.3988575e-09,-3.4812274
4.0,0.0,1.0,2020.0,4.0,2.0,22.0,0.0,2.72231,-7.3988575e-09,-2.7223096
4.0,0.0,1.0,2020.0,4.0,2.0,23.0,0.0,3.1239865,-7.3988575e-09,-3.1239862
5.0,0.0,1.0,2020.0,4.0,3.0,0.0,0.0,3.9260197,-7.3988575e-09,-3.9260204
5.0,0.0,1.0,2020.0,4.0,3.0,1.0,0.0,3.9250274,-7.3988575e-09,-3.9250276
5.0,0.0,1.0,2020.0,4.0,3.0,2.0,0.0,1.50495,0.046998117,-1.5519481
5.0,0.0,1.0,2020.0,4.0,3.0,3.0,0.0,-1.5689868,0.17020942,1.3987772
5.0,0.0,1.0,2020.0,4.0,3.0,4.0,0.0,-3.5646758,0.32263574,3.24204
