Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
2.0,2.1728733,1.0,2019.0,12.0,31.0,13.999999,2.1728733
2.0,0.0,1.0,2019.0,12.0,31.0,15.000001,2.1728733
2.0,0.0,1.0,2019.0,12.0,31.0,16.0,2.1728733
2.0,0.0,1.0,2019.0,12.0,31.0,17.0,2.1728733
2.0,2.6693044,1.0,2019.0,12.0,31.0,18.0,4.8421774
2.0,3.3494234,1.0,2019.0,12.0,31.0,19.0,8.191601
2.0,3.3494234,1.0,2019.0,12.0,31.0,20.0,11.541024
2.0,3.3494234,1.0,2019.0,12.0,31.0,21.0,14.890448
2.0,3.0954254,1.0,2019.0,12.0,31.0,22.0,17.985874
2.0,0.0,1.0,2019.0,12.0,31.0,23.0,17.985874
3.0,0.0,1.0,2020.0,1.0,1.0,0.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,1.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,2.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,3.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,4.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,5.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,6.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,6.9999995,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,8.0,0.0
3.0,0.0,1.0,2020.0,1.0,1.0,9.0,0.0
3.0,1.590246,1.0,2020.0,1.0,1.0,10.0,1.590246
3.0,2.4183805,1.0,2020.0,1.0,1.0,11.0,4.0086265
3.0,6.6559463,1.0,2020.0,1.0,1.0,12.0,10.664573
3.0,6.6559463,1.0,2020.0,1.0,1.0,13.0,17.320518
3.0,4.875481,1.0,2020.0,1.0,1.0,13.999999,22.196
3.0,0.0,1.0,2020.0,1.0,1.0,15.000001,22.196
3.0,0.0,1.0,2020.0,1.0,1.0,16.0,22.196
3.0,3.3197286,1.0,2020.0,1.0,1.0,17.0,25.515728
3.0,4.19187,1.0,2020.0,1.0,1.0,18.0,29.7076
3.0,0.8244012,1.0,2020.0,1.0,1.0,19.0,30.532
3.0,4.2952604,1.0,2020.0,1.0,1.0,20.0,34.82726
3.0,6.1507306,1.0,2020.0,1.0,1.0,21.0,40.97799
3.0,4.285009,1.0,2020.0,1.0,1.0,22.0,45.263
3.0,0.0,1.0,2020.0,1.0,1.0,23.0,45.263
4.0,0.0,1.0,2020.0,1.0,2.0,0.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,1.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,2.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,3.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,4.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,5.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,6.0,0.0
4.0,0.0,1.0,2020.0,1.0,2.0,6.9999995,0.0
4.0,2.938,1.0,2020.0,1.0,2.0,8.0,2.938
4.0,4.1134033,1.0,2020.0,1.0,2.0,9.0,7.051403
4.0,20.828,1.0,2020.0,1.0,2.0,10.0,27.879402
4.0,23.344915,1.0,2020.0,1.0,2.0,11.0,51.22432
4.0,9.743032,1.0,2020.0,1.0,2.0,12.0,60.96735
4.0,1.9426495,1.0,2020.0,1.0,2.0,13.0,62.91
4.0,5.841206,1.0,2020.0,1.0,2.0,13.999999,68.751205
4.0,7.2435126,1.0,2020.0,1.0,2.0,15.000001,75.99472
4.0,7.2532806,1.0,2020.0,1.0,2.0,16.0,83.248
4.0,0.0,1.0,2020.0,1.0,2.0,17.0,83.248
4.0,1.150186,1.0,2020.0,1.0,2.0,18.0,84.398186
4.0,6.9357944,1.0,2020.0,1.0,2.0,19.0,91.33398
4.0,0.68201977,1.0,2020.0,1.0,2.0,20.0,92.016
4.0,0.0,1.0,2020.0,1.0,2.0,21.0,92.016
4.0,0.0,1.0,2020.0,1.0,2.0,22.0,92.016
4.0,0.0,1.0,2020.0,1.0,2.0,23.0,92.016
5.0,0.0,1.0,2020.0,1.0,3.0,0.0,0.0
5.0,0.0,1.0,2020.0,1.0,3.0,1.0,0.0
5.0,0.0,1.0,2020.0,1.0,3.0,2.0,0.0
5.0,0.0,1.0,2020.0,1.0,3.0,3.0,0.0
5.0,0.0,1.0,2020.0,1.0,3.0,4.0,0.0
5.0,0.0,1.0,2020.0,1.0,3.0,5.0,0.0
5.0,0.0,1.0,2020.0,1.0,3.0,6.0,0.0
5.0,0.0,1.0,2020.0,1.0,3.0,6.9999995,0.0
5.0,4.296163,1.0,2020.0,1.0,3.0,8.0,4.296163
5.0,10.748332,1.0,2020.0,1.0,3.0,9.0,15.044495
5.0,17.638361,1.0,2020.0,1.0,3.0,10.0,32.682858
5.0,13.927252,1.0,2020.0,1.0,3.0,11.0,46.610107
5.0,3.0186462,1.0,2020.0,1.0,3.0,12.0,49.628754
5.0,2.3182797,1.0,2020.0,1.0,3.0,13.0,51.947037
5.0,2.1393802,1.0,2020.0,1.0,3.0,13.999999,54.086414
5.0,0.3125872,1.0,2020.0,1.0,3.0,15.000001,54.399002
5.0,0.0027779844,1.0,2020.0,1.0,3.0,16.0,54.40178
5.0,3.3335814,1.0,2020.0,1.0,3.0,17.0,57.735363
5.0,3.9810295,1.0,2020.0,1.0,3.0,18.0,61.716393
5.0,5.6012354,1.0,2020.0,1.0,3.0,19.0,67.31763
5.0,3.4742358,1.0,2020.0,1.0,3.0,20.0,70.79186
5.0,1.9851398,1.0,2020.0,1.0,3.0,21.0,72.777
5.0,0.0,1.0,2020.0,1.0,3.0,22.0,72.777
5.0,0.0,1.0,2020.0,1.0,3.0,23.0,72.777
6.0,0.0,0.0,2020.0,1.0,4.0,0.0,0.0
6.0,0.0,0.0,2020.0,1.0,4.0,1.0,0.0
6.0,0.0,0.0,2020.0,1.0,4.0,2.0,0.0
6.0,0.0,0.0,2020.0,1.0,4.0,3.0,0.0
6.0,0.0,0.0,2020.0,1.0,4.0,4.0,0.0
6.0,0.0,0.0,2020.0,1.0,4.0,5.0,0.0
6.0,0.0,0.0,2020.0,1.0,4.0,6.0,0.0
6.0,0.0,0.0,2020.0,1.0,4.0,6.9999995,0.0
6.0,3.4076407,0.0,2020.0,1.0,4.0,8.0,3.4076407
6.0,7.4176965,0.0,2020.0,1.0,4.0,9.0,10.825337
6.0,2.3556626,0.0,2020.0,1.0,4.0,10.0,13.181
6.0,0.6249843,0.0,2020.0,1.0,4.0,11.0,13.805984
6.0,2.4066303,0.0,2020.0,1.0,4.0,12.0,16.212614
6.0,0.35238534,0.0,2020.0,1.0,4.0,13.0,16.564999
6.0,0.0,0.0,2020.0,1.0,4.0,13.999999,16.564999
6.0,0.55395854,0.0,2020.0,1.0,4.0,15.000001,17.118958
6.0,2.3360174,0.0,2020.0,1.0,4.0,16.0,19.454975
6.0,0.34241936,0.0,2020.0,1.0,4.0,17.0,19.797394
