Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2019.0,9.0,1.0,3.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,4.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,5.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,6.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,6.9999995,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,8.0,0.0
7.0,0.0,0.0,2019.0,9.0,1.0,9.0,0.0
7.0,0.20114931,0.0,2019.0,9.0,1.0,10.0,0.20114931
7.0,1.9832199,0.0,2019.0,9.0,1.0,11.0,2.184369
7.0,1.9960285,0.0,2019.0,9.0,1.0,12.0,4.180398
7.0,4.8716846,0.0,2019.0,9.0,1.0,13.0,9.052082
7.0,4.791574,0.0,2019.0,9.0,1.0,13.999999,13.843657
7.0,1.8780959,0.0,2019.0,9.0,1.0,15.000001,15.721752
7.0,4.582441,0.0,2019.0,9.0,1.0,16.0,20.304192
7.0,1.6011654,0.0,2019.0,9.0,1.0,17.0,21.905357
7.0,5.144256,0.0,2019.0,9.0,1.0,18.0,27.049614
7.0,6.1707664,0.0,2019.0,9.0,1.0,19.0,33.22038
7.0,6.0850086,0.0,2019.0,9.0,1.0,20.0,39.30539
7.0,5.419039,0.0,2019.0,9.0,1.0,21.0,44.724426
7.0,0.0,0.0,2019.0,9.0,1.0,22.0,44.724426
7.0,0.0,0.0,2019.0,9.0,1.0,23.0,44.724426
1.0,0.8154645,1.0,2019.0,9.0,2.0,0.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,1.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,2.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,3.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,4.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,5.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,6.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,6.9999995,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,8.0,0.8154645
1.0,0.0,1.0,2019.0,9.0,2.0,9.0,0.8154645
1.0,0.2263041,1.0,2019.0,9.0,2.0,10.0,1.0417686
1.0,0.0,1.0,2019.0,9.0,2.0,11.0,1.0417686
1.0,4.0716214,1.0,2019.0,9.0,2.0,12.0,5.11339
1.0,16.4772,1.0,2019.0,9.0,2.0,13.0,21.59059
1.0,26.0603,1.0,2019.0,9.0,2.0,13.999999,47.65089
1.0,18.321352,1.0,2019.0,9.0,2.0,15.000001,65.972244
1.0,12.594477,1.0,2019.0,9.0,2.0,16.0,78.56672
1.0,0.0,1.0,2019.0,9.0,2.0,17.0,78.56672
1.0,1.172499,1.0,2019.0,9.0,2.0,18.0,79.73922
1.0,0.0,1.0,2019.0,9.0,2.0,19.0,79.73922
1.0,0.0,1.0,2019.0,9.0,2.0,20.0,79.73922
1.0,0.0,1.0,2019.0,9.0,2.0,21.0,79.73922
1.0,0.0,1.0,2019.0,9.0,2.0,22.0,79.73922
1.0,0.0,1.0,2019.0,9.0,2.0,23.0,79.73922
2.0,0.0,1.0,2019.0,9.0,3.0,0.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,1.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,2.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,3.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,4.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,5.0,0.0
2.0,0.0,1.0,2019.0,9.0,3.0,6.0,0.0
2.0,1.2650609,1.0,2019.0,9.0,3.0,6.9999995,1.2650609
2.0,8.080056,1.0,2019.0,9.0,3.0,8.0,9.345118
