Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum,Seasonal,Trend,Residual
7.0,0.0,0.0,2018.0,4.0,1.0,2.0,0.0,-7.818136,23.792881,-15.974747
7.0,0.0,0.0,2018.0,4.0,1.0,3.0,0.0,-14.029271,21.228819,-7.199549
7.0,0.0,0.0,2018.0,4.0,1.0,4.0,0.0,-11.807743,18.674843,-6.867096
7.0,0.0,0.0,2018.0,4.0,1.0,5.0,0.0,-13.875049,16.12997,-2.2549236
7.0,0.0,0.0,2018.0,4.0,1.0,6.0,0.0,-13.263607,13.472848,-0.20924258
7.0,0.0,0.0,2018.0,4.0,1.0,6.9999995,0.0,-9.740389,10.062249,-0.32186016
7.0,0.0,0.0,2018.0,4.0,1.0,8.0,0.0,-7.4639215,6.796262,0.6676596
7.0,0.0,0.0,2018.0,4.0,1.0,9.0,0.0,0.7894406,4.4202538,-5.2096963
7.0,0.0,0.0,2018.0,4.0,1.0,10.0,0.0,6.1449623,2.7258952,-8.870853
7.0,0.0,0.0,2018.0,4.0,1.0,11.0,0.0,9.657689,1.043643,-10.701329
7.0,0.0,0.0,2018.0,4.0,1.0,12.0,0.0,12.986362,0.0,-12.986364
7.0,0.0,0.0,2018.0,4.0,1.0,13.0,0.0,16.667786,0.0,-16.66779
7.0,0.0,0.0,2018.0,4.0,1.0,13.999999,0.0,15.095871,0.0,-15.095869
7.0,0.0,0.0,2018.0,4.0,1.0,15.000001,0.0,11.571145,0.0,-11.571145
7.0,0.0,0.0,2018.0,4.0,1.0,16.0,0.0,10.473211,0.0,-10.473209
7.0,0.0,0.0,2018.0,4.0,1.0,17.0,0.0,7.9625607,0.0,-7.962561
7.0,0.0,0.0,2018.0,4.0,1.0,18.0,0.0,2.3274846,0.0,-2.3274822
7.0,0.0,0.0,2018.0,4.0,1.0,19.0,0.0,2.2447681,0.0,-2.2447681
7.0,0.0,0.0,2018.0,4.0,1.0,20.0,0.0,2.5357745,0.0,-2.535772
7.0,0.0,0.0,2018.0,4.0,1.0,21.0,0.0,1.2522846,0.0,-1.2522826
7.0,0.0,0.0,2018.0,4.0,1.0,22.0,0.0,-2.0409722,0.0,2.040971
7.0,0.0,0.0,2018.0,4.0,1.0,23.0,0.0,-4.969045,0.0,4.9690423
1.0,0.0,1.0,2018.0,4.0,2.0,0.0,0.0,-9.364621,0.0,9.364618
1.0,0.0,1.0,2018.0,4.0,2.0,1.0,0.0,-5.3365855,0.0,5.336584
1.0,0.0,1.0,2018.0,4.0,2.0,2.0,0.0,-7.818136,0.0,7.8181353
1.0,0.0,1.0,2018.0,4.0,2.0,3.0,0.0,-14.029271,0.0,14.029276
1.0,0.0,1.0,2018.0,4.0,2.0,4.0,0.0,-11.807743,0.0,11.807737
1.0,0.0,1.0,2018.0,4.0,2.0,5.0,0.0,-13.875049,0.0,13.875046
1.0,0.0,1.0,2018.0,4.0,2.0,6.0,0.0,-13.263607,0.0,13.2636
1.0,0.0,1.0,2018.0,4.0,2.0,6.9999995,0.0,-9.740389,0.0,9.740385
