Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum,Seasonal,Trend,Residual
4.0,1.2184182,1.0,2020.0,1.0,2.0,23.0,1.2184182,-15.930512,36.16595,-19.01702
5.0,0.0,1.0,2020.0,1.0,3.0,0.0,0.0,-18.661436,36.40005,-17.738615
5.0,0.0,1.0,2020.0,1.0,3.0,1.0,0.0,-20.482388,36.587948,-16.105564
5.0,0.0,1.0,2020.0,1.0,3.0,2.0,0.0,-21.762703,36.720184,-14.957482
5.0,0.0,1.0,2020.0,1.0,3.0,3.0,0.0,-22.455564,36.195374,-13.73981
5.0,0.0,1.0,2020.0,1.0,3.0,4.0,0.0,-22.584536,35.695747,-13.11121
5.0,2.5737724,1.0,2020.0,1.0,3.0,5.0,2.5737724,-20.840866,35.691586,-12.27695
5.0,5.342228,1.0,2020.0,1.0,3.0,6.0,7.9160004,-14.712949,35.684635,-15.629457
5.0,2.0077753,1.0,2020.0,1.0,3.0,6.9999995,9.923776,-6.209353,35.587803,-27.370674
5.0,31.115728,1.0,2020.0,1.0,3.0,8.0,41.039505,4.4605846,35.80648,-9.151336
5.0,64.73806,1.0,2020.0,1.0,3.0,9.0,105.777565,14.404217,36.54891,13.784927
5.0,89.91524,1.0,2020.0,1.0,3.0,10.0,195.69281,19.946745,37.405632,32.562862
5.0,114.751465,1.0,2020.0,1.0,3.0,11.0,310.44427,21.434412,37.99745,55.31961
5.0,94.24314,1.0,2020.0,1.0,3.0,12.0,404.6874,22.281292,38.268818,33.69303
5.0,75.91327,1.0,2020.0,1.0,3.0,13.0,480.60068,19.13789,38.316376,18.459007
5.0,60.580887,1.0,2020.0,1.0,3.0,13.999999,541.1816,16.505611,38.316376,5.7589
5.0,50.06269,1.0,2020.0,1.0,3.0,15.000001,591.24426,14.135894,38.316376,-2.3895786
5.0,63.46134,1.0,2020.0,1.0,3.0,16.0,654.70557,11.570439,38.316376,13.574531
5.0,66.275116,1.0,2020.0,1.0,3.0,17.0,720.9807,9.635992,38.262753,18.376368
5.0,50.337883,1.0,2020.0,1.0,3.0,18.0,771.3186,11.721233,38.23986,0.37679058
5.0,46.887356,1.0,2020.0,1.0,3.0,19.0,818.20593,10.992491,38.441933,-2.5470731
5.0,35.051907,1.0,2020.0,1.0,3.0,20.0,853.2579,3.9579268,38.189274,-7.0952954
5.0,29.251282,1.0,2020.0,1.0,3.0,21.0,882.50916,-4.921962,36.882492,-2.7092478
5.0,22.839685,1.0,2020.0,1.0,3.0,22.0,905.3488,-11.622455,34.671585,-0.20944615
5.0,11.961499,1.0,2020.0,1.0,3.0,23.0,917.3103,-15.930512,31.835352,-3.9433384
6.0,2.2826724,0.0,2020.0,1.0,4.0,0.0,2.2826724,-18.661436,29.905024,-8.960917
6.0,0.0,0.0,2020.0,1.0,4.0,1.0,2.2826724,-20.482388,29.781185,-9.298795
6.0,0.0,0.0,2020.0,1.0,4.0,2.0,2.2826724,-21.762703,30.94859,-9.185887
6.0,0.0,0.0,2020.0,1.0,4.0,3.0,2.2826724,-22.455564,32.18756,-9.731997
6.0,0.0,0.0,2020.0,1.0,4.0,4.0,2.2826724,-22.584536,32.181442,-9.596904
6.0,0.0,0.0,2020.0,1.0,4.0,5.0,2.2826724,-20.840866,31.038166,-10.197298
6.0,6.8169427,0.0,2020.0,1.0,4.0,6.0,9.099615,-14.712949,30.050116,-8.520221
6.0,10.232798,0.0,2020.0,1.0,4.0,6.9999995,19.332413,-6.209353,29.881638,-13.439486
6.0,10.762963,0.0,2020.0,1.0,4.0,8.0,30.095375,4.4605846,29.670387,-23.368008
6.0,22.365337,0.0,2020.0,1.0,4.0,9.0,52.460712,14.404217,29.03308,-21.071957
6.0,26.16432,0.0,2020.0,1.0,4.0,10.0,78.62503,19.946745,28.302221,-22.084644
6.0,42.363148,0.0,2020.0,1.0,4.0,11.0,120.98818,21.434412,27.695852,-6.767115
6.0,73.975815,0.0,2020.0,1.0,4.0,12.0,194.96399,22.281292,27.3991,24.295431
6.0,90.236244,0.0,2020.0,1.0,4.0,13.0,285.20026,19.13789,27.351542,43.746807
