Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
3.0,0.0,1.0,2020.0,4.0,1.0,1.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,2.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,3.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,4.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,5.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,6.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,6.9999995,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,8.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,9.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,10.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,11.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,12.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,13.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,13.999999,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,15.000001,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,16.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,17.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,18.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,19.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,20.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,21.0,0.0
3.0,3.3369915,1.0,2020.0,4.0,1.0,22.0,3.3369915
3.0,7.236849,1.0,2020.0,4.0,1.0,23.0,10.57384
4.0,7.236849,1.0,2020.0,4.0,2.0,0.0,7.236849
4.0,7.236849,1.0,2020.0,4.0,2.0,1.0,14.473698
4.0,7.236849,1.0,2020.0,4.0,2.0,2.0,21.710546
4.0,5.226613,1.0,2020.0,4.0,2.0,3.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,4.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,5.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,6.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,6.9999995,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,8.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,9.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,10.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,11.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,12.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,13.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,13.999999,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,15.000001,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,16.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,17.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,18.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,19.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,20.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,21.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,22.0,26.93716
4.0,0.0,1.0,2020.0,4.0,2.0,23.0,26.93716
5.0,0.0,1.0,2020.0,4.0,3.0,0.0,0.0
5.0,0.0,1.0,2020.0,4.0,3.0,1.0,0.0
5.0,0.0,1.0,2020.0,4.0,3.0,2.0,0.0
5.0,0.0,1.0,2020.0,4.0,3.0,3.0,0.0
5.0,0.0,1.0,2020.0,4.0,3.0,4.0,0.0
5.0,0.0,1.0,2020.0,4.0,3.0,5.0,0.0
5.0,0.0,1.0,2020.0,4.0,3.0,6.0,0.0
5.0,0.0,1.0,2020.0,4.0,3.0,6.9999995,0.0
5.0,0.0,1.0,2020.0,4.0,3.0,8.0,0.0
5.0,7.85331,1.0,2020.0,4.0,3.0,9.0,7.85331
5.0,12.532341,1.0,2020.0,4.0,3.0,10.0,20.38565
5.0,6.406632,1.0,2020.0,4.0,3.0,11.0,26.792282
5.0,4.233716,1.0,2020.0,4.0,3.0,12.0,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,13.0,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,13.999999,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,15.000001,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,16.0,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,17.0,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,18.0,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,19.0,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,20.0,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,21.0,31.026
5.0,0.0,1.0,2020.0,4.0,3.0,22.0,31.026
5.0,2.4298148,1.0,2020.0,4.0,3.0,23.0,33.455814
6.0,3.2182977,0.0,2020.0,4.0,4.0,0.0,3.2182977
