Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
3.0,0.0,1.0,2020.0,4.0,1.0,0.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,1.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,2.0,0.0
3.0,0.0,1.0,2020.0,4.0,1.0,3.0,0.0
3.0,0.08947190692023574,1.0,2020.0,4.0,1.0,4.0,0.08947190692023574
3.0,0.0,1.0,2020.0,4.0,1.0,5.0,0.08947190692023574
3.0,0.8798415475630158,1.0,2020.0,4.0,1.0,6.0,0.9693134544832516
3.0,12.047058075629236,1.0,2020.0,4.0,1.0,7.0,13.016371530112487
3.0,9.974337300694176,1.0,2020.0,4.0,1.0,8.0,22.990708830806664
3.0,6.953198151851978,1.0,2020.0,4.0,1.0,9.0,29.943906982658643
3.0,8.182983984300822,1.0,2020.0,4.0,1.0,10.0,38.126890966959465
3.0,7.158182693156513,1.0,2020.0,4.0,1.0,11.0,45.28507366011598
3.0,8.369957419759158,1.0,2020.0,4.0,1.0,12.0,53.65503107987514
3.0,4.648983984300822,1.0,2020.0,4.0,1.0,13.0,58.30401506417596
3.0,9.270529078618456,1.0,2020.0,4.0,1.0,14.0,67.57454414279441
3.0,8.428894642704163,1.0,2020.0,4.0,1.0,15.0,76.00343878549857
3.0,5.514664386489943,1.0,2020.0,4.0,1.0,16.0,81.51810317198851
3.0,8.396779355642073,1.0,2020.0,4.0,1.0,17.0,89.9148825276306
3.0,8.263146229698508,1.0,2020.0,4.0,1.0,18.0,98.1780287573291
3.0,0.0,1.0,2020.0,4.0,1.0,19.0,98.1780287573291
3.0,4.94028251147756,1.0,2020.0,4.0,1.0,20.0,103.11831126880666
3.0,0.0,1.0,2020.0,4.0,1.0,21.0,103.11831126880666
3.0,2.8850405467546194,1.0,2020.0,4.0,1.0,22.0,106.00335181556127
3.0,1.8509842082979169,1.0,2020.0,4.0,1.0,23.0,107.85433602385919
4.0,0.0,1.0,2020.0,4.0,2.0,0.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,1.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,2.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,3.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,4.0,0.0
4.0,0.09581316262622123,1.0,2020.0,4.0,2.0,5.0,0.09581316262622123
4.0,1.3959443046510807,1.0,2020.0,4.0,2.0,6.0,1.491757467277302
4.0,7.750829109854488,1.0,2020.0,4.0,2.0,7.0,9.242586577131789
