Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
3.0,0.0,1.0,2020.0,4.0,1.0,0.0,0.0
3.0,0.2715652170515204,1.0,2020.0,4.0,1.0,1.0,0.2715652170515204
3.0,0.0,1.0,2020.0,4.0,1.0,2.0,0.2715652170515204
3.0,0.0,1.0,2020.0,4.0,1.0,3.0,0.2715652170515204
3.0,0.0,1.0,2020.0,4.0,1.0,4.0,0.2715652170515204
3.0,0.0,1.0,2020.0,4.0,1.0,5.0,0.2715652170515204
3.0,0.0,1.0,2020.0,4.0,1.0,6.0,0.2715652170515204
3.0,0.0,1.0,2020.0,4.0,1.0,7.0,0.2715652170515204
3.0,0.0,1.0,2020.0,4.0,1.0,8.0,0.2715652170515204
3.0,0.0,1.0,2020.0,4.0,1.0,9.0,0.2715652170515204
3.0,0.0,1.0,2020.0,4.0,1.0,10.0,0.2715652170515204
3.0,0.0904340045815124,1.0,2020.0,4.0,1.0,11.0,0.36199922163303283
3.0,0.0904340045815124,1.0,2020.0,4.0,1.0,12.0,0.45243322621454524
3.0,0.0,1.0,2020.0,4.0,1.0,13.0,0.45243322621454524
3.0,0.6225636209492015,1.0,2020.0,4.0,1.0,14.0,1.0749968471637468
3.0,1.7521512403750668,1.0,2020.0,4.0,1.0,15.0,2.8271480875388133
3.0,5.329511638521232,1.0,2020.0,4.0,1.0,16.0,8.156659726060045
3.0,2.4686313074577915,1.0,2020.0,4.0,1.0,17.0,10.625291033517836
3.0,2.39035311097841,1.0,2020.0,4.0,1.0,18.0,13.015644144496246
3.0,1.308203254732648,1.0,2020.0,4.0,1.0,19.0,14.323847399228896
3.0,2.853245211203858,1.0,2020.0,4.0,1.0,20.0,17.17709261043275
3.0,12.77719506026379,1.0,2020.0,4.0,1.0,21.0,29.954287670696544
3.0,4.925685954794005,1.0,2020.0,4.0,1.0,22.0,34.87997362549055
3.0,4.824705997367252,1.0,2020.0,4.0,1.0,23.0,39.704679622857796
4.0,0.0,1.0,2020.0,4.0,2.0,0.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,1.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,2.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,3.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,4.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,5.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,6.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,7.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,8.0,0.0
4.0,0.0,1.0,2020.0,4.0,2.0,9.0,0.0
4.0,0.0904340045815124,1.0,2020.0,4.0,2.0,10.0,0.0904340045815124
4.0,0.0,1.0,2020.0,4.0,2.0,11.0,0.0904340045815124
4.0,0.0904340045815124,1.0,2020.0,4.0,2.0,12.0,0.1808680091630248
4.0,0.10436039929245751,1.0,2020.0,4.0,2.0,13.0,0.2852284084554823
4.0,0.10436039929245751,1.0,2020.0,4.0,2.0,14.0,0.3895888077479398
4.0,0.1616357817521882,1.0,2020.0,4.0,2.0,15.0,0.551224589500128
4.0,0.0,1.0,2020.0,4.0,2.0,16.0,0.551224589500128
4.0,0.0,1.0,2020.0,4.0,2.0,17.0,0.551224589500128
4.0,0.3959664170843897,1.0,2020.0,4.0,2.0,18.0,0.9471910065845177
4.0,0.0,1.0,2020.0,4.0,2.0,19.0,0.9471910065845177
4.0,0.7417646513874592,1.0,2020.0,4.0,2.0,20.0,1.6889556579719769
4.0,0.7417646513874591,1.0,2020.0,4.0,2.0,21.0,2.430720309359436
4.0,0.0,1.0,2020.0,4.0,2.0,22.0,2.430720309359436
4.0,0.0,1.0,2020.0,4.0,2.0,23.0,2.430720309359436
5.0,0.36977673212416085,1.0,2020.0,4.0,3.0,0.0,0.36977673212416085
5.0,0.30366320551248427,1.0,2020.0,4.0,3.0,1.0,0.6734399376366451
5.0,0.0,1.0,2020.0,4.0,3.0,2.0,0.6734399376366451
5.0,0.0,1.0,2020.0,4.0,3.0,3.0,0.6734399376366451
5.0,0.0,1.0,2020.0,4.0,3.0,4.0,0.6734399376366451
5.0,0.0,1.0,2020.0,4.0,3.0,5.0,0.6734399376366451
5.0,0.0,1.0,2020.0,4.0,3.0,6.0,0.6734399376366451
5.0,0.0,1.0,2020.0,4.0,3.0,7.0,0.6734399376366451
5.0,0.0,1.0,2020.0,4.0,3.0,8.0,0.6734399376366451
5.0,0.0,1.0,2020.0,4.0,3.0,9.0,0.6734399376366451
5.0,0.0,1.0,2020.0,4.0,3.0,10.0,0.6734399376366451
5.0,0.10436039929245751,1.0,2020.0,4.0,3.0,11.0,0.7778003369291027
5.0,0.0,1.0,2020.0,4.0,3.0,12.0,0.7778003369291027
5.0,0.10436039929245751,1.0,2020.0,4.0,3.0,13.0,0.8821607362215601
5.0,2.255909801563437,1.0,2020.0,4.0,3.0,14.0,3.138070537784997
5.0,3.6582321106434113,1.0,2020.0,4.0,3.0,15.0,6.796302648428409
5.0,2.4046152276081236,1.0,2020.0,4.0,3.0,16.0,9.20091787603653
5.0,2.4247631119445727,1.0,2020.0,4.0,3.0,17.0,11.625680987981104
5.0,2.4367397765820287,1.0,2020.0,4.0,3.0,18.0,14.062420764563132
5.0,2.115214640938434,1.0,2020.0,4.0,3.0,19.0,16.17763540550157
5.0,0.0,1.0,2020.0,4.0,3.0,20.0,16.17763540550157
5.0,1.7456681552731008,1.0,2020.0,4.0,3.0,21.0,17.923303560774666
5.0,1.8414741005355941,1.0,2020.0,4.0,3.0,22.0,19.764777661310262
5.0,0.0,1.0,2020.0,4.0,3.0,23.0,19.764777661310262
6.0,0.36384729815407907,0.0,2020.0,4.0,4.0,0.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,1.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,2.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,3.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,4.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,5.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,6.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,7.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,8.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,9.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,10.0,0.36384729815407907
6.0,0.0,0.0,2020.0,4.0,4.0,11.0,0.36384729815407907
6.0,0.10436039929245751,0.0,2020.0,4.0,4.0,12.0,0.46820769744653656
6.0,0.1616357817521882,0.0,2020.0,4.0,4.0,13.0,0.6298434791987249
6.0,0.1616357817521882,0.0,2020.0,4.0,4.0,14.0,0.791479260950913
6.0,0.1616357817521882,0.0,2020.0,4.0,4.0,15.0,0.9531150427031012
6.0,0.19019784214236876,0.0,2020.0,4.0,4.0,16.0,1.14331288484547
6.0,0.0,0.0,2020.0,4.0,4.0,17.0,1.14331288484547
6.0,0.4236522743973449,0.0,2020.0,4.0,4.0,18.0,1.5669651592428149
6.0,0.0,0.0,2020.0,4.0,4.0,19.0,1.5669651592428149
6.0,0.0,0.0,2020.0,4.0,4.0,20.0,1.5669651592428149
6.0,6.168845070422536,0.0,2020.0,4.0,4.0,21.0,7.7358102296653515
6.0,6.161695745903996,0.0,2020.0,4.0,4.0,22.0,13.897505975569349
6.0,2.2057982509468714,0.0,2020.0,4.0,4.0,23.0,16.10330422651622
7.0,0.4079076110986026,0.0,2020.0,4.0,5.0,0.0,0.4079076110986026
7.0,2.7537662337662336,0.0,2020.0,4.0,5.0,1.0,3.1616738448648363
7.0,0.6055153824631092,0.0,2020.0,4.0,5.0,2.0,3.7671892273279455
