Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2020.0,3.0,1.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,6.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,7.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,8.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,9.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,10.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,11.0,0.0
7.0,0.3135097719869701,0.0,2020.0,3.0,1.0,12.0,0.3135097719869701
7.0,0.0,0.0,2020.0,3.0,1.0,13.0,0.3135097719869701
7.0,0.3135097719869701,0.0,2020.0,3.0,1.0,14.0,0.6270195439739402
7.0,0.3135097719869701,0.0,2020.0,3.0,1.0,15.0,0.9405293159609103
7.0,0.0,0.0,2020.0,3.0,1.0,16.0,0.9405293159609103
7.0,0.0,0.0,2020.0,3.0,1.0,17.0,0.9405293159609103
7.0,0.0,0.0,2020.0,3.0,1.0,18.0,0.9405293159609103
7.0,0.0,0.0,2020.0,3.0,1.0,19.0,0.9405293159609103
7.0,0.0,0.0,2020.0,3.0,1.0,20.0,0.9405293159609103
7.0,0.0,0.0,2020.0,3.0,1.0,21.0,0.9405293159609103
7.0,0.0,0.0,2020.0,3.0,1.0,22.0,0.9405293159609103
7.0,0.0,0.0,2020.0,3.0,1.0,23.0,0.9405293159609103
1.0,0.0,1.0,2020.0,3.0,2.0,0.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,1.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,2.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,3.0,0.0
1.0,1.511458015733505,1.0,2020.0,3.0,2.0,4.0,1.511458015733505
1.0,7.947628823416073,1.0,2020.0,3.0,2.0,5.0,9.459086839149577
1.0,31.468478175910114,1.0,2020.0,3.0,2.0,6.0,40.92756501505969
1.0,16.612270742863796,1.0,2020.0,3.0,2.0,7.0,57.539835757923484
1.0,41.60425143708093,1.0,2020.0,3.0,2.0,8.0,99.14408719500442
1.0,76.47232139679654,1.0,2020.0,3.0,2.0,9.0,175.61640859180096
1.0,78.90702946574777,1.0,2020.0,3.0,2.0,10.0,254.52343805754873
1.0,66.07847893855772,1.0,2020.0,3.0,2.0,11.0,320.60191699610647
1.0,40.0385960386896,1.0,2020.0,3.0,2.0,12.0,360.6405130347961
1.0,39.901570816778275,1.0,2020.0,3.0,2.0,13.0,400.5420838515743
1.0,56.86926836065895,1.0,2020.0,3.0,2.0,14.0,457.4113522122333
1.0,15.514625543321308,1.0,2020.0,3.0,2.0,15.0,472.9259777555546
1.0,56.14469796074913,1.0,2020.0,3.0,2.0,16.0,529.0706757163038
1.0,34.92452499054066,1.0,2020.0,3.0,2.0,17.0,563.9952007068443
1.0,2.3690676545536213,1.0,2020.0,3.0,2.0,18.0,566.364268361398
1.0,0.0,1.0,2020.0,3.0,2.0,19.0,566.364268361398
1.0,2.3690676545536213,1.0,2020.0,3.0,2.0,20.0,568.7333360159516
1.0,2.3690676545536213,1.0,2020.0,3.0,2.0,21.0,571.1024036705053
1.0,1.6802076993304982,1.0,2020.0,3.0,2.0,22.0,572.7826113698358
1.0,2.9870359099208854,1.0,2020.0,3.0,2.0,23.0,575.7696472797567
2.0,0.0,1.0,2020.0,3.0,3.0,0.0,0.0
2.0,0.0,1.0,2020.0,3.0,3.0,1.0,0.0
2.0,0.0,1.0,2020.0,3.0,3.0,2.0,0.0
2.0,0.37786450393337623,1.0,2020.0,3.0,3.0,3.0,0.37786450393337623
2.0,2.1001391655920054,1.0,2020.0,3.0,3.0,4.0,2.4780036695253815
2.0,11.735277278391777,1.0,2020.0,3.0,3.0,5.0,14.21328094791716
2.0,51.98018024224916,1.0,2020.0,3.0,3.0,6.0,66.19346119016632
2.0,103.60485184000235,1.0,2020.0,3.0,3.0,7.0,169.79831303016869
2.0,125.09699803341964,1.0,2020.0,3.0,3.0,8.0,294.89531106358834
2.0,95.88187912563501,1.0,2020.0,3.0,3.0,9.0,390.77719018922335
2.0,72.45706942259794,1.0,2020.0,3.0,3.0,10.0,463.23425961182124
2.0,48.691489776251885,1.0,2020.0,3.0,3.0,11.0,511.92574938807314
2.0,24.058615488074093,1.0,2020.0,3.0,3.0,12.0,535.9843648761472
2.0,20.09995380205828,1.0,2020.0,3.0,3.0,13.0,556.0843186782055
2.0,23.2255797614778,1.0,2020.0,3.0,3.0,14.0,579.3098984396834
2.0,40.35610010955793,1.0,2020.0,3.0,3.0,15.0,619.6659985492413
2.0,48.11314652438969,1.0,2020.0,3.0,3.0,16.0,667.779145073631
2.0,15.514625543321308,1.0,2020.0,3.0,3.0,17.0,683.2937706169522
2.0,10.597633360644647,1.0,2020.0,3.0,3.0,18.0,693.8914039775968
2.0,10.597633360644647,1.0,2020.0,3.0,3.0,19.0,704.4890373382416
2.0,0.1959271124790148,1.0,2020.0,3.0,3.0,20.0,704.6849644507206
2.0,10.430305899985832,1.0,2020.0,3.0,3.0,21.0,715.1152703507064
2.0,4.572767953983297,1.0,2020.0,3.0,3.0,22.0,719.6880383046897
2.0,3.6490949593216033,1.0,2020.0,3.0,3.0,23.0,723.3371332640113
3.0,0.0,1.0,2020.0,3.0,4.0,0.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,1.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,2.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,3.0,0.0
3.0,1.9065363272352296,1.0,2020.0,3.0,4.0,4.0,1.9065363272352296
3.0,9.13057299886336,1.0,2020.0,3.0,4.0,5.0,11.03710932609859
3.0,30.29543809067752,1.0,2020.0,3.0,4.0,6.0,41.33254741677611
3.0,79.36839128447653,1.0,2020.0,3.0,4.0,7.0,120.70093870125264
3.0,111.04173900749257,1.0,2020.0,3.0,4.0,8.0,231.7426777087452
3.0,110.862373397781,1.0,2020.0,3.0,4.0,9.0,342.6050511065262
3.0,95.78524800001126,1.0,2020.0,3.0,4.0,10.0,438.39029910653744
3.0,62.96033512680151,1.0,2020.0,3.0,4.0,11.0,501.35063423333895
3.0,50.63788832968464,1.0,2020.0,3.0,4.0,12.0,551.9885225630236
3.0,40.0385960386896,1.0,2020.0,3.0,4.0,13.0,592.0271186017133
3.0,36.890388004518414,1.0,2020.0,3.0,4.0,14.0,628.9175066062317
3.0,51.182441129345435,1.0,2020.0,3.0,4.0,15.0,680.0999477355771
3.0,22.09530731160832,1.0,2020.0,3.0,4.0,16.0,702.1952550471854
3.0,42.943156802236366,1.0,2020.0,3.0,4.0,17.0,745.1384118494218
3.0,25.66125199201673,1.0,2020.0,3.0,4.0,18.0,770.7996638414385
3.0,15.373896186047087,1.0,2020.0,3.0,4.0,19.0,786.1735600274856
3.0,5.957309353462142,1.0,2020.0,3.0,4.0,20.0,792.1308693809477
3.0,2.063929080904829,1.0,2020.0,3.0,4.0,21.0,794.1947984618525
3.0,2.7784286134694884,1.0,2020.0,3.0,4.0,22.0,796.973227075322
3.0,11.14397742346952,1.0,2020.0,3.0,4.0,23.0,808.1172044987916
4.0,0.8731732205350855,1.0,2020.0,3.0,5.0,0.0,0.8731732205350855
4.0,1.315181475443256,1.0,2020.0,3.0,5.0,1.0,2.1883546959783415
4.0,0.9084657795385743,1.0,2020.0,3.0,5.0,2.0,3.0968204755169157
4.0,0.0,1.0,2020.0,3.0,5.0,3.0,3.0968204755169157
4.0,0.4121453154758118,1.0,2020.0,3.0,5.0,4.0,3.5089657909927277
4.0,8.966561796349751,1.0,2020.0,3.0,5.0,5.0,12.475527587342478
4.0,31.850729749997345,1.0,2020.0,3.0,5.0,6.0,44.326257337339825
4.0,84.35361069669541,1.0,2020.0,3.0,5.0,7.0,128.67986803403522
4.0,40.87119487931731,1.0,2020.0,3.0,5.0,8.0,169.55106291335255
4.0,102.38503323287505,1.0,2020.0,3.0,5.0,9.0,271.93609614622756
4.0,78.20043626222359,1.0,2020.0,3.0,5.0,10.0,350.13653240845116
4.0,66.10053136768373,1.0,2020.0,3.0,5.0,11.0,416.2370637761349
4.0,50.63788832968464,1.0,2020.0,3.0,5.0,12.0,466.87495210581955
4.0,43.41826632866641,1.0,2020.0,3.0,5.0,13.0,510.29321843448594
4.0,42.25372231631858,1.0,2020.0,3.0,5.0,14.0,552.5469407508045
4.0,40.59655722235591,1.0,2020.0,3.0,5.0,15.0,593.1434979731605
4.0,27.012825108347105,1.0,2020.0,3.0,5.0,16.0,620.1563230815076
4.0,32.820560559898546,1.0,2020.0,3.0,5.0,17.0,652.9768836414061
4.0,23.719648422333293,1.0,2020.0,3.0,5.0,18.0,676.6965320637394
4.0,14.156553105809415,1.0,2020.0,3.0,5.0,19.0,690.8530851695488
4.0,0.2894966383231525,1.0,2020.0,3.0,5.0,20.0,691.1425818078719
4.0,17.02489662426907,1.0,2020.0,3.0,5.0,21.0,708.167478432141
4.0,17.02489662426907,1.0,2020.0,3.0,5.0,22.0,725.1923750564101
4.0,17.02489662426907,1.0,2020.0,3.0,5.0,23.0,742.2172716806791
5.0,0.0,1.0,2020.0,3.0,6.0,0.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,1.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,2.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,3.0,0.0
5.0,1.3084217649572816,1.0,2020.0,3.0,6.0,4.0,1.3084217649572816
5.0,6.03359808258441,1.0,2020.0,3.0,6.0,5.0,7.342019847541692
5.0,35.64629856721388,1.0,2020.0,3.0,6.0,6.0,42.988318414755575
5.0,90.02193577938422,1.0,2020.0,3.0,6.0,7.0,133.0102541941398
5.0,131.35583522051536,1.0,2020.0,3.0,6.0,8.0,264.36608941465516
5.0,113.63636698373436,1.0,2020.0,3.0,6.0,9.0,378.00245639838954
5.0,78.90702946574777,1.0,2020.0,3.0,6.0,10.0,456.9094858641373
5.0,70.74592934053254,1.0,2020.0,3.0,6.0,11.0,527.6554152046698
5.0,44.90519748083245,1.0,2020.0,3.0,6.0,12.0,572.5606126855023
5.0,40.10607283671819,1.0,2020.0,3.0,6.0,13.0,612.6666855222205
5.0,56.86926836065895,1.0,2020.0,3.0,6.0,14.0,669.5359538828794
5.0,31.99726638839509,1.0,2020.0,3.0,6.0,15.0,701.5332202712746
5.0,45.23438187257977,1.0,2020.0,3.0,6.0,16.0,746.7676021438543
5.0,10.449153208844239,1.0,2020.0,3.0,6.0,17.0,757.2167553526986
5.0,24.71316849641657,1.0,2020.0,3.0,6.0,18.0,781.9299238491151
5.0,4.809027008963103,1.0,2020.0,3.0,6.0,19.0,786.7389508580782
5.0,2.369067654553622,1.0,2020.0,3.0,6.0,20.0,789.1080185126318
5.0,9.536044814861157,1.0,2020.0,3.0,6.0,21.0,798.644063327493
5.0,4.934317454774855,1.0,2020.0,3.0,6.0,22.0,803.5783807822678
5.0,4.934317454774855,1.0,2020.0,3.0,6.0,23.0,808.5126982370426
6.0,0.0,0.0,2020.0,3.0,7.0,0.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,1.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,2.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,3.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,4.0,0.0
6.0,2.9150054171180853,0.0,2020.0,3.0,7.0,5.0,2.9150054171180853
6.0,2.4275517334778,0.0,2020.0,3.0,7.0,6.0,5.342557150595885
6.0,5.038626609442069,0.0,2020.0,3.0,7.0,7.0,10.381183760037954
6.0,4.286904583306905,0.0,2020.0,3.0,7.0,8.0,14.66808834334486
6.0,14.166081694547277,0.0,2020.0,3.0,7.0,9.0,28.834170037892136
6.0,15.998918848911817,0.0,2020.0,3.0,7.0,10.0,44.83308888680395
6.0,11.696585023057938,0.0,2020.0,3.0,7.0,11.0,56.52967390986189
6.0,0.0,0.0,2020.0,3.0,7.0,12.0,56.52967390986189
6.0,14.696051637507058,0.0,2020.0,3.0,7.0,13.0,71.22572554736895
6.0,4.452695439036689,0.0,2020.0,3.0,7.0,14.0,75.67842098640564
6.0,3.0876488542054243,0.0,2020.0,3.0,7.0,15.0,78.76606984061107
6.0,1.5733580220019625,0.0,2020.0,3.0,7.0,16.0,80.33942786261302
6.0,0.3933395055004906,0.0,2020.0,3.0,7.0,17.0,80.73276736811351
6.0,0.3933395055004906,0.0,2020.0,3.0,7.0,18.0,81.126106873614
6.0,0.0,0.0,2020.0,3.0,7.0,19.0,81.126106873614
6.0,0.0,0.0,2020.0,3.0,7.0,20.0,81.126106873614
6.0,0.0,0.0,2020.0,3.0,7.0,21.0,81.126106873614
6.0,0.0,0.0,2020.0,3.0,7.0,22.0,81.126106873614
6.0,0.0,0.0,2020.0,3.0,7.0,23.0,81.126106873614
7.0,0.0,0.0,2020.0,3.0,8.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,6.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,7.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,8.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,9.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,10.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,11.0,0.0
7.0,1.001426459985579,0.0,2020.0,3.0,8.0,12.0,1.001426459985579
7.0,3.1159336697909112,0.0,2020.0,3.0,8.0,13.0,4.117360129776491
7.0,1.1180781056694356,0.0,2020.0,3.0,8.0,14.0,5.235438235445926
7.0,4.188120769204518,0.0,2020.0,3.0,8.0,15.0,9.423559004650444
7.0,4.814425196671953,0.0,2020.0,3.0,8.0,16.0,14.237984201322398
7.0,2.208826322450869,0.0,2020.0,3.0,8.0,17.0,16.446810523773266
7.0,0.0,0.0,2020.0,3.0,8.0,18.0,16.446810523773266
7.0,0.0,0.0,2020.0,3.0,8.0,19.0,16.446810523773266
7.0,0.0,0.0,2020.0,3.0,8.0,20.0,16.446810523773266
7.0,0.0,0.0,2020.0,3.0,8.0,21.0,16.446810523773266
7.0,0.0,0.0,2020.0,3.0,8.0,22.0,16.446810523773266
7.0,0.0,0.0,2020.0,3.0,8.0,23.0,16.446810523773266
1.0,0.5427181646580513,1.0,2020.0,3.0,9.0,0.0,0.5427181646580513
1.0,0.0,1.0,2020.0,3.0,9.0,1.0,0.5427181646580513
1.0,0.0,1.0,2020.0,3.0,9.0,2.0,0.5427181646580513
1.0,0.0,1.0,2020.0,3.0,9.0,3.0,0.5427181646580513
1.0,2.964307520648479,1.0,2020.0,3.0,9.0,4.0,3.5070256853065302
1.0,9.835504354536248,1.0,2020.0,3.0,9.0,5.0,13.342530039842778
1.0,39.169301396427066,1.0,2020.0,3.0,9.0,6.0,52.511831436269844
1.0,85.90685771742322,1.0,2020.0,3.0,9.0,7.0,138.41868915369307
1.0,46.701596736609524,1.0,2020.0,3.0,9.0,8.0,185.1202858903026
1.0,84.14918068898528,1.0,2020.0,3.0,9.0,9.0,269.26946657928784
1.0,76.47232139679654,1.0,2020.0,3.0,9.0,10.0,345.7417879760844
1.0,75.42028915451526,1.0,2020.0,3.0,9.0,11.0,421.16207713059964
1.0,78.90702946574777,1.0,2020.0,3.0,9.0,12.0,500.0691065963474
1.0,41.668529551574224,1.0,2020.0,3.0,9.0,13.0,541.7376361479216
1.0,40.0385960386896,1.0,2020.0,3.0,9.0,14.0,581.7762321866113
1.0,75.04450878599475,1.0,2020.0,3.0,9.0,15.0,656.820740972606
1.0,86.32871815174333,1.0,2020.0,3.0,9.0,16.0,743.1494591243494
1.0,56.34069337269303,1.0,2020.0,3.0,9.0,17.0,799.4901524970423
1.0,3.550822106028135,1.0,2020.0,3.0,9.0,18.0,803.0409746030705
1.0,4.934317454774855,1.0,2020.0,3.0,9.0,19.0,807.9752920578454
1.0,5.043316435685176,1.0,2020.0,3.0,9.0,20.0,813.0186084935306
1.0,2.1708726586322054,1.0,2020.0,3.0,9.0,21.0,815.1894811521628
1.0,4.730276641952686,1.0,2020.0,3.0,9.0,22.0,819.9197577941154
1.0,2.1708726586322054,1.0,2020.0,3.0,9.0,23.0,822.0906304527476
2.0,2.1708726586322054,1.0,2020.0,3.0,10.0,0.0,2.1708726586322054
2.0,1.2837950448201711,1.0,2020.0,3.0,10.0,1.0,3.4546677034523765
2.0,1.2837950448201711,1.0,2020.0,3.0,10.0,2.0,4.738462748272548
2.0,2.420037972072944,1.0,2020.0,3.0,10.0,3.0,7.158500720345492
2.0,5.217914739124772,1.0,2020.0,3.0,10.0,4.0,12.376415459470264
2.0,14.35050432593323,1.0,2020.0,3.0,10.0,5.0,26.726919785403496
2.0,38.83115604219409,1.0,2020.0,3.0,10.0,6.0,65.55807582759758
2.0,55.70972107579696,1.0,2020.0,3.0,10.0,7.0,121.26779690339455
2.0,19.461175526770973,1.0,2020.0,3.0,10.0,8.0,140.72897243016553
2.0,100.05399275805745,1.0,2020.0,3.0,10.0,9.0,240.78296518822296
2.0,82.04819220505034,1.0,2020.0,3.0,10.0,10.0,322.8311573932733
2.0,78.90702946574777,1.0,2020.0,3.0,10.0,11.0,401.7381868590211
2.0,53.46955143868065,1.0,2020.0,3.0,10.0,12.0,455.2077382977017
2.0,48.605340583781725,1.0,2020.0,3.0,10.0,13.0,503.8130788814834
2.0,52.886725435102576,1.0,2020.0,3.0,10.0,14.0,556.699804316586
2.0,53.60375355492653,1.0,2020.0,3.0,10.0,15.0,610.3035578715126
2.0,50.00444179362211,1.0,2020.0,3.0,10.0,16.0,660.3079996651346
2.0,25.66125199201673,1.0,2020.0,3.0,10.0,17.0,685.9692516571514
2.0,18.4014782149629,1.0,2020.0,3.0,10.0,18.0,704.3707298721142
2.0,8.20844371224528,1.0,2020.0,3.0,10.0,19.0,712.5791735843595
2.0,0.0,1.0,2020.0,3.0,10.0,20.0,712.5791735843595
2.0,0.0,1.0,2020.0,3.0,10.0,21.0,712.5791735843595
2.0,2.05211092806132,1.0,2020.0,3.0,10.0,22.0,714.6312845124208
2.0,0.0,1.0,2020.0,3.0,10.0,23.0,714.6312845124208
3.0,0.5427181646580513,1.0,2020.0,3.0,11.0,0.0,0.5427181646580513
3.0,0.0,1.0,2020.0,3.0,11.0,1.0,0.5427181646580513
3.0,0.0,1.0,2020.0,3.0,11.0,2.0,0.5427181646580513
3.0,0.0,1.0,2020.0,3.0,11.0,3.0,0.5427181646580513
3.0,0.7410768801621197,1.0,2020.0,3.0,11.0,4.0,1.2837950448201711
3.0,3.1281217186818218,1.0,2020.0,3.0,11.0,5.0,4.411916763501993
3.0,25.05380403212414,1.0,2020.0,3.0,11.0,6.0,29.465720795626133
3.0,38.426200144402884,1.0,2020.0,3.0,11.0,7.0,67.89192094002902
3.0,13.132193671359772,1.0,2020.0,3.0,11.0,8.0,81.0241146113888
3.0,85.72642045482367,1.0,2020.0,3.0,11.0,9.0,166.75053506621245
3.0,68.9305146712088,1.0,2020.0,3.0,11.0,10.0,235.68104973742123
3.0,51.39064699040146,1.0,2020.0,3.0,11.0,11.0,287.0716967278227
3.0,87.11325768405021,1.0,2020.0,3.0,11.0,12.0,374.1849544118729
3.0,78.90702946574777,1.0,2020.0,3.0,11.0,13.0,453.0919838776207
3.0,55.64366416002574,1.0,2020.0,3.0,11.0,14.0,508.73564803764646
3.0,65.73872720903888,1.0,2020.0,3.0,11.0,15.0,574.4743752466853
3.0,62.85338176197227,1.0,2020.0,3.0,11.0,16.0,637.3277570086576
3.0,16.645947941690707,1.0,2020.0,3.0,11.0,17.0,653.9737049503483
3.0,13.995917247779442,1.0,2020.0,3.0,11.0,18.0,667.9696221981277
3.0,4.479040659986834,1.0,2020.0,3.0,11.0,19.0,672.4486628581146
