Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
5.0,0.0,1.0,2019.0,3.0,1.0,0.0,0.0
5.0,0.09845916245916246,1.0,2019.0,3.0,1.0,1.0,0.09845916245916246
5.0,0.0,1.0,2019.0,3.0,1.0,2.0,0.09845916245916246
5.0,0.0,1.0,2019.0,3.0,1.0,3.0,0.09845916245916246
5.0,0.2133997729725885,1.0,2019.0,3.0,1.0,4.0,0.31185893543175097
5.0,15.01,1.0,2019.0,3.0,1.0,5.0,15.32185893543175
5.0,9.027747757759776,1.0,2019.0,3.0,1.0,6.0,24.349606693191525
5.0,30.828747118936345,1.0,2019.0,3.0,1.0,7.0,55.178353812127874
5.0,27.85523890437815,1.0,2019.0,3.0,1.0,8.0,83.03359271650602
5.0,32.49502985715848,1.0,2019.0,3.0,1.0,9.0,115.5286225736645
5.0,40.59951096100969,1.0,2019.0,3.0,1.0,10.0,156.1281335346742
5.0,63.34704254379226,1.0,2019.0,3.0,1.0,11.0,219.47517607846646
5.0,78.20598676399773,1.0,2019.0,3.0,1.0,12.0,297.6811628424642
5.0,98.1753974372982,1.0,2019.0,3.0,1.0,13.0,395.8565602797624
5.0,76.40153959775377,1.0,2019.0,3.0,1.0,14.0,472.25809987751614
5.0,68.41801265635519,1.0,2019.0,3.0,1.0,15.0,540.6761125338713
5.0,87.46268554545402,1.0,2019.0,3.0,1.0,16.0,628.1387980793254
5.0,40.8381675928759,1.0,2019.0,3.0,1.0,17.0,668.9769656722012
5.0,34.90093518757857,1.0,2019.0,3.0,1.0,18.0,703.8779008597799
5.0,31.656214285714285,1.0,2019.0,3.0,1.0,19.0,735.5341151454941
5.0,36.4803544857365,1.0,2019.0,3.0,1.0,20.0,772.0144696312307
5.0,0.8478292682926829,1.0,2019.0,3.0,1.0,21.0,772.8622988995234
5.0,40.54086703226047,1.0,2019.0,3.0,1.0,22.0,813.4031659317837
5.0,40.48293606218426,1.0,2019.0,3.0,1.0,23.0,853.886101993968
6.0,0.0,0.0,2019.0,3.0,2.0,0.0,0.0
6.0,13.65,0.0,2019.0,3.0,2.0,1.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,2.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,3.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,4.0,13.65
6.0,4.381870734074645,0.0,2019.0,3.0,2.0,5.0,18.031870734074644
6.0,3.9892379818051538,0.0,2019.0,3.0,2.0,6.0,22.021108715879798
6.0,3.4896823031068847,0.0,2019.0,3.0,2.0,7.0,25.510791018986684
6.0,4.98658203930097,0.0,2019.0,3.0,2.0,8.0,30.497373058287653
6.0,19.254732776562253,0.0,2019.0,3.0,2.0,9.0,49.75210583484991
6.0,27.85523890437815,0.0,2019.0,3.0,2.0,10.0,77.60734473922805
6.0,48.516227957812895,0.0,2019.0,3.0,2.0,11.0,126.12357269704096
6.0,60.85751615652646,0.0,2019.0,3.0,2.0,12.0,186.98108885356743
6.0,68.13405575420869,0.0,2019.0,3.0,2.0,13.0,255.1151446077761
6.0,71.30221969560122,0.0,2019.0,3.0,2.0,14.0,326.4173643033773
6.0,76.83710176106582,0.0,2019.0,3.0,2.0,15.0,403.25446606444314
6.0,89.60357444322536,0.0,2019.0,3.0,2.0,16.0,492.85804050766853
6.0,28.17733879020086,0.0,2019.0,3.0,2.0,17.0,521.0353792978693
6.0,67.93413032250518,0.0,2019.0,3.0,2.0,18.0,588.9695096203745
6.0,32.21385353535353,0.0,2019.0,3.0,2.0,19.0,621.1833631557281
6.0,62.31150908096647,0.0,2019.0,3.0,2.0,20.0,683.4948722366945
6.0,62.36728917850029,0.0,2019.0,3.0,2.0,21.0,745.8621614151948
6.0,0.0,0.0,2019.0,3.0,2.0,22.0,745.8621614151948
6.0,0.0,0.0,2019.0,3.0,2.0,23.0,745.8621614151948
7.0,0.024945648945648945,0.0,2019.0,3.0,3.0,0.0,0.024945648945648945
7.0,4.373431835168495,0.0,2019.0,3.0,3.0,1.0,4.398377484114144
7.0,0.0,0.0,2019.0,3.0,3.0,2.0,4.398377484114144
7.0,4.130999402736063,0.0,2019.0,3.0,3.0,3.0,8.529376886850208
7.0,0.0,0.0,2019.0,3.0,3.0,4.0,8.529376886850208
7.0,3.577585957645403,0.0,2019.0,3.0,3.0,5.0,12.10696284449561
7.0,0.0,0.0,2019.0,3.0,3.0,6.0,12.10696284449561
7.0,19.29,0.0,2019.0,3.0,3.0,7.0,31.39696284449561
7.0,6.97,0.0,2019.0,3.0,3.0,8.0,38.36696284449561
7.0,27.118137680133948,0.0,2019.0,3.0,3.0,9.0,65.48510052462956
7.0,55.71503662975574,0.0,2019.0,3.0,3.0,10.0,121.20013715438529
7.0,66.05361934887783,0.0,2019.0,3.0,3.0,11.0,187.25375650326313
7.0,117.29586458133916,0.0,2019.0,3.0,3.0,12.0,304.5496210846023
7.0,72.45238463115867,0.0,2019.0,3.0,3.0,13.0,377.00200571576096
7.0,42.06485197559308,0.0,2019.0,3.0,3.0,14.0,419.066857691354
7.0,59.27469913268709,0.0,2019.0,3.0,3.0,15.0,478.3415568240411
7.0,67.68073186184425,0.0,2019.0,3.0,3.0,16.0,546.0222886858853
7.0,64.09703359298882,0.0,2019.0,3.0,3.0,17.0,610.1193222788742
7.0,39.998437916296666,0.0,2019.0,3.0,3.0,18.0,650.1177601951708
7.0,31.960420825120266,0.0,2019.0,3.0,3.0,19.0,682.0781810202911
7.0,20.746857142857145,0.0,2019.0,3.0,3.0,20.0,702.8250381631483
7.0,30.929708915145007,0.0,2019.0,3.0,3.0,21.0,733.7547470782932
7.0,45.73160231551587,0.0,2019.0,3.0,3.0,22.0,779.4863493938092
7.0,0.0,0.0,2019.0,3.0,3.0,23.0,779.4863493938092
1.0,0.1298198198198198,1.0,2019.0,3.0,4.0,0.0,0.1298198198198198
1.0,15.12,1.0,2019.0,3.0,4.0,1.0,15.24981981981982
1.0,0.0,1.0,2019.0,3.0,4.0,2.0,15.24981981981982
1.0,0.0,1.0,2019.0,3.0,4.0,3.0,15.24981981981982
1.0,0.0,1.0,2019.0,3.0,4.0,4.0,15.24981981981982
1.0,12.91,1.0,2019.0,3.0,4.0,5.0,28.15981981981982
1.0,5.305589836660617,1.0,2019.0,3.0,4.0,6.0,33.46540965648044
1.0,8.607949183303086,1.0,2019.0,3.0,4.0,7.0,42.07335883978352
1.0,22.63825913301312,1.0,2019.0,3.0,4.0,8.0,64.71161797279665
1.0,53.53066484358568,1.0,2019.0,3.0,4.0,9.0,118.24228281638233
1.0,58.2187811614951,1.0,2019.0,3.0,4.0,10.0,176.46106397787742
1.0,24.932525768642336,1.0,2019.0,3.0,4.0,11.0,201.39358974651975
1.0,75.74821750639735,1.0,2019.0,3.0,4.0,12.0,277.14180725291715
1.0,69.66295037017964,1.0,2019.0,3.0,4.0,13.0,346.80475762309675
1.0,107.97843593703205,1.0,2019.0,3.0,4.0,14.0,454.7831935601288
1.0,65.38752693870028,1.0,2019.0,3.0,4.0,15.0,520.170720498829
1.0,58.648428299911004,1.0,2019.0,3.0,4.0,16.0,578.8191487987401
1.0,46.254787060491374,1.0,2019.0,3.0,4.0,17.0,625.0739358592315
1.0,39.3172465637496,1.0,2019.0,3.0,4.0,18.0,664.391182422981
1.0,60.82468080219745,1.0,2019.0,3.0,4.0,19.0,725.2158632251785
1.0,26.533006426764256,1.0,2019.0,3.0,4.0,20.0,751.7488696519428
1.0,9.582304147465438,1.0,2019.0,3.0,4.0,21.0,761.3311737994082
1.0,0.0,1.0,2019.0,3.0,4.0,22.0,761.3311737994082
1.0,27.285250674225352,1.0,2019.0,3.0,4.0,23.0,788.6164244736335
2.0,0.27269321953532477,1.0,2019.0,3.0,5.0,0.0,0.27269321953532477
2.0,2.083333333333333,1.0,2019.0,3.0,5.0,1.0,2.356026552868658
2.0,2.459288937104683,1.0,2019.0,3.0,5.0,2.0,4.815315489973341
2.0,2.083333333333333,1.0,2019.0,3.0,5.0,3.0,6.898648823306674
2.0,2.083333333333333,1.0,2019.0,3.0,5.0,4.0,8.981982156640008
2.0,2.9328097731239096,1.0,2019.0,3.0,5.0,5.0,11.914791929763917
2.0,21.51859656777196,1.0,2019.0,3.0,5.0,6.0,33.43338849753588
2.0,14.53687434554974,1.0,2019.0,3.0,5.0,7.0,47.970262843085614
2.0,26.645264857105694,1.0,2019.0,3.0,5.0,8.0,74.61552770019131
2.0,15.301315265840502,1.0,2019.0,3.0,5.0,9.0,89.91684296603181
2.0,53.95686079089017,1.0,2019.0,3.0,5.0,10.0,143.87370375692197
2.0,81.81394248704864,1.0,2019.0,3.0,5.0,11.0,225.68764624397062
2.0,80.4490049395101,1.0,2019.0,3.0,5.0,12.0,306.1366511834807
2.0,86.64694843606011,1.0,2019.0,3.0,5.0,13.0,392.78359961954084
2.0,48.464388025446986,1.0,2019.0,3.0,5.0,14.0,441.2479876449878
2.0,71.24069636499317,1.0,2019.0,3.0,5.0,15.0,512.488684009981
2.0,110.70632491492086,1.0,2019.0,3.0,5.0,16.0,623.1950089249019
2.0,36.53225001881708,1.0,2019.0,3.0,5.0,17.0,659.7272589437189
2.0,81.35594803260533,1.0,2019.0,3.0,5.0,18.0,741.0832069763243
2.0,45.8200311947066,1.0,2019.0,3.0,5.0,19.0,786.9032381710308
2.0,36.09487010586601,1.0,2019.0,3.0,5.0,20.0,822.9981082768969
2.0,27.05000934542957,1.0,2019.0,3.0,5.0,21.0,850.0481176223265
2.0,33.24336334417801,1.0,2019.0,3.0,5.0,22.0,883.2914809665044
2.0,33.24336334417801,1.0,2019.0,3.0,5.0,23.0,916.5348443106825
3.0,0.0,1.0,2019.0,3.0,6.0,0.0,0.0
3.0,0.0563063063063063,1.0,2019.0,3.0,6.0,1.0,0.0563063063063063
3.0,2.8373285368541694,1.0,2019.0,3.0,6.0,2.0,2.8936348431604757
3.0,0.0,1.0,2019.0,3.0,6.0,3.0,2.8936348431604757
3.0,2.7125130322433293,1.0,2019.0,3.0,6.0,4.0,5.6061478754038045
3.0,3.02511893097029,1.0,2019.0,3.0,6.0,5.0,8.631266806374095
3.0,28.395714285714288,1.0,2019.0,3.0,6.0,6.0,37.026981092088384
3.0,40.84318815331011,1.0,2019.0,3.0,6.0,7.0,77.8701692453985
3.0,29.12191989934185,1.0,2019.0,3.0,6.0,8.0,106.99208914474035
3.0,17.70234717049141,1.0,2019.0,3.0,6.0,9.0,124.69443631523175
3.0,56.047963334705756,1.0,2019.0,3.0,6.0,10.0,180.7423996499375
3.0,81.68670046684984,1.0,2019.0,3.0,6.0,11.0,262.42910011678737
3.0,73.71568746989487,1.0,2019.0,3.0,6.0,12.0,336.14478758668224
3.0,72.32073500984727,1.0,2019.0,3.0,6.0,13.0,408.46552259652947
3.0,72.56817034911607,1.0,2019.0,3.0,6.0,14.0,481.03369294564556
3.0,69.35151050580004,1.0,2019.0,3.0,6.0,15.0,550.3852034514456
3.0,49.83272259000809,1.0,2019.0,3.0,6.0,16.0,600.2179260414537
3.0,54.005777706737966,1.0,2019.0,3.0,6.0,17.0,654.2237037481916
3.0,31.85128807789936,1.0,2019.0,3.0,6.0,18.0,686.074991826091
3.0,39.50359951352966,1.0,2019.0,3.0,6.0,19.0,725.5785913396206
3.0,52.674822015287575,1.0,2019.0,3.0,6.0,20.0,778.2534133549083
3.0,18.44529411764706,1.0,2019.0,3.0,6.0,21.0,796.6987074725553
3.0,46.65534881932072,1.0,2019.0,3.0,6.0,22.0,843.3540562918761
3.0,44.370009697802615,1.0,2019.0,3.0,6.0,23.0,887.7240659896786
4.0,0.0,1.0,2019.0,3.0,7.0,0.0,0.0
4.0,0.0,1.0,2019.0,3.0,7.0,1.0,0.0
4.0,5.286315789473684,1.0,2019.0,3.0,7.0,2.0,5.286315789473684
4.0,8.289963589659429,1.0,2019.0,3.0,7.0,3.0,13.576279379133112
4.0,8.117813949621052,1.0,2019.0,3.0,7.0,4.0,21.694093328754164
4.0,12.23822926123909,1.0,2019.0,3.0,7.0,5.0,33.932322589993255
