Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
3.0,3.094930127723516,1.0,2018.0,4.0,25.0,4.0,3.094930127723516
3.0,2.8535161891079226,1.0,2018.0,4.0,25.0,5.0,5.948446316831438
3.0,3.2208902312992884,1.0,2018.0,4.0,25.0,6.0,9.169336548130726
3.0,7.650880449131412,1.0,2018.0,4.0,25.0,7.0,16.82021699726214
3.0,23.897233852300356,1.0,2018.0,4.0,25.0,8.0,40.717450849562496
3.0,51.887012814303375,1.0,2018.0,4.0,25.0,9.0,92.60446366386587
3.0,51.22554601512586,1.0,2018.0,4.0,25.0,10.0,143.83000967899173
3.0,25.61229802707392,1.0,2018.0,4.0,25.0,11.0,169.44230770606566
3.0,17.538789181783187,1.0,2018.0,4.0,25.0,12.0,186.98109688784882
3.0,22.056635894491222,1.0,2018.0,4.0,25.0,13.0,209.03773278234007
3.0,47.19918891239399,1.0,2018.0,4.0,25.0,14.0,256.23692169473406
3.0,28.17975871695455,1.0,2018.0,4.0,25.0,15.0,284.4166804116886
3.0,10.90325327667984,1.0,2018.0,4.0,25.0,16.0,295.31993368836845
3.0,20.68068651406053,1.0,2018.0,4.0,25.0,17.0,316.000620202429
3.0,14.641335479329529,1.0,2018.0,4.0,25.0,18.0,330.6419556817585
3.0,25.54055590604801,1.0,2018.0,4.0,25.0,19.0,356.1825115878065
3.0,27.481068999204933,1.0,2018.0,4.0,25.0,20.0,383.66358058701144
3.0,11.052607808755674,1.0,2018.0,4.0,25.0,21.0,394.7161883957671
3.0,1.653921866080151,1.0,2018.0,4.0,25.0,22.0,396.3701102618473
3.0,1.2903745380590743,1.0,2018.0,4.0,25.0,23.0,397.6604847999063
4.0,1.913275392759929,1.0,2018.0,4.0,26.0,0.0,1.913275392759929
4.0,1.8845994193054074,1.0,2018.0,4.0,26.0,1.0,3.7978748120653365
4.0,1.8280148745097196,1.0,2018.0,4.0,26.0,2.0,5.625889686575056
4.0,1.7853846153846156,1.0,2018.0,4.0,26.0,3.0,7.411274301959672
4.0,3.4435886461346668,1.0,2018.0,4.0,26.0,4.0,10.854862948094338
4.0,4.759180584634564,1.0,2018.0,4.0,26.0,5.0,15.614043532728902
4.0,6.166826818994438,1.0,2018.0,4.0,26.0,6.0,21.78087035172334
4.0,8.7767098864026,1.0,2018.0,4.0,26.0,7.0,30.55758023812594
4.0,21.451385735675487,1.0,2018.0,4.0,26.0,8.0,52.00896597380142
4.0,35.24811004136642,1.0,2018.0,4.0,26.0,9.0,87.25707601516784
4.0,50.94760650408538,1.0,2018.0,4.0,26.0,10.0,138.20468251925323
4.0,37.86307485139015,1.0,2018.0,4.0,26.0,11.0,176.06775737064336
4.0,43.81447018087841,1.0,2018.0,4.0,26.0,12.0,219.8822275515218
4.0,43.11121123516657,1.0,2018.0,4.0,26.0,13.0,262.99343878668833
4.0,35.42857100357084,1.0,2018.0,4.0,26.0,14.0,298.4220097902592
4.0,18.11629956790542,1.0,2018.0,4.0,26.0,15.0,316.5383093581646
4.0,15.33235624896979,1.0,2018.0,4.0,26.0,16.0,331.8706656071344
4.0,26.05561742574509,1.0,2018.0,4.0,26.0,17.0,357.9262830328795
4.0,8.32950831455281,1.0,2018.0,4.0,26.0,18.0,366.2557913474323
4.0,10.147459501052445,1.0,2018.0,4.0,26.0,19.0,376.40325084848473
4.0,17.910880184101085,1.0,2018.0,4.0,26.0,20.0,394.3141310325858
4.0,6.234716148623921,1.0,2018.0,4.0,26.0,21.0,400.54884718120974
4.0,1.9163744589609475,1.0,2018.0,4.0,26.0,22.0,402.4652216401707
4.0,0.852470500221036,1.0,2018.0,4.0,26.0,23.0,403.3176921403917
5.0,0.44099849072725344,1.0,2018.0,4.0,27.0,0.0,0.44099849072725344
5.0,0.6870078910450295,1.0,2018.0,4.0,27.0,1.0,1.128006381772283
5.0,0.852470500221036,1.0,2018.0,4.0,27.0,2.0,1.980476881993319
5.0,1.4489422897099642,1.0,2018.0,4.0,27.0,3.0,3.429419171703283
5.0,0.852470500221036,1.0,2018.0,4.0,27.0,4.0,4.281889671924319
5.0,0.852470500221036,1.0,2018.0,4.0,27.0,5.0,5.134360172145355
5.0,1.5431520816880733,1.0,2018.0,4.0,27.0,6.0,6.677512253833428
5.0,3.4922982711258896,1.0,2018.0,4.0,27.0,7.0,10.169810524959317
5.0,29.30392589500132,1.0,2018.0,4.0,27.0,8.0,39.47373641996064
5.0,40.55657051507136,1.0,2018.0,4.0,27.0,9.0,80.030306935032
5.0,57.26820508393033,1.0,2018.0,4.0,27.0,10.0,137.29851201896233
5.0,50.12212495954116,1.0,2018.0,4.0,27.0,11.0,187.4206369785035
5.0,42.73195089091925,1.0,2018.0,4.0,27.0,12.0,230.15258786942275
5.0,39.3718405975732,1.0,2018.0,4.0,27.0,13.0,269.5244284669959
5.0,22.55147096314433,1.0,2018.0,4.0,27.0,14.0,292.0758994301403
5.0,42.61201702837014,1.0,2018.0,4.0,27.0,15.0,334.6879164585104
5.0,24.809422963825295,1.0,2018.0,4.0,27.0,16.0,359.4973394223357
5.0,10.56505891189278,1.0,2018.0,4.0,27.0,17.0,370.0623983342285
5.0,19.855281629337693,1.0,2018.0,4.0,27.0,18.0,389.9176799635662
5.0,11.634805943259549,1.0,2018.0,4.0,27.0,19.0,401.5524859068257
5.0,17.449868219186214,1.0,2018.0,4.0,27.0,20.0,419.00235412601194
5.0,22.38583317399868,1.0,2018.0,4.0,27.0,21.0,441.3881873000106
5.0,25.34535546319325,1.0,2018.0,4.0,27.0,22.0,466.73354276320384
5.0,10.098530769386649,1.0,2018.0,4.0,27.0,23.0,476.8320735325905
6.0,10.367949397429296,0.0,2018.0,4.0,28.0,0.0,10.367949397429296
6.0,5.803328874422233,0.0,2018.0,4.0,28.0,1.0,16.171278271851527
6.0,3.482599531007614,0.0,2018.0,4.0,28.0,2.0,19.653877802859142
6.0,0.8651350805093314,0.0,2018.0,4.0,28.0,3.0,20.519012883368475
6.0,0.8651350805093314,0.0,2018.0,4.0,28.0,4.0,21.384147963877805
6.0,2.5860308814424577,0.0,2018.0,4.0,28.0,5.0,23.970178845320262
6.0,6.665153743028771,0.0,2018.0,4.0,28.0,6.0,30.635332588349034
6.0,14.588196515180378,0.0,2018.0,4.0,28.0,7.0,45.223529103529415
6.0,19.894625725928996,0.0,2018.0,4.0,28.0,8.0,65.1181548294584
6.0,20.114044945136413,0.0,2018.0,4.0,28.0,9.0,85.23219977459482
6.0,22.964729534812868,0.0,2018.0,4.0,28.0,10.0,108.1969293094077
6.0,37.99575704877003,0.0,2018.0,4.0,28.0,11.0,146.19268635817772
6.0,34.281976248198646,0.0,2018.0,4.0,28.0,12.0,180.47466260637637
6.0,23.183012894119702,0.0,2018.0,4.0,28.0,13.0,203.65767550049608
6.0,15.000631800947469,0.0,2018.0,4.0,28.0,14.0,218.65830730144353
6.0,7.309956683419206,0.0,2018.0,4.0,28.0,15.0,225.96826398486274
6.0,21.838944612944932,0.0,2018.0,4.0,28.0,16.0,247.8072085978077
6.0,9.685410909357739,0.0,2018.0,4.0,28.0,17.0,257.49261950716544
6.0,7.692638428376737,0.0,2018.0,4.0,28.0,18.0,265.18525793554215
6.0,12.310321948453005,0.0,2018.0,4.0,28.0,19.0,277.49557988399516
6.0,14.022929121463541,0.0,2018.0,4.0,28.0,20.0,291.5185090054587
6.0,8.467767061254214,0.0,2018.0,4.0,28.0,21.0,299.9862760667129
6.0,1.853741963293824,0.0,2018.0,4.0,28.0,22.0,301.8400180300067
6.0,12.96272815530703,0.0,2018.0,4.0,28.0,23.0,314.80274618531377
7.0,2.3613963039014374,0.0,2018.0,4.0,29.0,0.0,2.3613963039014374
7.0,2.3613963039014374,0.0,2018.0,4.0,29.0,1.0,4.722792607802875
7.0,2.3613963039014374,0.0,2018.0,4.0,29.0,2.0,7.084188911704312
7.0,2.2606947647753297,0.0,2018.0,4.0,29.0,3.0,9.344883676479641
7.0,2.5310595074142648,0.0,2018.0,4.0,29.0,4.0,11.875943183893906
7.0,2.3613963039014374,0.0,2018.0,4.0,29.0,5.0,14.237339487795344
7.0,0.014430755190509,0.0,2018.0,4.0,29.0,6.0,14.251770242985852
7.0,0.0,0.0,2018.0,4.0,29.0,7.0,14.251770242985852
7.0,0.0,0.0,2018.0,4.0,29.0,8.0,14.251770242985852
7.0,1.823712477396022,0.0,2018.0,4.0,29.0,9.0,16.075482720381874
7.0,4.164910412238501,0.0,2018.0,4.0,29.0,10.0,20.240393132620376
7.0,11.996067153525459,0.0,2018.0,4.0,29.0,11.0,32.236460286145835
7.0,28.02159892346905,0.0,2018.0,4.0,29.0,12.0,60.258059209614885
7.0,29.186928212312445,0.0,2018.0,4.0,29.0,13.0,89.44498742192732
7.0,23.957600830648342,0.0,2018.0,4.0,29.0,14.0,113.40258825257567
7.0,16.983955264423415,0.0,2018.0,4.0,29.0,15.0,130.3865435169991
7.0,15.242698703368758,0.0,2018.0,4.0,29.0,16.0,145.62924222036784
7.0,20.84163551119297,0.0,2018.0,4.0,29.0,17.0,166.47087773156082
7.0,23.659074675986005,0.0,2018.0,4.0,29.0,18.0,190.12995240754682
7.0,23.96897330071001,0.0,2018.0,4.0,29.0,19.0,214.09892570825684
7.0,8.22752206079604,0.0,2018.0,4.0,29.0,20.0,222.32644776905286
7.0,5.412714010990048,0.0,2018.0,4.0,29.0,21.0,227.7391617800429
7.0,12.084744236417913,0.0,2018.0,4.0,29.0,22.0,239.82390601646082
7.0,2.54278161985362,0.0,2018.0,4.0,29.0,23.0,242.36668763631445
1.0,2.3223274024879834,1.0,2018.0,4.0,30.0,0.0,2.3223274024879834
1.0,1.621001239490577,1.0,2018.0,4.0,30.0,1.0,3.9433286419785603
1.0,2.3223274024879834,1.0,2018.0,4.0,30.0,2.0,6.265656044466544
1.0,2.3223274024879834,1.0,2018.0,4.0,30.0,3.0,8.587983446954528
1.0,2.3223274024879834,1.0,2018.0,4.0,30.0,4.0,10.91031084944251
1.0,1.275989889478108,1.0,2018.0,4.0,30.0,5.0,12.186300738920618
1.0,2.5574441175724694,1.0,2018.0,4.0,30.0,6.0,14.743744856493088
1.0,6.7036212523716365,1.0,2018.0,4.0,30.0,7.0,21.447366108864724
1.0,23.043840121147745,1.0,2018.0,4.0,30.0,8.0,44.491206230012466
1.0,43.63542090474616,1.0,2018.0,4.0,30.0,9.0,88.12662713475864
1.0,38.89076269870922,1.0,2018.0,4.0,30.0,10.0,127.01738983346786
1.0,32.87886808629687,1.0,2018.0,4.0,30.0,11.0,159.8962579197647
1.0,25.411399299998585,1.0,2018.0,4.0,30.0,12.0,185.3076572197633
1.0,36.830052271570466,1.0,2018.0,4.0,30.0,13.0,222.13770949133377
1.0,22.36717543070513,1.0,2018.0,4.0,30.0,14.0,244.5048849220389
1.0,17.336069994018864,1.0,2018.0,4.0,30.0,15.0,261.84095491605774
1.0,34.55807710052409,1.0,2018.0,4.0,30.0,16.0,296.3990320165818
1.0,27.994380119080056,1.0,2018.0,4.0,30.0,17.0,324.3934121356619
1.0,30.394230438363127,1.0,2018.0,4.0,30.0,18.0,354.787642574025
1.0,11.02703703787865,1.0,2018.0,4.0,30.0,19.0,365.81467961190367
1.0,24.28661712282692,1.0,2018.0,4.0,30.0,20.0,390.1012967347306
1.0,7.283825556647876,1.0,2018.0,4.0,30.0,21.0,397.3851222913785
1.0,5.126568736049409,1.0,2018.0,4.0,30.0,22.0,402.5116910274279
1.0,12.089670253476747,1.0,2018.0,4.0,30.0,23.0,414.60136128090465
2.0,3.0134578711205844,1.0,2018.0,5.0,1.0,0.0,3.0134578711205844
2.0,3.0134578711205844,1.0,2018.0,5.0,1.0,1.0,6.026915742241169
2.0,3.332665918112452,1.0,2018.0,5.0,1.0,2.0,9.359581660353621
2.0,3.0134578711205844,1.0,2018.0,5.0,1.0,3.0,12.373039531474205
2.0,3.0134578711205844,1.0,2018.0,5.0,1.0,4.0,15.38649740259479
2.0,3.0134578711205844,1.0,2018.0,5.0,1.0,5.0,18.399955273715374
2.0,7.54338402592228,1.0,2018.0,5.0,1.0,6.0,25.943339299637653
2.0,12.263556449145264,1.0,2018.0,5.0,1.0,7.0,38.20689574878292
2.0,28.898837270392296,1.0,2018.0,5.0,1.0,8.0,67.1057330191752
2.0,48.00725912203189,1.0,2018.0,5.0,1.0,9.0,115.1129921412071
2.0,47.75055247936073,1.0,2018.0,5.0,1.0,10.0,162.86354462056784
2.0,37.01063697982465,1.0,2018.0,5.0,1.0,11.0,199.8741816003925
2.0,44.74628679922063,1.0,2018.0,5.0,1.0,12.0,244.62046839961312
2.0,30.2436413465454,1.0,2018.0,5.0,1.0,13.0,274.86410974615853
2.0,26.566320587186688,1.0,2018.0,5.0,1.0,14.0,301.4304303333452
2.0,16.959989470502677,1.0,2018.0,5.0,1.0,15.0,318.39041980384786
2.0,9.910404180522336,1.0,2018.0,5.0,1.0,16.0,328.3008239843702
2.0,6.8333192506156815,1.0,2018.0,5.0,1.0,17.0,335.1341432349859
2.0,3.520461179757557,1.0,2018.0,5.0,1.0,18.0,338.65460441474346
2.0,18.63296683087728,1.0,2018.0,5.0,1.0,19.0,357.2875712456207
2.0,16.944402780875812,1.0,2018.0,5.0,1.0,20.0,374.2319740264965
2.0,36.3579028201676,1.0,2018.0,5.0,1.0,21.0,410.58987684666414
2.0,15.53887172333632,1.0,2018.0,5.0,1.0,22.0,426.1287485700005
2.0,23.86668361090682,1.0,2018.0,5.0,1.0,23.0,449.9954321809073
3.0,4.700498656257798,1.0,2018.0,5.0,2.0,0.0,4.700498656257798
3.0,3.542173652769729,1.0,2018.0,5.0,2.0,1.0,8.242672309027526
3.0,4.129362748014849,1.0,2018.0,5.0,2.0,2.0,12.372035057042375
3.0,4.129362748014849,1.0,2018.0,5.0,2.0,3.0,16.501397805057223
3.0,4.129362748014849,1.0,2018.0,5.0,2.0,4.0,20.630760553072072
3.0,7.211271754516279,1.0,2018.0,5.0,2.0,5.0,27.84203230758835
3.0,5.031465689293297,1.0,2018.0,5.0,2.0,6.0,32.873497996881646
