Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
2.0,0.8762457202415003,1.0,2018.0,1.0,2.0,0.0,0.8762457202415003
2.0,3.1795763172189115,1.0,2018.0,1.0,2.0,1.0,4.055822037460412
2.0,2.7415013579576213,1.0,2018.0,1.0,2.0,2.0,6.797323395418033
2.0,0.0,1.0,2018.0,1.0,2.0,3.0,6.797323395418033
2.0,0.9539829442332977,1.0,2018.0,1.0,2.0,4.0,7.751306339651331
2.0,0.0,1.0,2018.0,1.0,2.0,5.0,7.751306339651331
2.0,0.23277016190781585,1.0,2018.0,1.0,2.0,6.0,7.984076501559146
2.0,0.0,1.0,2018.0,1.0,2.0,7.0,7.984076501559146
2.0,0.0,1.0,2018.0,1.0,2.0,8.0,7.984076501559146
2.0,0.0,1.0,2018.0,1.0,2.0,9.0,7.984076501559146
2.0,0.0,1.0,2018.0,1.0,2.0,10.0,7.984076501559146
2.0,0.0,1.0,2018.0,1.0,2.0,11.0,7.984076501559146
2.0,0.0,1.0,2018.0,1.0,2.0,12.0,7.984076501559146
2.0,0.516528237420593,1.0,2018.0,1.0,2.0,13.0,8.500604738979739
2.0,0.0,1.0,2018.0,1.0,2.0,14.0,8.500604738979739
2.0,1.3790284929704395,1.0,2018.0,1.0,2.0,15.0,9.879633231950178
2.0,1.5224914699516894,1.0,2018.0,1.0,2.0,16.0,11.402124701901869
2.0,0.0,1.0,2018.0,1.0,2.0,17.0,11.402124701901869
2.0,2.019898713750443,1.0,2018.0,1.0,2.0,18.0,13.422023415652312
2.0,2.041207681635446,1.0,2018.0,1.0,2.0,19.0,15.463231097287757
2.0,0.0,1.0,2018.0,1.0,2.0,20.0,15.463231097287757
2.0,0.0,1.0,2018.0,1.0,2.0,21.0,15.463231097287757
2.0,0.0,1.0,2018.0,1.0,2.0,22.0,15.463231097287757
2.0,1.8097912509533445,1.0,2018.0,1.0,2.0,23.0,17.273022348241103
3.0,0.0,1.0,2018.0,1.0,3.0,0.0,0.0
3.0,0.0,1.0,2018.0,1.0,3.0,1.0,0.0
3.0,0.0,1.0,2018.0,1.0,3.0,2.0,0.0
3.0,0.0025063014496976756,1.0,2018.0,1.0,3.0,3.0,0.0025063014496976756
3.0,0.4560774747021232,1.0,2018.0,1.0,3.0,4.0,0.45858377615182083
3.0,4.087352852399632,1.0,2018.0,1.0,3.0,5.0,4.545936628551453
3.0,1.171400051775319,1.0,2018.0,1.0,3.0,6.0,5.717336680326772
3.0,3.5332894657410368,1.0,2018.0,1.0,3.0,7.0,9.250626146067809
3.0,0.0,1.0,2018.0,1.0,3.0,8.0,9.250626146067809
3.0,0.0,1.0,2018.0,1.0,3.0,9.0,9.250626146067809
3.0,0.628855690775485,1.0,2018.0,1.0,3.0,10.0,9.879481836843294
3.0,0.7800973552171949,1.0,2018.0,1.0,3.0,11.0,10.65957919206049
3.0,1.0581485376257407,1.0,2018.0,1.0,3.0,12.0,11.71772772968623
3.0,0.0,1.0,2018.0,1.0,3.0,13.0,11.71772772968623
3.0,0.0,1.0,2018.0,1.0,3.0,14.0,11.71772772968623
3.0,0.0,1.0,2018.0,1.0,3.0,15.0,11.71772772968623
3.0,2.487934197117492,1.0,2018.0,1.0,3.0,16.0,14.205661926803721
3.0,1.9669337864086989,1.0,2018.0,1.0,3.0,17.0,16.17259571321242
3.0,2.4353841676911627,1.0,2018.0,1.0,3.0,18.0,18.607979880903585
3.0,0.0,1.0,2018.0,1.0,3.0,19.0,18.607979880903585
3.0,0.0,1.0,2018.0,1.0,3.0,20.0,18.607979880903585
