Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
1.0,26.510645161290324,1.0,2017.0,1.0,9.0,0.0,26.510645161290324
1.0,21.573030489457288,1.0,2017.0,1.0,9.0,1.0,48.08367565074761
1.0,20.142258064516128,1.0,2017.0,1.0,9.0,2.0,68.22593371526374
1.0,0.0,1.0,2017.0,1.0,9.0,3.0,68.22593371526374
1.0,17.247312866984785,1.0,2017.0,1.0,9.0,4.0,85.47324658224852
1.0,9.304615384615383,1.0,2017.0,1.0,9.0,5.0,94.77786196686391
1.0,17.095384615384617,1.0,2017.0,1.0,9.0,6.0,111.87324658224853
1.0,32.85178561713898,1.0,2017.0,1.0,9.0,7.0,144.7250321993875
1.0,10.554505369244389,1.0,2017.0,1.0,9.0,8.0,155.2795375686319
1.0,43.6774258333538,1.0,2017.0,1.0,9.0,9.0,198.9569634019857
1.0,50.734146439105395,1.0,2017.0,1.0,9.0,10.0,249.69110984109108
1.0,50.74050276460381,1.0,2017.0,1.0,9.0,11.0,300.4316126056949
1.0,68.12439560199705,1.0,2017.0,1.0,9.0,12.0,368.55600820769195
1.0,64.71495372882353,1.0,2017.0,1.0,9.0,13.0,433.2709619365155
1.0,86.51886790835573,1.0,2017.0,1.0,9.0,14.0,519.7898298448712
1.0,87.15896471337706,1.0,2017.0,1.0,9.0,15.0,606.9487945582482
1.0,82.9923065984128,1.0,2017.0,1.0,9.0,16.0,689.941101156661
1.0,76.85229410749895,1.0,2017.0,1.0,9.0,17.0,766.79339526416
1.0,41.46249008251949,1.0,2017.0,1.0,9.0,18.0,808.2558853466795
1.0,25.232254124254123,1.0,2017.0,1.0,9.0,19.0,833.4881394709337
1.0,80.2302208976778,1.0,2017.0,1.0,9.0,20.0,913.7183603686115
1.0,65.99245186335403,1.0,2017.0,1.0,9.0,21.0,979.7108122319654
1.0,65.03040210444549,1.0,2017.0,1.0,9.0,22.0,1044.7412143364108
1.0,74.61040886954454,1.0,2017.0,1.0,9.0,23.0,1119.3516232059555
2.0,29.855843658481643,1.0,2017.0,1.0,10.0,0.0,29.855843658481643
2.0,88.04998314063761,1.0,2017.0,1.0,10.0,1.0,117.90582679911925
2.0,41.87185865581853,1.0,2017.0,1.0,10.0,2.0,159.7776854549378
2.0,53.57597143481245,1.0,2017.0,1.0,10.0,3.0,213.35365688975023
2.0,59.355817918056644,1.0,2017.0,1.0,10.0,4.0,272.7094748078069
2.0,20.23782673148535,1.0,2017.0,1.0,10.0,5.0,292.9473015392922
2.0,55.199521773379146,1.0,2017.0,1.0,10.0,6.0,348.14682331267136
2.0,64.28595976566729,1.0,2017.0,1.0,10.0,7.0,412.4327830783387
2.0,75.5534795308311,1.0,2017.0,1.0,10.0,8.0,487.9862626091698
2.0,33.1624737946859,1.0,2017.0,1.0,10.0,9.0,521.1487364038557
2.0,87.13869392513503,1.0,2017.0,1.0,10.0,10.0,608.2874303289907
2.0,26.02078905196312,1.0,2017.0,1.0,10.0,11.0,634.3082193809538
2.0,86.19944624638622,1.0,2017.0,1.0,10.0,12.0,720.50766562734
2.0,78.63562158470458,1.0,2017.0,1.0,10.0,13.0,799.1432872120446
2.0,78.02166286305557,1.0,2017.0,1.0,10.0,14.0,877.1649500751001
2.0,72.77373491469207,1.0,2017.0,1.0,10.0,15.0,949.9386849897923
2.0,76.22000757910403,1.0,2017.0,1.0,10.0,16.0,1026.1586925688962
2.0,67.51244996194774,1.0,2017.0,1.0,10.0,17.0,1093.671142530844
2.0,77.02747319129591,1.0,2017.0,1.0,10.0,18.0,1170.69861572214
2.0,77.3071486022282,1.0,2017.0,1.0,10.0,19.0,1248.005764324368
2.0,82.19789887429124,1.0,2017.0,1.0,10.0,20.0,1330.2036631986593
2.0,74.55632158145795,1.0,2017.0,1.0,10.0,21.0,1404.7599847801173
2.0,63.569588837061325,1.0,2017.0,1.0,10.0,22.0,1468.3295736171785
2.0,41.3897628458498,1.0,2017.0,1.0,10.0,23.0,1509.7193364630284
3.0,18.059008175835835,1.0,2017.0,1.0,11.0,0.0,18.059008175835835
3.0,38.970861344537816,1.0,2017.0,1.0,11.0,1.0,57.02986952037365
3.0,17.73857298692773,1.0,2017.0,1.0,11.0,2.0,74.76844250730139
3.0,10.737058823529413,1.0,2017.0,1.0,11.0,3.0,85.5055013308308
3.0,38.3856981981982,1.0,2017.0,1.0,11.0,4.0,123.891199529029
3.0,38.196209930861095,1.0,2017.0,1.0,11.0,5.0,162.0874094598901
3.0,11.09946574481458,1.0,2017.0,1.0,11.0,6.0,173.18687520470468
3.0,24.86031846819629,1.0,2017.0,1.0,11.0,7.0,198.04719367290096
3.0,39.166199088371215,1.0,2017.0,1.0,11.0,8.0,237.2133927612722
3.0,64.80280580510356,1.0,2017.0,1.0,11.0,9.0,302.01619856637575
3.0,82.65944470473512,1.0,2017.0,1.0,11.0,10.0,384.67564327111086
3.0,100.10968713304064,1.0,2017.0,1.0,11.0,11.0,484.7853304041515
3.0,79.24649392169805,1.0,2017.0,1.0,11.0,12.0,564.0318243258496
3.0,60.49752418558229,1.0,2017.0,1.0,11.0,13.0,624.5293485114319
3.0,85.9799746642687,1.0,2017.0,1.0,11.0,14.0,710.5093231757005
3.0,80.88737133666572,1.0,2017.0,1.0,11.0,15.0,791.3966945123663
3.0,53.29197966491036,1.0,2017.0,1.0,11.0,16.0,844.6886741772767
3.0,69.917992855569,1.0,2017.0,1.0,11.0,17.0,914.6066670328456
