Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
4.0,3.0119078998073223,1.0,2017.0,6.0,1.0,9.0,3.0119078998073223
4.0,3.922890173410405,1.0,2017.0,6.0,1.0,10.0,6.934798073217728
4.0,6.08570954859435,1.0,2017.0,6.0,1.0,11.0,13.020507621812078
4.0,6.8918753244225925,1.0,2017.0,6.0,1.0,12.0,19.912382946234672
4.0,6.241619458128081,1.0,2017.0,6.0,1.0,13.0,26.15400240436275
4.0,4.298771590329215,1.0,2017.0,6.0,1.0,14.0,30.452773994691967
4.0,0.0,1.0,2017.0,6.0,1.0,15.0,30.452773994691967
4.0,3.097612220224197,1.0,2017.0,6.0,1.0,16.0,33.550386214916166
4.0,0.0,1.0,2017.0,6.0,1.0,17.0,33.550386214916166
4.0,0.0,1.0,2017.0,6.0,1.0,18.0,33.550386214916166
4.0,2.622298483980175,1.0,2017.0,6.0,1.0,19.0,36.17268469889634
4.0,0.0,1.0,2017.0,6.0,1.0,20.0,36.17268469889634
4.0,2.760162708381999,1.0,2017.0,6.0,1.0,21.0,38.93284740727834
4.0,0.0,1.0,2017.0,6.0,1.0,22.0,38.93284740727834
4.0,0.0,1.0,2017.0,6.0,1.0,23.0,38.93284740727834
5.0,0.0,1.0,2017.0,6.0,2.0,0.0,0.0
5.0,0.0,1.0,2017.0,6.0,2.0,1.0,0.0
5.0,0.0,1.0,2017.0,6.0,2.0,2.0,0.0
5.0,0.0,1.0,2017.0,6.0,2.0,3.0,0.0
5.0,0.0,1.0,2017.0,6.0,2.0,4.0,0.0
5.0,0.0,1.0,2017.0,6.0,2.0,5.0,0.0
5.0,0.0,1.0,2017.0,6.0,2.0,6.0,0.0
5.0,0.053759407909271674,1.0,2017.0,6.0,2.0,7.0,0.053759407909271674
5.0,5.5704264247370885,1.0,2017.0,6.0,2.0,8.0,5.6241858326463605
5.0,39.28130066368125,1.0,2017.0,6.0,2.0,9.0,44.90548649632761
5.0,42.18875895396253,1.0,2017.0,6.0,2.0,10.0,87.09424545029015
5.0,40.506484521682765,1.0,2017.0,6.0,2.0,11.0,127.6007299719729
5.0,3.861658748888819,1.0,2017.0,6.0,2.0,12.0,131.46238872086172
5.0,0.4705037660611431,1.0,2017.0,6.0,2.0,13.0,131.93289248692287
5.0,9.358085954807269,1.0,2017.0,6.0,2.0,14.0,141.29097844173015
5.0,17.229396602451175,1.0,2017.0,6.0,2.0,15.0,158.52037504418132
