Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
3,18.547996544472003,1,2018,4,25,4,18.547996544472003
3,18.547996544472003,1,2018,4,25,5,37.095993088944006
3,3.2208902312992884,1,2018,4,25,6,40.31688332024329
3,18.547996544472003,1,2018,4,25,7,58.8648798647153
3,36.98141421874602,1,2018,4,25,8,95.84629408346132
3,51.887012814303375,1,2018,4,25,9,147.7333068977647
3,44.69098599976856,1,2018,4,25,10,192.42429289753323
3,18.547996544472003,1,2018,4,25,11,210.97228944200526
3,17.538789181783187,1,2018,4,25,12,228.51107862378845
3,18.547996544472003,1,2018,4,25,13,247.05907516826045
3,19.441455381662983,1,2018,4,25,14,266.50053054992344
3,14.52015012669496,1,2018,4,25,15,281.0206806766184
3,10.90325327667984,1,2018,4,25,16,291.9239339532982
3,18.547996544472003,1,2018,4,25,17,310.47193049777024
3,18.547996544472003,1,2018,4,25,18,329.0199270422422
3,25.54055590604801,1,2018,4,25,19,354.56048294829026
3,27.481068999204933,1,2018,4,25,20,382.0415519474952
3,18.547996544472003,1,2018,4,25,21,400.58954849196715
3,1.653921866080151,1,2018,4,25,22,402.2434703580473
3,1.2903745380590743,1,2018,4,25,23,403.5338448961064
4,18.547996544472003,1,2018,4,26,0,18.547996544472003
4,1.913275392759929,1,2018,4,26,1,20.46127193723193
4,1.8280148745097196,1,2018,4,26,2,22.28928681174165
4,1.7853846153846156,1,2018,4,26,3,24.07467142712627
4,18.547996544472003,1,2018,4,26,4,42.62266797159827
4,18.547996544472003,1,2018,4,26,5,61.170664516070275
4,18.547996544472003,1,2018,4,26,6,79.71866106054227
4,18.547996544472003,1,2018,4,26,7,98.26665760501427
4,27.158704639975955,1,2018,4,26,8,125.42536224499023
4,18.547996544472003,1,2018,4,26,9,143.97335878946222
4,42.31080708634582,1,2018,4,26,10,186.28416587580807
4,37.86307485139015,1,2018,4,26,11,224.1472407271982
4,27.121191535787705,1,2018,4,26,12,251.26843226298593
4,23.589512942113195,1,2018,4,26,13,274.8579452050991
4,18.547996544472003,1,2018,4,26,14,293.4059417495711
4,18.547996544472003,1,2018,4,26,15,311.9539382940431
4,15.33235624896979,1,2018,4,26,16,327.2862945430129
4,9.432365475682229,1,2018,4,26,17,336.7186600186951
4,8.32950831455281,1,2018,4,26,18,345.04816833324793
4,16.00404498006937,1,2018,4,26,19,361.05221331331734
4,14.016296443057026,1,2018,4,26,20,375.06850975637434
4,18.547996544472003,1,2018,4,26,21,393.61650630084637
4,18.547996544472003,1,2018,4,26,22,412.16450284531834
4,18.547996544472003,1,2018,4,26,23,430.71249938979037
5,0.852470500221036,1,2018,4,27,0,0.852470500221036
5,0.852470500221036,1,2018,4,27,1,1.704941000442072
5,0.852470500221036,1,2018,4,27,2,2.557411500663108
5,18.547996544472003,1,2018,4,27,3,21.10540804513511
5,0.852470500221036,1,2018,4,27,4,21.957878545356145
5,0.852470500221036,1,2018,4,27,5,22.810349045577183
5,1.5431520816880733,1,2018,4,27,6,24.353501127265254
5,5.773364298793665,1,2018,4,27,7,30.12686542605892
5,29.30392589500132,1,2018,4,27,8,59.43079132106024
5,18.547996544472003,1,2018,4,27,9,77.97878786553224
5,57.26820508393033,1,2018,4,27,10,135.2469929494626
5,50.12212495954116,1,2018,4,27,11,185.36911790900373
5,35.646169122370345,1,2018,4,27,12,221.0152870313741
5,18.547996544472003,1,2018,4,27,13,239.5632835758461
5,22.55147096314433,1,2018,4,27,14,262.11475453899044
5,13.019300316615446,1,2018,4,27,15,275.1340548556059
5,12.35296136564535,1,2018,4,27,16,287.4870162212512
5,10.56505891189278,1,2018,4,27,17,298.052075133144
5,19.855281629337693,1,2018,4,27,18,317.9073567624817
5,23.73289314309996,1,2018,4,27,19,341.64024990558164
5,17.449868219186214,1,2018,4,27,20,359.09011812476786
5,13.876753582211968,1,2018,4,27,21,372.9668717069798
5,7.577521324211155,1,2018,4,27,22,380.54439303119096
5,18.547996544472003,1,2018,4,27,23,399.092389575663
6,10.367949397429296,0,2018,4,28,0,10.367949397429296
6,18.547996544472003,0,2018,4,28,1,28.9159459419013
6,18.547996544472003,0,2018,4,28,2,47.4639424863733
6,18.547996544472003,0,2018,4,28,3,66.0119390308453
6,18.547996544472003,0,2018,4,28,4,84.55993557531731
6,2.5860308814424577,0,2018,4,28,5,87.14596645675977
6,18.547996544472003,0,2018,4,28,6,105.69396300123177
6,3.818257509175265,0,2018,4,28,7,109.51222051040703
6,18.547996544472003,0,2018,4,28,8,128.06021705487905
6,18.547996544472003,0,2018,4,28,9,146.60821359935105
6,18.547996544472003,0,2018,4,28,10,165.15621014382305
6,37.99575704877003,0,2018,4,28,11,203.15196719259308
6,34.281976248198646,0,2018,4,28,12,237.43394344079172
6,18.547996544472003,0,2018,4,28,13,255.98193998526372
6,18.547996544472003,0,2018,4,28,14,274.5299365297357
6,18.547996544472003,0,2018,4,28,15,293.07793307420775
6,18.547996544472003,0,2018,4,28,16,311.6259296186797
6,18.547996544472003,0,2018,4,28,17,330.17392616315175
6,18.547996544472003,0,2018,4,28,18,348.7219227076237
6,14.70290901294462,0,2018,4,28,19,363.42483172056836
6,18.547996544472003,0,2018,4,28,20,381.97282826504033
6,8.467767061254214,0,2018,4,28,21,390.44059532629456
6,18.547996544472003,0,2018,4,28,22,408.9885918707666
6,18.547996544472003,0,2018,4,28,23,427.5365884152386
7,2.3613963039014374,0,2018,4,29,0,2.3613963039014374
7,2.3613963039014374,0,2018,4,29,1,4.722792607802875
7,2.3613963039014374,0,2018,4,29,2,7.084188911704312
7,18.547996544472003,0,2018,4,29,3,25.632185456176316
7,2.3613963039014374,0,2018,4,29,4,27.993581760077753
7,2.3613963039014374,0,2018,4,29,5,30.35497806397919
7,18.547996544472003,0,2018,4,29,6,48.902974608451196
7,0.0,0,2018,4,29,7,48.902974608451196
