Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
4,18.656783059933023,1,2017,6,1,9,18.656783059933023
4,3.922890173410405,1,2017,6,1,10,22.579673233343428
4,18.656783059933023,1,2017,6,1,11,41.23645629327645
4,18.656783059933023,1,2017,6,1,12,59.893239353209474
4,18.656783059933023,1,2017,6,1,13,78.5500224131425
4,0.0,1,2017,6,1,14,78.5500224131425
4,18.656783059933023,1,2017,6,1,15,97.20680547307552
4,18.656783059933023,1,2017,6,1,16,115.86358853300854
4,0.0,1,2017,6,1,17,115.86358853300854
4,0.0,1,2017,6,1,18,115.86358853300854
4,0.0,1,2017,6,1,19,115.86358853300854
4,0.0,1,2017,6,1,20,115.86358853300854
4,0.0,1,2017,6,1,21,115.86358853300854
4,18.656783059933023,1,2017,6,1,22,134.52037159294156
4,0.0,1,2017,6,1,23,134.52037159294156
5,18.656783059933023,1,2017,6,2,0,18.656783059933023
5,0.0,1,2017,6,2,1,18.656783059933023
5,18.656783059933023,1,2017,6,2,2,37.313566119866046
5,18.656783059933023,1,2017,6,2,3,55.97034917979907
5,0.0,1,2017,6,2,4,55.97034917979907
5,0.0,1,2017,6,2,5,55.97034917979907
5,0.0,1,2017,6,2,6,55.97034917979907
5,18.656783059933023,1,2017,6,2,7,74.62713223973209
5,11.477797111784636,1,2017,6,2,8,86.10492935151673
5,18.656783059933023,1,2017,6,2,9,104.76171241144975
5,18.656783059933023,1,2017,6,2,10,123.41849547138277
5,40.506484521682765,1,2017,6,2,11,163.92497999306553
5,3.861658748888819,1,2017,6,2,12,167.78663874195436
5,0.4705037660611431,1,2017,6,2,13,168.2571425080155
5,9.358085954807269,1,2017,6,2,14,177.61522846282276
5,7.7724102791315905,1,2017,6,2,15,185.38763874195436
5,6.519816877152717,1,2017,6,2,16,191.90745561910708
5,8.198163030998876,1,2017,6,2,17,200.10561865010595
5,1.1500200918484074,1,2017,6,2,18,201.25563874195436
5,0.0,1,2017,6,2,19,201.25563874195436
5,0.0,1,2017,6,2,20,201.25563874195436
5,18.656783059933023,1,2017,6,2,21,219.91242180188738
5,0.0,1,2017,6,2,22,219.91242180188738
5,0.0,1,2017,6,2,23,219.91242180188738
6,0.0,0,2017,6,3,0,0.0
6,0.0,0,2017,6,3,1,0.0
6,0.0,0,2017,6,3,2,0.0
6,18.656783059933023,0,2017,6,3,3,18.656783059933023
6,18.656783059933023,0,2017,6,3,4,37.313566119866046
6,18.656783059933023,0,2017,6,3,5,55.97034917979907
6,18.656783059933023,0,2017,6,3,6,74.62713223973209
6,0.0,0,2017,6,3,7,74.62713223973209
6,18.656783059933023,0,2017,6,3,8,93.28391529966511
6,18.656783059933023,0,2017,6,3,9,111.94069835959814
6,0.0,0,2017,6,3,10,111.94069835959814
6,18.656783059933023,0,2017,6,3,11,130.59748141953116
6,0.0,0,2017,6,3,12,130.59748141953116
6,18.656783059933023,0,2017,6,3,13,149.25426447946418
6,0.0,0,2017,6,3,14,149.25426447946418
6,0.0,0,2017,6,3,15,149.25426447946418
6,18.656783059933023,0,2017,6,3,16,167.9110475393972
6,0.0,0,2017,6,3,17,167.9110475393972
6,0.0,0,2017,6,3,18,167.9110475393972
6,18.656783059933023,0,2017,6,3,19,186.56783059933022
6,0.0,0,2017,6,3,20,186.56783059933022
6,18.656783059933023,0,2017,6,3,21,205.22461365926324
6,0.0,0,2017,6,3,22,205.22461365926324
6,18.656783059933023,0,2017,6,3,23,223.8813967191963
7,0.0,0,2017,6,4,0,0.0
7,0.0,0,2017,6,4,1,0.0
7,0.0,0,2017,6,4,2,0.0
7,0.0,0,2017,6,4,3,0.0
7,0.0,0,2017,6,4,4,0.0
7,0.0,0,2017,6,4,5,0.0
7,18.656783059933023,0,2017,6,4,6,18.656783059933023
7,18.656783059933023,0,2017,6,4,7,37.313566119866046
7,0.0,0,2017,6,4,8,37.313566119866046
7,0.0,0,2017,6,4,9,37.313566119866046
7,0.0,0,2017,6,4,10,37.313566119866046
7,18.656783059933023,0,2017,6,4,11,55.97034917979907
7,18.656783059933023,0,2017,6,4,12,74.62713223973209
7,0.0,0,2017,6,4,13,74.62713223973209
7,18.656783059933023,0,2017,6,4,14,93.28391529966511
7,0.0,0,2017,6,4,15,93.28391529966511
7,18.656783059933023,0,2017,6,4,16,111.94069835959814
7,18.656783059933023,0,2017,6,4,17,130.59748141953116
7,0.0,0,2017,6,4,18,130.59748141953116
7,0.0,0,2017,6,4,19,130.59748141953116
7,0.0,0,2017,6,4,20,130.59748141953116
7,18.656783059933023,0,2017,6,4,21,149.25426447946418
7,0.0,0,2017,6,4,22,149.25426447946418
7,0.0,0,2017,6,4,23,149.25426447946418
1,18.656783059933023,1,2017,6,5,0,18.656783059933023
1,18.656783059933023,1,2017,6,5,1,37.313566119866046
1,18.656783059933023,1,2017,6,5,2,55.97034917979907
1,0.0,1,2017,6,5,3,55.97034917979907
1,18.656783059933023,1,2017,6,5,4,74.62713223973209
1,18.656783059933023,1,2017,6,5,5,93.28391529966511
1,18.656783059933023,1,2017,6,5,6,111.94069835959814
1,0.0,1,2017,6,5,7,111.94069835959814
1,0.0,1,2017,6,5,8,111.94069835959814
1,15.562773756253492,1,2017,6,5,9,127.50347211585162
1,33.74486860014595,1,2017,6,5,10,161.24834071599759
1,18.656783059933023,1,2017,6,5,11,179.9051237759306
1,11.065971503957693,1,2017,6,5,12,190.9710952798883
1,0.0,1,2017,6,5,13,190.9710952798883
1,18.656783059933023,1,2017,6,5,14,209.6278783398213
1,18.656783059933023,1,2017,6,5,15,228.28466139975433
1,18.656783059933023,1,2017,6,5,16,246.94144445968738
1,18.656783059933023,1,2017,6,5,17,265.59822751962037
1,18.656783059933023,1,2017,6,5,18,284.2550105795534
1,0.0,1,2017,6,5,19,284.2550105795534
1,0.0,1,2017,6,5,20,284.2550105795534
1,0.0,1,2017,6,5,21,284.2550105795534
1,18.656783059933023,1,2017,6,5,22,302.9117936394864
1,18.656783059933023,1,2017,6,5,23,321.56857669941945
2,18.656783059933023,1,2017,6,6,0,18.656783059933023
2,0.0,1,2017,6,6,1,18.656783059933023
2,0.0,1,2017,6,6,2,18.656783059933023
2,18.656783059933023,1,2017,6,6,3,37.313566119866046
2,0.0,1,2017,6,6,4,37.313566119866046
2,0.0,1,2017,6,6,5,37.313566119866046
2,18.656783059933023,1,2017,6,6,6,55.97034917979907
2,0.0,1,2017,6,6,7,55.97034917979907
2,2.347212173913045,1,2017,6,6,8,58.317561353712115
2,12.44323342076062,1,2017,6,6,9,70.76079477447273
2,4.008654869363443,1,2017,6,6,10,74.76944964383618
2,2.2758995359628926,1,2017,6,6,11,77.04534917979908
2,0.0,1,2017,6,6,12,77.04534917979908
2,1.689801997422678,1,2017,6,6,13,78.73515117722175
2,18.656783059933023,1,2017,6,6,14,97.39193423715477
2,18.656783059933023,1,2017,6,6,15,116.04871729708779
2,5.07363402061855,1,2017,6,6,16,121.12235131770635
2,4.962295940721671,1,2017,6,6,17,126.08464725842802
2,18.656783059933023,1,2017,6,6,18,144.74143031836104
2,0.0,1,2017,6,6,19,144.74143031836104
2,0.0,1,2017,6,6,20,144.74143031836104
2,18.656783059933023,1,2017,6,6,21,163.39821337829406
2,0.0,1,2017,6,6,22,163.39821337829406
2,18.656783059933023,1,2017,6,6,23,182.05499643822708
3,0.0,1,2017,6,7,0,0.0
