Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
6.0,0.0,0.0,2019.0,10.0,19.000002,3.0,0.0
6.0,0.0,0.0,2019.0,10.0,19.000002,4.0,0.0
6.0,0.9586244,0.0,2019.0,10.0,19.000002,5.0,0.9586244
6.0,3.0140154,0.0,2019.0,10.0,19.000002,6.0,3.9726398
6.0,3.0140154,0.0,2019.0,10.0,19.000002,6.9999995,6.986655
6.0,4.1597114,0.0,2019.0,10.0,19.000002,8.0,11.146366
6.0,6.552223,0.0,2019.0,10.0,19.000002,9.0,17.69859
6.0,5.4342475,0.0,2019.0,10.0,19.000002,10.0,23.132837
6.0,5.4068336,0.0,2019.0,10.0,19.000002,11.0,28.53967
6.0,10.682929,0.0,2019.0,10.0,19.000002,12.0,39.2226
6.0,26.98495,0.0,2019.0,10.0,19.000002,13.0,66.20755
6.0,15.512472,0.0,2019.0,10.0,19.000002,13.999999,81.720024
6.0,8.090024,0.0,2019.0,10.0,19.000002,15.000001,89.81004
6.0,4.8049555,0.0,2019.0,10.0,19.000002,16.0,94.615005
6.0,0.0,0.0,2019.0,10.0,19.000002,17.0,94.615005
6.0,0.0,0.0,2019.0,10.0,19.000002,18.0,94.615005
6.0,3.2154684,0.0,2019.0,10.0,19.000002,19.0,97.83047
6.0,3.4361918,0.0,2019.0,10.0,19.000002,20.0,101.26666
6.0,3.20234,0.0,2019.0,10.0,19.000002,21.0,104.469
6.0,0.0,0.0,2019.0,10.0,19.000002,22.0,104.469
6.0,0.0,0.0,2019.0,10.0,19.000002,23.0,104.469
7.0,0.0,0.0,2019.0,10.0,20.0,0.0,0.0
7.0,0.0,0.0,2019.0,10.0,20.0,1.0,0.0
7.0,0.0,0.0,2019.0,10.0,20.0,2.0,0.0
7.0,0.0,0.0,2019.0,10.0,20.0,3.0,0.0
7.0,0.0,0.0,2019.0,10.0,20.0,4.0,0.0
7.0,0.0,0.0,2019.0,10.0,20.0,5.0,0.0
7.0,2.3240423,0.0,2019.0,10.0,20.0,6.0,2.3240423
7.0,6.197447,0.0,2019.0,10.0,20.0,6.9999995,8.521489
7.0,2.4105227,0.0,2019.0,10.0,20.0,8.0,10.932012
7.0,3.4698603,0.0,2019.0,10.0,20.0,9.0,14.401873
7.0,0.5568436,0.0,2019.0,10.0,20.0,10.0,14.958715
7.0,14.911054,0.0,2019.0,10.0,20.0,11.0,29.86977
7.0,21.533772,0.0,2019.0,10.0,20.0,12.0,51.40354
7.0,19.901947,0.0,2019.0,10.0,20.0,13.0,71.30549
7.0,15.328485,0.0,2019.0,10.0,20.0,13.999999,86.63397
7.0,10.342979,0.0,2019.0,10.0,20.0,15.000001,96.97695
7.0,6.1187763,0.0,2019.0,10.0,20.0,16.0,103.095726
7.0,5.801061,0.0,2019.0,10.0,20.0,17.0,108.89679
