Day of week,Energy,Week Day,Year,Month,Day of month,Sum
2.0,0.22965103,1.0,2018.0,7.9999995,28.0,0.22965103
2.0,6.445014,1.0,2018.0,7.9999995,28.0,6.674665
2.0,11.080685,1.0,2018.0,7.9999995,28.0,17.75535
2.0,25.621342,1.0,2018.0,7.9999995,28.0,43.376694
2.0,28.42087,1.0,2018.0,7.9999995,28.0,71.79756
2.0,64.849686,1.0,2018.0,7.9999995,28.0,136.64725
2.0,62.850212,1.0,2018.0,7.9999995,28.0,199.49747
2.0,53.555374,1.0,2018.0,7.9999995,28.0,253.05283
2.0,44.198475,1.0,2018.0,7.9999995,28.0,297.2513
2.0,35.963226,1.0,2018.0,7.9999995,28.0,333.21454
2.0,29.153692,1.0,2018.0,7.9999995,28.0,362.36823
2.0,23.876484,1.0,2018.0,7.9999995,28.0,386.24472
2.0,18.918875,1.0,2018.0,7.9999995,28.0,405.16357
2.0,25.409143,1.0,2018.0,7.9999995,28.0,430.57272
2.0,38.733356,1.0,2018.0,7.9999995,28.0,469.3061
2.0,50.557667,1.0,2018.0,7.9999995,28.0,519.8638
2.0,44.833736,1.0,2018.0,7.9999995,28.0,564.6975
2.0,31.157957,1.0,2018.0,7.9999995,28.0,595.85547
2.0,15.62823,1.0,2018.0,7.9999995,28.0,611.4837
2.0,5.2453756,1.0,2018.0,7.9999995,28.0,616.72906
3.0,3.735544,1.0,2018.0,7.9999995,29.0,3.735544
3.0,7.19542,1.0,2018.0,7.9999995,29.0,10.9309635
3.0,6.185234,1.0,2018.0,7.9999995,29.0,17.116198
3.0,3.072755,1.0,2018.0,7.9999995,29.0,20.188953
3.0,0.6817369,1.0,2018.0,7.9999995,29.0,20.87069
3.0,3.75268,1.0,2018.0,7.9999995,29.0,24.623371
3.0,13.390814,1.0,2018.0,7.9999995,29.0,38.014183
3.0,24.58046,1.0,2018.0,7.9999995,29.0,62.594643
3.0,26.409416,1.0,2018.0,7.9999995,29.0,89.00406
3.0,69.92184,1.0,2018.0,7.9999995,29.0,158.9259
3.0,72.28576,1.0,2018.0,7.9999995,29.0,231.21165
3.0,54.501377,1.0,2018.0,7.9999995,29.0,285.71304
3.0,47.556774,1.0,2018.0,7.9999995,29.0,333.2698
3.0,42.06099,1.0,2018.0,7.9999995,29.0,375.3308
3.0,40.30844,1.0,2018.0,7.9999995,29.0,415.63922
3.0,38.897964,1.0,2018.0,7.9999995,29.0,454.5372
3.0,35.692524,1.0,2018.0,7.9999995,29.0,490.22974
3.0,18.452192,1.0,2018.0,7.9999995,29.0,508.68192
3.0,18.682383,1.0,2018.0,7.9999995,29.0,527.3643
3.0,35.095535,1.0,2018.0,7.9999995,29.0,562.45984
3.0,46.115063,1.0,2018.0,7.9999995,29.0,608.5749
3.0,39.086052,1.0,2018.0,7.9999995,29.0,647.66095
3.0,37.14654,1.0,2018.0,7.9999995,29.0,684.8075
3.0,17.468792,1.0,2018.0,7.9999995,29.0,702.2763
4.0,9.211531,1.0,2018.0,7.9999995,30.0,9.211531
4.0,4.8527546,1.0,2018.0,7.9999995,30.0,14.064285
4.0,3.056522,1.0,2018.0,7.9999995,30.0,17.120808
4.0,1.7243376,1.0,2018.0,7.9999995,30.0,18.845144
4.0,2.1675096,1.0,2018.0,7.9999995,30.0,21.012653
4.0,4.538128,1.0,2018.0,7.9999995,30.0,25.550781
4.0,10.372443,1.0,2018.0,7.9999995,30.0,35.923225
4.0,26.71067,1.0,2018.0,7.9999995,30.0,62.633896
4.0,59.852932,1.0,2018.0,7.9999995,30.0,122.48683
4.0,82.1008,1.0,2018.0,7.9999995,30.0,204.58763
4.0,75.48252,1.0,2018.0,7.9999995,30.0,280.07016
4.0,59.756145,1.0,2018.0,7.9999995,30.0,339.8263
4.0,50.459343,1.0,2018.0,7.9999995,30.0,390.28564
4.0,47.417225,1.0,2018.0,7.9999995,30.0,437.70288
4.0,37.776577,1.0,2018.0,7.9999995,30.0,475.47943
