Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
6.0,6.987135,0.0,2019.0,7.9999995,17.000002,13.999999,6.987135
6.0,15.747232,0.0,2019.0,7.9999995,17.000002,15.000001,22.734367
6.0,13.193299,0.0,2019.0,7.9999995,17.000002,16.0,35.927666
6.0,8.480488,0.0,2019.0,7.9999995,17.000002,17.0,44.408154
6.0,19.454279,0.0,2019.0,7.9999995,17.000002,18.0,63.862434
6.0,35.12827,0.0,2019.0,7.9999995,17.000002,19.0,98.99071
6.0,20.908094,0.0,2019.0,7.9999995,17.000002,20.0,119.898796
6.0,4.264384,0.0,2019.0,7.9999995,17.000002,21.0,124.163185
6.0,10.407696,0.0,2019.0,7.9999995,17.000002,22.0,134.57088
6.0,14.466298,0.0,2019.0,7.9999995,17.000002,23.0,149.03717
7.0,9.137945,0.0,2019.0,7.9999995,18.0,0.0,9.137945
7.0,17.30346,0.0,2019.0,7.9999995,18.0,1.0,26.441404
7.0,21.021051,0.0,2019.0,7.9999995,18.0,2.0,47.462456
7.0,11.9353485,0.0,2019.0,7.9999995,18.0,3.0,59.397804
7.0,7.8925343,0.0,2019.0,7.9999995,18.0,4.0,67.29034
7.0,0.9112862,0.0,2019.0,7.9999995,18.0,5.0,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,6.0,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,6.9999995,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,8.0,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,9.0,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,10.0,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,11.0,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,12.0,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,13.0,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,13.999999,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,15.000001,68.20162
7.0,0.0,0.0,2019.0,7.9999995,18.0,16.0,68.20162
7.0,3.567519,0.0,2019.0,7.9999995,18.0,17.0,71.76914
