Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
6.0,0.0,0.0,2017.0,12.0,23.000002,2.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,3.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,4.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,5.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,6.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,6.9999995,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,8.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,9.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,10.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,11.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,12.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,13.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,13.999999,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,15.000001,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,16.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,17.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,18.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,19.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,20.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,21.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,22.0,0.0
6.0,0.0,0.0,2017.0,12.0,23.000002,23.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,0.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,1.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,2.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,3.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,4.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,5.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,6.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,6.9999995,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,8.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,9.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,10.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,11.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,12.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,13.0,0.0
