Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
5.0,69.603584,1.0,2016.0,4.0,15.0,11.0,69.603584
5.0,78.72042,1.0,2016.0,4.0,15.0,12.0,148.324
5.0,86.687584,1.0,2016.0,4.0,15.0,13.0,235.0116
5.0,88.16184,1.0,2016.0,4.0,15.0,13.999999,323.17343
5.0,74.22718,1.0,2016.0,4.0,15.0,15.000001,397.4006
5.0,64.97818,1.0,2016.0,4.0,15.0,16.0,462.37878
5.0,60.90677,1.0,2016.0,4.0,15.0,17.0,523.2856
5.0,76.839584,1.0,2016.0,4.0,15.0,18.0,600.1251
5.0,82.5418,1.0,2016.0,4.0,15.0,19.0,682.66693
5.0,67.37321,1.0,2016.0,4.0,15.0,20.0,750.04016
5.0,39.583557,1.0,2016.0,4.0,15.0,21.0,789.6237
5.0,25.767218,1.0,2016.0,4.0,15.0,22.0,815.3909
5.0,14.425204,1.0,2016.0,4.0,15.0,23.0,829.81616
6.0,10.891263,0.0,2016.0,4.0,16.0,0.0,10.891263
6.0,3.8263192,0.0,2016.0,4.0,16.0,1.0,14.717583
6.0,3.0500736,0.0,2016.0,4.0,16.0,2.0,17.767656
6.0,1.9020598,0.0,2016.0,4.0,16.0,3.0,19.669716
6.0,0.0,0.0,2016.0,4.0,16.0,4.0,19.669716
6.0,0.0,0.0,2016.0,4.0,16.0,5.0,19.669716
6.0,0.0,0.0,2016.0,4.0,16.0,6.0,19.669716
6.0,2.961809,0.0,2016.0,4.0,16.0,6.9999995,22.631525
6.0,12.366255,0.0,2016.0,4.0,16.0,8.0,34.99778
6.0,34.178406,0.0,2016.0,4.0,16.0,9.0,69.176186
6.0,51.564564,0.0,2016.0,4.0,16.0,10.0,120.74075
6.0,49.25702,0.0,2016.0,4.0,16.0,11.0,169.99777
6.0,45.653255,0.0,2016.0,4.0,16.0,12.0,215.65103
6.0,37.19446,0.0,2016.0,4.0,16.0,13.0,252.84549
6.0,36.839664,0.0,2016.0,4.0,16.0,13.999999,289.68515
6.0,41.017166,0.0,2016.0,4.0,16.0,15.000001,330.70233
6.0,47.450848,0.0,2016.0,4.0,16.0,16.0,378.15317
6.0,59.58336,0.0,2016.0,4.0,16.0,17.0,437.7365
6.0,60.459217,0.0,2016.0,4.0,16.0,18.0,498.19574
6.0,65.135506,0.0,2016.0,4.0,16.0,19.0,563.33124
6.0,62.500126,0.0,2016.0,4.0,16.0,20.0,625.83136
6.0,58.16422,0.0,2016.0,4.0,16.0,21.0,683.9956
6.0,34.28567,0.0,2016.0,4.0,16.0,22.0,718.28125
6.0,12.192817,0.0,2016.0,4.0,16.0,23.0,730.47406
7.0,3.7042227,0.0,2016.0,4.0,17.000002,0.0,3.7042227
7.0,4.5252013,0.0,2016.0,4.0,17.000002,1.0,8.2294235
7.0,3.7942586,0.0,2016.0,4.0,17.000002,2.0,12.023683
7.0,0.79272896,0.0,2016.0,4.0,17.000002,3.0,12.816412
7.0,1.5481368,0.0,2016.0,4.0,17.000002,4.0,14.364549
7.0,4.030191,0.0,2016.0,4.0,17.000002,5.0,18.39474
7.0,9.1716385,0.0,2016.0,4.0,17.000002,6.0,27.566378
7.0,23.763363,0.0,2016.0,4.0,17.000002,6.9999995,51.329742
7.0,41.05566,0.0,2016.0,4.0,17.000002,8.0,92.3854
7.0,58.996365,0.0,2016.0,4.0,17.000002,9.0,151.38176
7.0,47.07109,0.0,2016.0,4.0,17.000002,10.0,198.45285
7.0,49.98264,0.0,2016.0,4.0,17.000002,11.0,248.43549
7.0,60.96336,0.0,2016.0,4.0,17.000002,12.0,309.39886
7.0,56.700546,0.0,2016.0,4.0,17.000002,13.0,366.0994
7.0,54.713852,0.0,2016.0,4.0,17.000002,13.999999,420.81326
7.0,42.560482,0.0,2016.0,4.0,17.000002,15.000001,463.37372
7.0,37.279602,0.0,2016.0,4.0,17.000002,16.0,500.65332
7.0,44.92666,0.0,2016.0,4.0,17.000002,17.0,545.58
7.0,59.06958,0.0,2016.0,4.0,17.000002,18.0,604.6496
7.0,75.545975,0.0,2016.0,4.0,17.000002,19.0,680.19556
7.0,74.63753,0.0,2016.0,4.0,17.000002,20.0,754.83307
7.0,53.073917,0.0,2016.0,4.0,17.000002,21.0,807.907
7.0,32.971222,0.0,2016.0,4.0,17.000002,22.0,840.87823
7.0,23.416327,0.0,2016.0,4.0,17.000002,23.0,864.29456
1.0,11.40814,1.0,2016.0,4.0,18.0,0.0,11.40814
1.0,3.213537,1.0,2016.0,4.0,18.0,1.0,14.621677
1.0,3.067903,1.0,2016.0,4.0,18.0,2.0,17.68958
1.0,0.44399375,1.0,2016.0,4.0,18.0,3.0,18.133574
1.0,0.6710299,1.0,2016.0,4.0,18.0,4.0,18.804604
1.0,4.0825577,1.0,2016.0,4.0,18.0,5.0,22.887161
1.0,9.670539,1.0,2016.0,4.0,18.0,6.0,32.5577
1.0,44.673527,1.0,2016.0,4.0,18.0,6.9999995,77.23123
1.0,83.8097,1.0,2016.0,4.0,18.0,8.0,161.04092
1.0,88.37627,1.0,2016.0,4.0,18.0,9.0,249.41719
1.0,85.06035,1.0,2016.0,4.0,18.0,10.0,334.47754
1.0,88.50258,1.0,2016.0,4.0,18.0,11.0,422.9801
1.0,84.98029,1.0,2016.0,4.0,18.0,12.0,507.96042
1.0,75.60252,1.0,2016.0,4.0,18.0,13.0,583.5629
1.0,78.44752,1.0,2016.0,4.0,18.0,13.999999,662.01044
1.0,82.09037,1.0,2016.0,4.0,18.0,15.000001,744.1008
1.0,71.90668,1.0,2016.0,4.0,18.0,16.0,816.0075
1.0,57.7274,1.0,2016.0,4.0,18.0,17.0,873.7349
1.0,59.03589,1.0,2016.0,4.0,18.0,18.0,932.7708
1.0,67.094025,1.0,2016.0,4.0,18.0,19.0,999.8648
1.0,32.113914,1.0,2016.0,4.0,18.0,20.0,1031.9788
1.0,21.27784,1.0,2016.0,4.0,18.0,21.0,1053.2566
1.0,13.709188,1.0,2016.0,4.0,18.0,22.0,1066.9657
1.0,23.594696,1.0,2016.0,4.0,18.0,23.0,1090.5604
2.0,16.451265,1.0,2016.0,4.0,19.000002,0.0,16.451265
2.0,10.434794,1.0,2016.0,4.0,19.000002,1.0,26.886059
2.0,5.111622,1.0,2016.0,4.0,19.000002,2.0,31.99768
2.0,0.97066873,1.0,2016.0,4.0,19.000002,3.0,32.96835
2.0,5.100311,1.0,2016.0,4.0,19.000002,4.0,38.06866
2.0,11.116401,1.0,2016.0,4.0,19.000002,5.0,49.185062
2.0,19.766558,1.0,2016.0,4.0,19.000002,6.0,68.95162
2.0,55.44103,1.0,2016.0,4.0,19.000002,6.9999995,124.39265
2.0,68.26627,1.0,2016.0,4.0,19.000002,8.0,192.65892
2.0,69.6743,1.0,2016.0,4.0,19.000002,9.0,262.33322
2.0,59.30042,1.0,2016.0,4.0,19.000002,10.0,321.63364
2.0,66.853035,1.0,2016.0,4.0,19.000002,11.0,388.4867
2.0,67.73985,1.0,2016.0,4.0,19.000002,12.0,456.22653
2.0,61.666206,1.0,2016.0,4.0,19.000002,13.0,517.89276
2.0,57.173084,1.0,2016.0,4.0,19.000002,13.999999,575.0658
2.0,81.48721,1.0,2016.0,4.0,19.000002,15.000001,656.55304
2.0,69.33184,1.0,2016.0,4.0,19.000002,16.0,725.8849
2.0,70.96956,1.0,2016.0,4.0,19.000002,17.0,796.85443
2.0,56.65793,1.0,2016.0,4.0,19.000002,18.0,853.5124
2.0,42.421074,1.0,2016.0,4.0,19.000002,19.0,895.9335
2.0,27.51391,1.0,2016.0,4.0,19.000002,20.0,923.4473
2.0,35.494583,1.0,2016.0,4.0,19.000002,21.0,958.94196
2.0,33.76071,1.0,2016.0,4.0,19.000002,22.0,992.70264
2.0,28.630095,1.0,2016.0,4.0,19.000002,23.0,1021.33276
3.0,16.67918,1.0,2016.0,4.0,20.0,0.0,16.67918
3.0,8.525113,1.0,2016.0,4.0,20.0,1.0,25.204292
3.0,3.4964855,1.0,2016.0,4.0,20.0,2.0,28.700779
3.0,3.680142,1.0,2016.0,4.0,20.0,3.0,32.38092
3.0,3.2355306,1.0,2016.0,4.0,20.0,4.0,35.61645
3.0,9.722019,1.0,2016.0,4.0,20.0,5.0,45.33847
3.0,15.220427,1.0,2016.0,4.0,20.0,6.0,60.5589
3.0,35.40313,1.0,2016.0,4.0,20.0,6.9999995,95.96203
3.0,76.5691,1.0,2016.0,4.0,20.0,8.0,172.53113
3.0,87.31794,1.0,2016.0,4.0,20.0,9.0,259.84906
3.0,83.6019,1.0,2016.0,4.0,20.0,10.0,343.45096
3.0,70.16767,1.0,2016.0,4.0,20.0,11.0,413.61865
3.0,84.47399,1.0,2016.0,4.0,20.0,12.0,498.09262
3.0,82.98591,1.0,2016.0,4.0,20.0,13.0,581.07855
3.0,75.147026,1.0,2016.0,4.0,20.0,13.999999,656.2256
