Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2017.0,12.0,24.0,5.0,0.0
7.0,0.0,0.0,2017.0,12.0,24.0,6.0,0.0
7.0,0.006155063,0.0,2017.0,12.0,24.0,6.9999995,0.006155063
7.0,17.783535,0.0,2017.0,12.0,24.0,8.0,17.78969
7.0,2.6750731,0.0,2017.0,12.0,24.0,9.0,20.464764
7.0,5.7428346,0.0,2017.0,12.0,24.0,10.0,26.207598
7.0,4.600234,0.0,2017.0,12.0,24.0,11.0,30.80783
7.0,12.181875,0.0,2017.0,12.0,24.0,12.0,42.989708
7.0,40.704605,0.0,2017.0,12.0,24.0,13.0,83.69431
7.0,31.138672,0.0,2017.0,12.0,24.0,13.999999,114.832985
7.0,31.520462,0.0,2017.0,12.0,24.0,15.000001,146.35345
7.0,19.056015,0.0,2017.0,12.0,24.0,16.0,165.40945
7.0,25.370079,0.0,2017.0,12.0,24.0,17.0,190.77954
7.0,35.59061,0.0,2017.0,12.0,24.0,18.0,226.37015
7.0,1.4245089,0.0,2017.0,12.0,24.0,19.0,227.79466
7.0,1.4245089,0.0,2017.0,12.0,24.0,20.0,229.21916
7.0,1.4245089,0.0,2017.0,12.0,24.0,21.0,230.64368
7.0,1.4245089,0.0,2017.0,12.0,24.0,22.0,232.06819
7.0,1.4245089,0.0,2017.0,12.0,24.0,23.0,233.49269
1.0,1.4245089,1.0,2017.0,12.0,25.000002,0.0,1.4245089
1.0,1.4245089,1.0,2017.0,12.0,25.000002,1.0,2.8490179
1.0,1.4245089,1.0,2017.0,12.0,25.000002,2.0,4.2735267
1.0,1.4245089,1.0,2017.0,12.0,25.000002,3.0,5.6980357
1.0,1.4245089,1.0,2017.0,12.0,25.000002,4.0,7.122545
1.0,1.4245089,1.0,2017.0,12.0,25.000002,5.0,8.547053
1.0,1.4245089,1.0,2017.0,12.0,25.000002,6.0,9.971562
1.0,1.4245089,1.0,2017.0,12.0,25.000002,6.9999995,11.396071
1.0,9.72051,1.0,2017.0,12.0,25.000002,8.0,21.116581
1.0,5.204509,1.0,2017.0,12.0,25.000002,9.0,26.32109
1.0,1.4245089,1.0,2017.0,12.0,25.000002,10.0,27.745598
1.0,13.778709,1.0,2017.0,12.0,25.000002,11.0,41.524307
1.0,22.43,1.0,2017.0,12.0,25.000002,12.0,63.954308
1.0,13.218,1.0,2017.0,12.0,25.000002,13.0,77.17231
1.0,2.936842,1.0,2017.0,12.0,25.000002,13.999999,80.109146
1.0,1.7131579,1.0,2017.0,12.0,25.000002,15.000001,81.82231
1.0,6.3641663,1.0,2017.0,12.0,25.000002,16.0,88.18648
1.0,4.545833,1.0,2017.0,12.0,25.000002,17.0,92.73231
1.0,8.7685,1.0,2017.0,12.0,25.000002,18.0,101.50081
1.0,7.8364997,1.0,2017.0,12.0,25.000002,19.0,109.3373
1.0,1.475,1.0,2017.0,12.0,25.000002,20.0,110.81231
1.0,11.218823,1.0,2017.0,12.0,25.000002,21.0,122.03113
1.0,12.621176,1.0,2017.0,12.0,25.000002,22.0,134.65231
1.0,0.0,1.0,2017.0,12.0,25.000002,23.0,134.65231
2.0,0.0,1.0,2017.0,12.0,26.0,0.0,0.0
