Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
1.0,107.430435,1.0,2019.0,3.0,18.0,13.0,107.430435
1.0,132.11403,1.0,2019.0,3.0,18.0,13.999999,239.54446
1.0,100.28901,1.0,2019.0,3.0,18.0,15.000001,339.83347
1.0,53.504375,1.0,2019.0,3.0,18.0,16.0,393.33786
1.0,26.989828,1.0,2019.0,3.0,18.0,17.0,420.32767
1.0,9.64569,1.0,2019.0,3.0,18.0,18.0,429.97336
1.0,2.5011766,1.0,2019.0,3.0,18.0,19.0,432.47455
1.0,0.0,1.0,2019.0,3.0,18.0,20.0,432.47455
1.0,0.0,1.0,2019.0,3.0,18.0,21.0,432.47455
1.0,0.0,1.0,2019.0,3.0,18.0,22.0,432.47455
1.0,0.0,1.0,2019.0,3.0,18.0,23.0,432.47455
2.0,0.0,1.0,2019.0,3.0,19.000002,0.0,0.0
2.0,0.0,1.0,2019.0,3.0,19.000002,1.0,0.0
2.0,0.0,1.0,2019.0,3.0,19.000002,2.0,0.0
2.0,0.0,1.0,2019.0,3.0,19.000002,3.0,0.0
2.0,0.0,1.0,2019.0,3.0,19.000002,4.0,0.0
2.0,0.0,1.0,2019.0,3.0,19.000002,5.0,0.0
2.0,0.0,1.0,2019.0,3.0,19.000002,6.0,0.0
2.0,16.751223,1.0,2019.0,3.0,19.000002,6.9999995,16.751223
2.0,96.30257,1.0,2019.0,3.0,19.000002,8.0,113.05379
2.0,160.86665,1.0,2019.0,3.0,19.000002,9.0,273.92044
2.0,135.15302,1.0,2019.0,3.0,19.000002,10.0,409.07346
2.0,143.9095,1.0,2019.0,3.0,19.000002,11.0,552.983
2.0,57.328884,1.0,2019.0,3.0,19.000002,12.0,610.3118
2.0,44.798546,1.0,2019.0,3.0,19.000002,13.0,655.1104
2.0,69.75644,1.0,2019.0,3.0,19.000002,13.999999,724.8668
2.0,57.118225,1.0,2019.0,3.0,19.000002,15.000001,781.98505
2.0,21.569382,1.0,2019.0,3.0,19.000002,16.0,803.55444
2.0,18.148039,1.0,2019.0,3.0,19.000002,17.0,821.70245
2.0,21.735182,1.0,2019.0,3.0,19.000002,18.0,843.4376
2.0,16.943354,1.0,2019.0,3.0,19.000002,19.0,860.381
2.0,0.0,1.0,2019.0,3.0,19.000002,20.0,860.381
2.0,0.0,1.0,2019.0,3.0,19.000002,21.0,860.381
2.0,0.0,1.0,2019.0,3.0,19.000002,22.0,860.381
2.0,0.0,1.0,2019.0,3.0,19.000002,23.0,860.381
3.0,0.0,1.0,2019.0,3.0,20.0,0.0,0.0
3.0,0.0,1.0,2019.0,3.0,20.0,1.0,0.0
3.0,0.0,1.0,2019.0,3.0,20.0,2.0,0.0
3.0,0.0,1.0,2019.0,3.0,20.0,3.0,0.0
3.0,0.0,1.0,2019.0,3.0,20.0,4.0,0.0
3.0,0.0,1.0,2019.0,3.0,20.0,5.0,0.0
3.0,0.0,1.0,2019.0,3.0,20.0,6.0,0.0
3.0,8.129177,1.0,2019.0,3.0,20.0,6.9999995,8.129177
3.0,76.609886,1.0,2019.0,3.0,20.0,8.0,84.73906
3.0,128.29414,1.0,2019.0,3.0,20.0,9.0,213.03322
3.0,108.72246,1.0,2019.0,3.0,20.0,10.0,321.75568
3.0,74.653336,1.0,2019.0,3.0,20.0,11.0,396.409
3.0,49.94878,1.0,2019.0,3.0,20.0,12.0,446.3578
3.0,55.87123,1.0,2019.0,3.0,20.0,13.0,502.22903
3.0,54.55338,1.0,2019.0,3.0,20.0,13.999999,556.7824
3.0,59.07275,1.0,2019.0,3.0,20.0,15.000001,615.85516
3.0,40.30043,1.0,2019.0,3.0,20.0,16.0,656.1556
3.0,13.600921,1.0,2019.0,3.0,20.0,17.0,669.75653
3.0,71.67215,1.0,2019.0,3.0,20.0,18.0,741.42865
3.0,7.1203613,1.0,2019.0,3.0,20.0,19.0,748.549
3.0,0.0,1.0,2019.0,3.0,20.0,20.0,748.549
3.0,0.0,1.0,2019.0,3.0,20.0,21.0,748.549
3.0,0.0,1.0,2019.0,3.0,20.0,22.0,748.549
3.0,0.0,1.0,2019.0,3.0,20.0,23.0,748.549
4.0,0.0,1.0,2019.0,3.0,21.000002,0.0,0.0
4.0,0.0,1.0,2019.0,3.0,21.000002,1.0,0.0
4.0,0.0,1.0,2019.0,3.0,21.000002,2.0,0.0
4.0,0.0,1.0,2019.0,3.0,21.000002,3.0,0.0
4.0,0.0,1.0,2019.0,3.0,21.000002,4.0,0.0
4.0,0.0,1.0,2019.0,3.0,21.000002,5.0,0.0
4.0,1.215982,1.0,2019.0,3.0,21.000002,6.0,1.215982
4.0,12.050758,1.0,2019.0,3.0,21.000002,6.9999995,13.266741
4.0,83.74822,1.0,2019.0,3.0,21.000002,8.0,97.01496
4.0,174.58823,1.0,2019.0,3.0,21.000002,9.0,271.60318
4.0,150.41414,1.0,2019.0,3.0,21.000002,10.0,422.01733
4.0,91.80484,1.0,2019.0,3.0,21.000002,11.0,513.82214
4.0,44.570553,1.0,2019.0,3.0,21.000002,12.0,558.3927
4.0,74.3999,1.0,2019.0,3.0,21.000002,13.0,632.7926
4.0,76.354996,1.0,2019.0,3.0,21.000002,13.999999,709.1476
4.0,71.56079,1.0,2019.0,3.0,21.000002,15.000001,780.7084
4.0,68.82893,1.0,2019.0,3.0,21.000002,16.0,849.53735
4.0,34.430965,1.0,2019.0,3.0,21.000002,17.0,883.9683
4.0,15.785646,1.0,2019.0,3.0,21.000002,18.0,899.75397
4.0,13.889129,1.0,2019.0,3.0,21.000002,19.0,913.64307
4.0,4.3789334,1.0,2019.0,3.0,21.000002,20.0,918.02203
4.0,0.0,1.0,2019.0,3.0,21.000002,21.0,918.02203
4.0,6.238479,1.0,2019.0,3.0,21.000002,22.0,924.2605
4.0,8.272017,1.0,2019.0,3.0,21.000002,23.0,932.53253
5.0,3.4145048,1.0,2019.0,3.0,22.0,0.0,3.4145048
5.0,0.0,1.0,2019.0,3.0,22.0,1.0,3.4145048
5.0,0.0,1.0,2019.0,3.0,22.0,2.0,3.4145048
5.0,0.0,1.0,2019.0,3.0,22.0,3.0,3.4145048
5.0,0.0,1.0,2019.0,3.0,22.0,4.0,3.4145048
5.0,0.0,1.0,2019.0,3.0,22.0,5.0,3.4145048
5.0,0.0,1.0,2019.0,3.0,22.0,6.0,3.4145048
5.0,19.52349,1.0,2019.0,3.0,22.0,6.9999995,22.937996
5.0,161.82579,1.0,2019.0,3.0,22.0,8.0,184.7638
5.0,227.51665,1.0,2019.0,3.0,22.0,9.0,412.28043
5.0,187.41766,1.0,2019.0,3.0,22.0,10.0,599.6981
