Start,Month,Energy,Month_Name,Month-Year
2018,1,33.0,January,January-2018
2018,2,66.0,February,February-2018
2018,3,68.0,March,March-2018
2018,4,93.0,April,April-2018
2018,5,115.0,May,May-2018
2018,6,116.0,June,June-2018
2018,7,99.0,July,July-2018
2018,8,118.0,August,August-2018
2018,9,109.0,September,September-2018
2018,10,139.0,October,October-2018
2018,11,140.0,November,November-2018
2018,12,190.0,December,December-2018
2019,1,174.0,January,January-2019
2019,2,186.0,February,February-2019
2019,3,156.0,March,March-2019
2019,4,176.0,April,April-2019
2019,5,191.0,May,May-2019
2019,6,174.0,June,June-2019
2019,7,195.0,July,July-2019
2019,8,209.0,August,August-2019
2019,9,207.0,September,September-2019
2019,10,198.0,October,October-2019
2019,11,188.0,November,November-2019
2019,12,188.0,December,December-2019
2020,1,200.0,January,January-2020
2020,2,155.0,February,February-2020
2020,3,77.0,March,March-2020
2020,4,23.0,April,April-2020
2020,5,37.0,May,May-2020
2020,6,51.0,June,June-2020
2020,7,71.0,July,July-2020
2020,8,72.0,August,August-2020
2020,9,89.0,September,September-2020
2020,10,85.0,October,October-2020
2020,11,68.0,November,November-2020
2020,12,66.0,December,December-2020
2021,1,73.0,January,January-2021
2021,2,83.0,February,February-2021
2021,3,85.0,March,March-2021
