Start,Month,Energy,Month_Name,Month-Year
2017,1,1131.0,January,January-2017
2017,2,1181.0,February,February-2017
2017,3,1223.0,March,March-2017
2017,4,1185.0,April,April-2017
2017,5,1269.0,May,May-2017
2017,6,1249.0,June,June-2017
2017,7,1280.0,July,July-2017
2017,8,781.0,August,August-2017
2017,9,767.0,September,September-2017
2017,10,780.0,October,October-2017
2017,11,772.0,November,November-2017
2017,12,752.0,December,December-2017
2018,1,435.0,January,January-2018
2018,2,436.0,February,February-2018
2018,3,477.0,March,March-2018
2018,4,455.0,April,April-2018
2018,5,503.0,May,May-2018
2018,6,516.0,June,June-2018
2018,7,489.0,July,July-2018
2018,8,540.0,August,August-2018
2018,9,526.0,September,September-2018
2018,10,685.0,October,October-2018
2018,11,551.0,November,November-2018
2018,12,502.0,December,December-2018
2019,1,594.0,January,January-2019
2019,2,627.0,February,February-2019
2019,3,590.0,March,March-2019
2019,4,626.0,April,April-2019
2019,5,634.0,May,May-2019
2019,6,557.0,June,June-2019
2019,7,588.0,July,July-2019
2019,8,632.0,August,August-2019
2019,9,627.0,September,September-2019
2019,10,684.0,October,October-2019
2019,11,620.0,November,November-2019
2019,12,536.0,December,December-2019
2020,1,653.0,January,January-2020
2020,2,627.0,February,February-2020
2020,3,296.0,March,March-2020
2020,4,43.0,April,April-2020
2020,5,89.0,May,May-2020
2020,6,139.0,June,June-2020
2020,7,169.0,July,July-2020
2020,8,113.0,August,August-2020
2020,9,125.0,September,September-2020
2020,10,143.0,October,October-2020
2020,11,134.0,November,November-2020
2020,12,147.0,December,December-2020
