Start,Month,Energy,Month_Name,Month-Year
2018,4,329.0,April,April-2018
2018,5,452.0,May,May-2018
2018,6,514.0,June,June-2018
2018,7,528.0,July,July-2018
2018,8,617.0,August,August-2018
2018,9,624.0,September,September-2018
2018,10,636.0,October,October-2018
2018,11,295.0,November,November-2018
2018,12,203.0,December,December-2018
2019,1,232.0,January,January-2019
2019,2,236.0,February,February-2019
2019,3,219.0,March,March-2019
2019,4,238.0,April,April-2019
2019,5,212.0,May,May-2019
2019,6,100.0,June,June-2019
2019,7,177.0,July,July-2019
2019,8,181.0,August,August-2019
2019,9,190.0,September,September-2019
2019,10,198.0,October,October-2019
2019,11,161.0,November,November-2019
2019,12,135.0,December,December-2019
2020,1,156.0,January,January-2020
2020,2,134.0,February,February-2020
2020,3,66.0,March,March-2020
2020,4,2.0,April,April-2020
2020,5,1.0,May,May-2020
2020,6,5.0,June,June-2020
2020,7,6.0,July,July-2020
2020,8,0.0,August,August-2020
2020,9,0.0,September,September-2020
2020,10,0.0,October,October-2020
2020,11,8.0,November,November-2020
2020,12,17.0,December,December-2020
2021,1,13.0,January,January-2021
2021,2,9.0,February,February-2021
2021,3,25.0,March,March-2021
2021,4,27.0,April,April-2021
