Start,Month,Energy,Month_Name,Month-Year
2017,1,157.0,January,January-2017
2017,2,95.0,February,February-2017
2017,3,94.0,March,March-2017
2017,4,97.0,April,April-2017
2017,5,98.0,May,May-2017
2017,6,111.0,June,June-2017
2017,7,97.0,July,July-2017
2017,8,103.0,August,August-2017
2017,9,825.0,September,September-2017
2017,10,846.0,October,October-2017
2017,11,928.0,November,November-2017
2017,12,98.0,December,December-2017
2018,1,148.0,January,January-2018
2018,2,446.0,February,February-2018
2018,3,885.0,March,March-2018
2018,4,1084.0,April,April-2018
2018,5,1009.0,May,May-2018
2018,6,1450.0,June,June-2018
2018,7,1713.0,July,July-2018
2018,8,2152.0,August,August-2018
2018,9,555.0,September,September-2018
2018,10,123.0,October,October-2018
2018,11,120.0,November,November-2018
2018,12,741.0,December,December-2018
