Start,Month,Energy,Month_Name,Month-Year
2018,10,481.0,October,October-2018
2018,11,416.0,November,November-2018
2018,12,329.0,December,December-2018
2019,1,476.0,January,January-2019
2019,2,491.0,February,February-2019
2019,3,476.0,March,March-2019
2019,4,546.0,April,April-2019
2019,5,546.0,May,May-2019
2019,6,494.0,June,June-2019
2019,7,515.0,July,July-2019
2019,8,530.0,August,August-2019
2019,9,510.0,September,September-2019
2019,10,610.0,October,October-2019
2019,11,518.0,November,November-2019
2019,12,393.0,December,December-2019
2020,1,526.0,January,January-2020
2020,2,571.0,February,February-2020
2020,3,292.0,March,March-2020
2020,4,14.0,April,April-2020
2020,5,107.0,May,May-2020
2020,6,147.0,June,June-2020
2020,7,178.0,July,July-2020
2020,8,8.0,August,August-2020
2020,9,0.0,September,September-2020
2020,10,0.0,October,October-2020
2020,11,51.0,November,November-2020
2020,12,153.0,December,December-2020
2021,1,210.0,January,January-2021
2021,2,221.0,February,February-2021
2021,3,244.0,March,March-2021
2021,4,218.0,April,April-2021
