Start,Month,Energy,Month_Name,Month-Year
2019,3,20.0,March,March-2019
2019,4,38.0,April,April-2019
2019,5,28.0,May,May-2019
2019,6,14.0,June,June-2019
2019,7,42.0,July,July-2019
2019,8,56.0,August,August-2019
2019,9,65.0,September,September-2019
2019,10,73.0,October,October-2019
2019,11,56.0,November,November-2019
2019,12,60.0,December,December-2019
2020,1,74.0,January,January-2020
2020,2,43.0,February,February-2020
2020,3,27.0,March,March-2020
2020,4,12.0,April,April-2020
2020,5,15.0,May,May-2020
2020,6,13.0,June,June-2020
2020,7,15.0,July,July-2020
2020,8,2.0,August,August-2020
2020,9,14.0,September,September-2020
2020,10,13.0,October,October-2020
2020,11,12.0,November,November-2020
2020,12,13.0,December,December-2020
2021,1,13.0,January,January-2021
2021,2,19.0,February,February-2021
2021,3,30.0,March,March-2021
2021,4,23.0,April,April-2021
