Start,Month,Energy,Month_Name,Month-Year
2017,1,1131.0,January,January-2017
2017,2,1181.0,February,February-2017
2017,3,1223.0,March,March-2017
2017,4,1185.0,April,April-2017
2017,5,1269.0,May,May-2017
2017,6,1249.0,June,June-2017
2017,7,1280.0,July,July-2017
2017,8,781.0,August,August-2017
2017,9,767.0,September,September-2017
2017,10,780.0,October,October-2017
2017,11,772.0,November,November-2017
2017,12,752.0,December,December-2017
2018,1,827.0,January,January-2018
2018,2,806.0,February,February-2018
2018,3,885.0,March,March-2018
2018,4,839.0,April,April-2018
2018,5,941.0,May,May-2018
2018,6,914.0,June,June-2018
2018,7,836.0,July,July-2018
2018,8,883.0,August,August-2018
2018,9,839.0,September,September-2018
2018,10,929.0,October,October-2018
2018,11,853.0,November,November-2018
2018,12,824.0,December,December-2018
2019,1,968.0,January,January-2019
2019,2,1018.0,February,February-2019
2019,3,976.0,March,March-2019
2019,4,974.0,April,April-2019
2019,5,1004.0,May,May-2019
2019,6,974.0,June,June-2019
2019,7,932.0,July,July-2019
2019,8,998.0,August,August-2019
2019,9,987.0,September,September-2019
2019,10,1106.0,October,October-2019
2019,11,1024.0,November,November-2019
2019,12,907.0,December,December-2019
2020,1,1110.0,January,January-2020
2020,2,1096.0,February,February-2020
2020,3,476.0,March,March-2020
2020,4,86.0,April,April-2020
2020,5,129.0,May,May-2020
2020,6,224.0,June,June-2020
2020,7,260.0,July,July-2020
2020,8,258.0,August,August-2020
2020,9,283.0,September,September-2020
2020,10,336.0,October,October-2020
2020,11,275.0,November,November-2020
2020,12,230.0,December,December-2020
