Start,Month,Energy,Month_Name,Month-Year
2016,1,45.0,January,January-2016
2016,2,37.0,February,February-2016
2016,3,37.0,March,March-2016
2016,4,32.0,April,April-2016
2016,5,41.0,May,May-2016
2016,6,31.0,June,June-2016
2016,7,34.0,July,July-2016
2016,8,31.0,August,August-2016
2016,9,188.0,September,September-2016
2016,10,236.0,October,October-2016
2016,11,225.0,November,November-2016
2016,12,189.0,December,December-2016
2017,1,322.0,January,January-2017
2017,2,327.0,February,February-2017
2017,3,345.0,March,March-2017
2017,4,369.0,April,April-2017
2017,5,377.0,May,May-2017
2017,6,393.0,June,June-2017
2017,7,394.0,July,July-2017
2017,8,435.0,August,August-2017
2017,9,441.0,September,September-2017
2017,10,485.0,October,October-2017
2017,11,506.0,November,November-2017
2017,12,406.0,December,December-2017
2018,1,495.0,January,January-2018
2018,2,565.0,February,February-2018
2018,3,569.0,March,March-2018
2018,4,549.0,April,April-2018
2018,5,580.0,May,May-2018
2018,6,590.0,June,June-2018
2018,7,586.0,July,July-2018
2018,8,673.0,August,August-2018
2018,9,708.0,September,September-2018
2018,10,756.0,October,October-2018
2018,11,741.0,November,November-2018
2018,12,667.0,December,December-2018
2019,1,700.0,January,January-2019
2019,2,702.0,February,February-2019
2019,3,724.0,March,March-2019
2019,4,722.0,April,April-2019
2019,5,775.0,May,May-2019
2019,6,754.0,June,June-2019
2019,7,775.0,July,July-2019
2019,8,875.0,August,August-2019
2019,9,217.0,September,September-2019
2019,10,237.0,October,October-2019
2019,11,226.0,November,November-2019
2019,12,836.0,December,December-2019
