Start,Month,Energy,Month_Name,Month-Year
2018,1,153.0,January,January-2018
2018,2,152.0,February,February-2018
2018,3,158.0,March,March-2018
2018,4,161.0,April,April-2018
2018,5,140.0,May,May-2018
2018,6,323.0,June,June-2018
2018,7,204.0,July,July-2018
2018,8,176.0,August,August-2018
2018,9,298.0,September,September-2018
2018,10,326.0,October,October-2018
2018,11,383.0,November,November-2018
2018,12,431.0,December,December-2018
2019,1,579.0,January,January-2019
2019,2,563.0,February,February-2019
2019,3,682.0,March,March-2019
2019,4,778.0,April,April-2019
2019,5,802.0,May,May-2019
2019,6,845.0,June,June-2019
2019,7,826.0,July,July-2019
2019,8,709.0,August,August-2019
2019,9,898.0,September,September-2019
2019,10,889.0,October,October-2019
2019,11,963.0,November,November-2019
2019,12,860.0,December,December-2019
2020,1,1066.0,January,January-2020
2020,2,860.0,February,February-2020
2020,3,480.0,March,March-2020
2020,4,18.0,April,April-2020
2020,5,111.0,May,May-2020
2020,6,376.0,June,June-2020
2020,7,490.0,July,July-2020
2020,8,465.0,August,August-2020
2020,9,745.0,September,September-2020
2020,10,705.0,October,October-2020
2020,11,372.0,November,November-2020
2020,12,583.0,December,December-2020
2021,1,32.0,January,January-2021
