Start,Day of week,Energy,Week Day,Year,Month,Day of month
2016-01-09 07:00:00,6,2.5815714285714284,0,2016,1,9
2016-01-09 08:00:00,6,4.882305544668395,0,2016,1,9
2016-01-09 09:00:00,6,7.239345021973532,0,2016,1,9
2016-01-09 10:00:00,6,14.652668003339992,0,2016,1,9
2016-01-09 11:00:00,6,8.988995953650551,0,2016,1,9
2016-01-09 12:00:00,6,23.256202723292045,0,2016,1,9
2016-01-09 13:00:00,6,18.16481237241485,0,2016,1,9
2016-01-09 14:00:00,6,10.507091687215848,0,2016,1,9
2016-01-09 15:00:00,6,21.211504025132534,0,2016,1,9
2016-01-09 16:00:00,6,11.795503239740821,0,2016,1,9
2016-01-09 17:00:00,6,24.925,0,2016,1,9
2016-01-09 18:00:00,6,31.1748275862069,0,2016,1,9
2016-01-09 19:00:00,6,26.86279146141215,0,2016,1,9
2016-01-09 20:00:00,6,2.4723809523809526,0,2016,1,9
2016-01-09 21:00:00,6,0.0,0,2016,1,9
2016-01-09 22:00:00,6,0.0,0,2016,1,9
2016-01-09 23:00:00,6,0.0,0,2016,1,9
2016-01-10 00:00:00,7,0.0,0,2016,1,10
2016-01-10 01:00:00,7,0.0,0,2016,1,10
2016-01-10 02:00:00,7,0.0,0,2016,1,10
2016-01-10 03:00:00,7,0.0,0,2016,1,10
2016-01-10 04:00:00,7,0.0,0,2016,1,10
2016-01-10 05:00:00,7,0.0,0,2016,1,10
2016-01-10 06:00:00,7,0.0,0,2016,1,10
2016-01-10 07:00:00,7,0.0,0,2016,1,10
2016-01-10 08:00:00,7,0.0,0,2016,1,10
2016-01-10 09:00:00,7,3.702,0,2016,1,10
2016-01-10 10:00:00,7,44.8230701754386,0,2016,1,10
2016-01-10 11:00:00,7,52.139927027714215,0,2016,1,10
2016-01-10 12:00:00,7,41.79195887668935,0,2016,1,10
2016-01-10 13:00:00,7,31.66593881552879,0,2016,1,10
2016-01-10 14:00:00,7,29.99469030256364,0,2016,1,10
2016-01-10 15:00:00,7,30.096826603001595,0,2016,1,10
2016-01-10 16:00:00,7,51.838588199063814,0,2016,1,10
2016-01-10 17:00:00,7,37.06305263157895,0,2016,1,10
2016-01-10 18:00:00,7,25.89663967611336,0,2016,1,10
2016-01-10 19:00:00,7,2.4536590436590435,0,2016,1,10
2016-01-10 20:00:00,7,22.94564864864865,0,2016,1,10
2016-01-10 21:00:00,7,0.0,0,2016,1,10
2016-01-10 22:00:00,7,0.0,0,2016,1,10
2016-01-10 23:00:00,7,0.0,0,2016,1,10
2016-01-11 00:00:00,1,0.0,1,2016,1,11
2016-01-11 01:00:00,1,0.0,1,2016,1,11
2016-01-11 02:00:00,1,0.0,1,2016,1,11
2016-01-11 03:00:00,1,0.0,1,2016,1,11
2016-01-11 04:00:00,1,0.0,1,2016,1,11
2016-01-11 05:00:00,1,0.0,1,2016,1,11
2016-01-11 06:00:00,1,0.0,1,2016,1,11
2016-01-11 07:00:00,1,6.545,1,2016,1,11
2016-01-11 08:00:00,1,0.22208333333333333,1,2016,1,11
2016-01-11 09:00:00,1,8.794817164179104,1,2016,1,11
2016-01-11 10:00:00,1,24.708624847076095,1,2016,1,11
2016-01-11 11:00:00,1,20.404937618374433,1,2016,1,11
2016-01-11 12:00:00,1,6.23662037037037,1,2016,1,11
2016-01-11 13:00:00,1,0.66625,1,2016,1,11
2016-01-11 14:00:00,1,20.067828947368426,1,2016,1,11
2016-01-11 15:00:00,1,15.718808983666062,1,2016,1,11
2016-01-11 16:00:00,1,29.665028735632184,1,2016,1,11
2016-01-11 17:00:00,1,0.0,1,2016,1,11
